Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Y/A,AY/A,ANY/A,Y/G,W,L,T,Yrs,PB,AP1,AV
32,Jay Fiedler,1995,2005,,TOT,NFL,6-2,225,28.9,76,60,1008,1717,58.71,11844,69,66,4,3.84,77.1,114,734,6.9,5.97,5.2,155.8,37,23,0,9,0,0,42
33,John Fourcade,1987,1990,,NOR,NFL,6-1,208,27.4,24,11,159,313,50.8,2312,14,15,4.5,4.79,70.1,27,207,7.39,6.12,5.03,96.3,7,4,0,4,0,0,11
34,Jason Garrett,1993,2000,,TOT,NFL,6-2,200,25.7,25,9,165,294,56.12,2042,11,5,3.7,1.7,83.2,20,110,6.95,6.93,6.14,81.7,6,3,0,8,0,0,7
35,Gale Gilbert,1985,1995,,TOT,NFL,6-3,209,26.1,58,4,146,259,56.37,1544,9,12,3.5,4.63,66.2,19,123,5.96,4.57,3.82,26.6,0,4,0,6,0,0,5
36,Willie Gillus,1987,1987,,GNB,NFL,6-4,215,26.2,1,0,2,5,40,28,0,0,0,0,58.7,3,14,5.6,5.6,1.75,28,0,0,0,1,0,0,0
37,Brad Goebel,1991,1994,,TOT,NFL,6-3,202,25.2,7,2,32,59,54.24,299,0,6,0,10.17,28.8,6,37,5.07,0.49,-0.12,42.7,0,2,0,3,0,0,1
38,Pete Gonzalez,1999,1999,,PIT,NFL,6-1,216,28.5,1,0,1,1,100,8,0,0,0,0,100,0,0,8,8,8,8,0,0,0,1,0,0,0
39,Quinn Gray,2005,2008,,TOT,NFL,6-3,246,30.7,12,4,108,188,57.45,1328,13,5,6.9,2.66,91.4,12,86,7.06,7.25,6.39,110.7,2,2,0,4,0,0,6
40,Matt Gutierrez,2007,2009,,TOT,NFL,6-4,235,28.6,6,0,2,2,100,18,0,0,0,0,104.2,0,0,9,9,9,3,0,0,0,2,0,0,0
41,Max Hall,2010,2010,,CRD,NFL,6-1,201,26.5,6,3,39,78,50,370,1,6,1.3,7.69,35.7,14,90,4.74,1.54,0.33,61.7,1,2,0,1,0,0,1
42,Shawn Halloran,1987,1987,,CRD,NFL,6-4,217,26.4,3,2,18,42,42.86,263,0,1,0,2.38,54,5,34,6.26,5.19,3.91,87.7,1,1,0,1,0,0,1
43,Caleb Hanie,2009,2012,,TOT,NFL,6-2,236,30.3,10,4,59,116,50.86,679,3,10,2.6,8.62,41.6,21,148,5.85,2.49,1.03,67.9,0,4,0,4,0,0,2
44,Graham Harrell,2012,2012,,GNB,NFL,6-2,217,27.9,4,0,2,4,50,20,0,0,0,0,64.6,0,0,5,5,5,5,0,0,,1,0,0,0
45,Jim Hart,1983,1984,,TOT,NFL,6-1,215,28.4,7,3,53,98,54.08,618,4,8,4.1,8.16,53,13,99,6.31,3.45,2.15,88.3,1,2,0,2,0,0,2
46,Mark Hartsell,2000,2000,,CHI,NFL,6-4,225,27.4,1,0,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,1,0,0,0
47,Tim Hasselbeck,2002,2007,,TOT,NFL,6-1,211,27.8,12,5,95,177,53.67,1012,5,7,2.8,3.95,63.6,9,44,5.72,4.5,4.05,84.3,1,4,0,4,0,0,1
48,Taylor Heinicke,2017,2018,,TOT,NFL,6-1,210,27.7,1,0,1,1,100,10,0,0,0,0,108.3,1,16,10,10,-3,10,,,,2,0,0,0
49,Shaun Hill,2005,2016,,TOT,NFL,6-5,210,24.9,49,35,757,1225,61.8,8295,49,30,4,2.45,84.9,84,533,6.77,6.47,5.65,169.3,17,18,0,11,0,0,24
50,Mike Hohensee,1987,1987,,CHI,NFL,6-0,205,27.8,2,2,28,52,53.85,343,4,1,7.7,1.92,92.1,3,19,6.6,7.27,6.53,171.5,2,0,0,1,0,0,1
51,Kelly Holcomb,1997,2007,,TOT,NFL,6-2,212,27.2,37,24,565,893,63.27,5916,39,38,4.4,4.26,79.2,71,540,6.62,5.58,4.61,159.9,8,16,0,7,0,0,16
52,Mike Hold,1987,1987,,TAM,NFL,6-0,190,25.8,2,0,8,24,33.33,123,2,1,8.3,4.17,61.6,3,18,5.13,4.92,3.7,61.5,0,0,0,1,0,0,1
53,Todd Hons,1987,1987,,DET,NFL,6-1,195,25.7,3,3,43,92,46.74,552,5,5,5.4,5.43,61.5,9,67,6,4.64,3.56,184,1,2,0,1,0,0,2
54,Marty Horn,1987,1987,,PHI,NFL,6-2,205,26.3,1,0,5,11,45.45,68,0,0,0,0,65.7,1,7,6.18,6.18,5.08,68,0,0,0,1,0,0,0
55,Brian Hoyer,2009,2018,,TOT,NFL,6-2,216,27.7,60,37,837,1410,59.36,9895,48,30,3.4,2.13,83.3,81,571,7.02,6.74,5.99,164.9,16,21,0,10,0,0,24
56,Damon Huard,1998,2008,,TOT,NFL,6-3,215,26.9,64,27,574,946,60.68,6303,33,26,3.5,2.75,80.6,94,612,6.66,6.12,4.98,98.5,15,12,0,8,0,0,20
57,Chad Hutchinson,2002,2004,,TOT,NFL,6-5,237,28.1,15,14,220,413,53.27,2466,11,11,2.7,2.66,69.1,57,425,5.97,5.31,3.76,164.4,3,11,0,3,0,0,4
58,Kevin Ingram,1987,1987,,NOR,NFL,6-0,178,24.1,2,0,1,2,50,5,1,0,50,0,95.8,1,6,2.5,12.5,6.33,2.5,0,0,0,1,0,0,0
59,Doug Johnson,2000,2004,,TOT,NFL,6-2,225,28.9,25,11,218,384,56.77,2600,13,18,3.4,4.69,69.4,38,226,6.77,5.34,4.32,104,2,9,0,5,0,0,8
60,Ken Karcher,1987,1988,,DEN,NFL,6-3,205,25.6,4,3,62,114,54.39,756,6,4,5.3,3.51,78,5,45,6.63,6.11,5.47,189,2,1,0,2,0,0,2
61,Case Keenum,2012,2018,,TOT,NFL,6-1,215,28.4,41,38,779,1258,61.92,8771,46,27,3.7,2.15,86,71,520,6.97,6.74,5.99,213.9,20,18,0,7,0,0,24
62,Jeff Kemp,1983,1991,,TOT,NFL,6-0,201,27.3,95,29,477,910,52.42,6205,39,39,4.3,4.29,70.6,66,456,6.82,5.75,4.89,65.3,16,12,1,9,0,0,22
63,Mike Kerrigan,1983,1984,,NWE,NFL,6-3,205,25.6,2,0,7,15,46.67,85,0,1,0,6.67,36.8,0,0,5.67,2.67,2.67,42.5,0,0,0,2,0,0,0
64,Jon Kitna,1997,2011,,TOT,NFL,6-2,220,28.2,141,124,2677,4442,60.27,29745,169,165,3.8,3.71,77.4,323,1987,6.7,5.79,4.98,211,50,74,0,14,0,0,89
65,Erik Kramer,1987,1999,,TOT,NFL,6-1,200,26.4,83,67,1317,2299,57.29,15337,92,79,4,3.44,76.6,122,788,6.67,5.93,5.3,184.8,31,36,0,10,0,0,46
66,Eric Kresser,1998,1998,,CIN,NFL,6-2,209,26.8,2,0,10,21,47.62,164,1,2,4.8,9.52,50.6,0,0,7.81,4.48,4.48,82,0,0,0,1,0,0,0
67,Cleo Lemon,2005,2008,,TOT,NFL,6-2,215,27.6,16,8,211,379,55.67,2185,8,7,2.1,1.85,71.8,30,190,5.77,5.36,4.5,136.6,1,7,0,4,0,0,6
68,Thaddeus Lewis,2012,2014,,TOT,NFL,6-0,200,27.1,7,6,115,189,60.85,1296,5,4,2.6,2.12,81.4,21,114,6.86,6.43,5.25,185.1,2,4,0,3,0,0,4
69,Jared Lorenzen,2006,2007,,NYG,NFL,6-4,275,33.5,4,0,4,8,50,28,0,0,0,0,58.3,1,5,3.5,3.5,2.56,7,0,0,0,2,0,0,0
70,Ray Lucas,1996,2002,,TOT,NFL,6-3,214,26.7,55,15,280,483,57.97,3029,18,17,3.7,3.52,74.3,29,183,6.27,5.43,4.77,55.1,8,7,0,7,0,0,12
71,Matt Lytle,2000,2001,,TOT,NFL,6-4,225,27.4,4,1,17,30,56.67,133,1,3,3.3,10,39.3,3,24,4.43,0.6,-0.18,33.3,0,1,0,2,0,0,0
72,Jamie Martin,1996,2007,,TOT,NFL,6-2,205,26.3,53,8,355,541,65.62,3814,20,21,3.7,3.88,82.3,36,230,7.05,6.04,5.27,72,4,4,0,9,0,0,9
73,Shane Matthews,1996,2004,,TOT,NFL,6-3,196,24.5,31,22,492,839,58.64,4756,31,24,3.7,2.86,75,34,208,5.67,5.12,4.68,153.4,11,11,0,6,0,0,8
74,Matt McGloin,2013,2018,,TOT,NFL,6-1,210,27.7,13,7,161,277,58.12,1868,11,11,4,3.97,75.3,9,81,6.74,5.75,5.29,143.7,1,6,0,5,0,0,4
75,Monte McGuire,1987,1987,,DEN,NFL,6-4,202,24.6,2,0,2,3,66.67,23,0,0,0,0,89.6,0,0,7.67,7.67,7.67,11.5,0,0,0,1,0,0,0
76,Scott Milanovich,1996,1996,,TAM,NFL,6-3,227,28.4,1,0,2,3,66.67,9,0,0,0,0,70.1,0,0,3,3,3,9,0,0,0,1,0,0,0
77,Larry Miller,1987,1987,,MIN,NFL,6-4,220,26.8,2,0,1,6,16.67,2,0,1,0,16.67,0,1,10,0.33,-7.17,-7.57,1,0,0,0,1,0,0,0
78,Mark Miller,1987,1987,,BUF,NFL,6-2,210,27,1,0,1,3,33.33,9,0,1,0,33.33,2.8,0,0,3,-12,-12,9,0,0,0,1,0,0,0
79,Kellen Moore,2012,2015,,TOT,NFL,6-0,197,26.7,3,2,61,104,58.65,779,4,6,3.8,5.77,71,5,23,7.49,5.66,5.19,259.7,0,2,0,3,0,0,2
80,Lance Moore,2006,2015,,TOT,NFL,5-9,177,26.1,129,40,0,1,0,0,0,1,0,100,0,0,0,0,-45,-45,0,0,0,0,10,0,0,45
81,Matt Moore,2007,2017,,TOT,NFL,6-3,192,24,49,30,586,983,59.61,6938,45,36,4.6,3.66,81.2,79,541,7.06,6.33,5.35,141.6,15,15,0,10,0,0,19
82,Rick Neuheisel,1987,1987,,SDG,NFL,6-1,190,25.1,3,2,40,59,67.8,367,1,1,1.7,1.69,83.1,10,89,6.22,5.8,3.67,122.3,2,0,0,1,0,0,1
83,Sandy Osiecki,1984,1984,,KAN,NFL,6-5,202,24,4,0,7,17,41.18,64,0,1,0,5.88,27.6,1,2,3.76,1.12,0.94,16,0,0,0,1,0,0,0
84,Tyler Palko,2010,2011,,KAN,NFL,6-1,215,28.4,8,4,84,140,60,831,2,7,1.4,5,60.7,13,93,5.94,3.97,3.03,103.9,1,3,0,2,0,0,2
85,Sean Payton,1987,1987,,CHI,NFL,5-11,200,27.9,3,0,8,23,34.78,79,0,1,0,4.35,27.3,7,47,3.43,1.48,-0.43,26.3,0,0,0,1,0,0,0
86,Doug Pederson,1993,2004,,TOT,NFL,6-3,220,27.5,100,17,286,522,54.79,2762,12,19,2.3,3.64,62.3,40,244,5.29,4.11,3.39,27.6,3,14,0,10,0,0,1
87,Todd Philcox,1990,1997,,TOT,NFL,6-4,218,26.5,15,5,85,173,49.13,1138,7,11,4,6.36,57.4,18,119,6.58,4.53,3.48,75.9,2,3,0,5,0,0,3
88,Joe Pisarcik,1983,1984,,PHI,NFL,6-4,220,26.8,12,3,112,210,53.33,1208,4,3,1.9,1.43,70.9,29,213,5.75,5.49,3.93,100.7,1,2,0,2,0,0,3
89,Bernard Quarles,1987,1987,,RAM,NFL,6-2,215,27.6,1,0,1,3,33.33,40,1,1,33.3,33.33,81.9,0,0,13.33,5,5,40,0,0,0,1,0,0,0
90,Ryan Quigley,2013,2018,,TOT,NFL,6-2,205,26.3,67,0,1,2,50,38,0,0,0,0,95.8,0,0,19,19,19,0.6,,,,6,0,0,6
91,Mike Quinn,1997,1998,,TOT,NFL,6-4,216,26.3,4,0,2,3,66.67,20,0,0,0,0,85.4,0,0,6.67,6.67,6.67,5,0,0,0,2,0,0,0
92,Alan Risher,1985,1987,,TOT,NFL,6-2,190,24.4,19,3,44,74,59.46,564,3,3,4.1,4.05,80,12,77,7.62,6.61,4.79,29.7,2,1,0,2,0,0,2
93,James Ritchey,1997,1997,,OTI,NFL,6-2,220,28.2,1,0,2,2,100,15,0,0,0,0,97.9,1,9,7.5,7.5,2,15,0,0,0,1,0,0,0
94,Tony Robinson,1987,1987,,WAS,NFL,6-3,200,25,1,0,11,18,61.11,152,0,2,0,11.11,48.6,2,12,8.44,3.44,2.5,152,0,0,0,1,0,0,1
95,Ed Rubbert,1987,1987,,WAS,NFL,6-5,225,26.7,3,3,26,49,53.06,532,4,1,8.2,2.04,110.2,1,9,10.86,11.57,11.16,177.3,3,0,0,1,0,0,2
96,Cooper Rush,2017,2018,,DAL,NFL,6-3,225,28.1,2,0,1,3,33.33,2,0,0,0,0,42.4,0,0,0.67,0.67,0.67,1,,,,2,0,0,0
97,Sean Salisbury,1987,1996,,TOT,NFL,6-5,225,26.7,40,12,318,577,55.11,3824,19,19,3.3,3.29,72.9,43,326,6.63,5.8,4.88,95.6,6,6,0,5,0,0,11
98,Cory Sauter,2002,2002,,CHI,NFL,6-4,216,26.3,1,0,6,9,66.67,59,0,0,0,0,85,4,20,6.56,6.56,3,59,0,0,0,1,0,0,0
99,Connor Shaw,2014,2014,,CLE,NFL,6-0,206,27.9,1,1,14,28,50,177,0,1,0,3.57,55.2,4,27,6.32,4.71,3.28,177,0,1,0,1,0,0,0
100,Matt Simms,2013,2014,,NYJ,NFL,6-3,210,26.2,4,0,19,39,48.72,195,1,1,2.6,2.56,61.4,4,23,5,4.36,3.42,48.8,,,,2,0,0,1
101,Loren Snyder,1987,1987,,DAL,NFL,6-4,207,25.2,2,0,4,9,44.44,44,0,0,0,0,59.5,0,0,4.89,4.89,4.89,22,0,0,0,1,0,0,0
102,Scott Stankavage,1984,1987,,TOT,NFL,6-1,194,25.6,4,0,8,25,32,66,0,2,0,8,7.9,1,13,2.64,-0.96,-1.42,16.5,0,0,0,2,0,0,0
103,Mark Stevens,1987,1987,,SFO,NFL,6-1,190,25.1,2,0,2,4,50,52,1,0,25,0,135.4,0,0,13,18,18,26,0,0,0,1,0,0,1
104,Matt Stevens,1987,1987,,KAN,NFL,6-0,190,25.8,3,2,32,57,56.14,315,1,1,1.8,1.75,70.4,6,53,5.53,5.09,3.76,105,0,2,0,1,0,0,1
105,Clint Stoerner,2000,2001,,DAL,NFL,6-2,210,27,5,2,29,54,53.7,367,4,5,7.4,9.26,61.3,7,43,6.8,4.11,2.93,73.4,1,1,0,2,0,0,1
106,Rick Strom,1989,1991,,PIT,NFL,6-2,210,27,10,0,14,22,63.64,162,0,1,0,4.55,66.9,5,29,7.36,5.32,3.26,16.2,0,0,0,3,0,0,1
107,Alex Tanney,2012,2018,,TOT,NFL,6-4,220,26.8,1,0,10,14,71.43,99,1,0,7.1,0,114.9,3,34,7.07,8.5,5,99,0,0,,4,0,0,0
108,Kevin Thompson,2000,2000,,CLE,NFL,6-5,236,28,1,0,1,1,100,8,0,0,0,0,100,0,0,8,8,8,8,0,0,0,1,0,0,0
109,Scott Tinsley,1987,1987,,PHI,NFL,6-2,195,25,3,3,48,86,55.81,637,3,4,3.5,4.65,71.7,6,55,7.41,6.01,5.02,212.3,0,3,0,1,0,0,2
110,Scott Tolzien,2012,2017,,TOT,NFL,6-3,205,25.6,10,4,88,146,60.27,1065,2,9,1.4,6.16,61.6,11,84,7.29,4.79,3.92,106.5,0,3,1,6,0,0,3
111,Mike Tomczak,1985,1999,,TOT,NFL,6-1,202,26.6,185,73,1248,2337,53.4,16079,88,106,3.8,4.54,68.9,114,809,6.88,5.59,5,86.9,42,31,0,15,0,0,57
112,Willie Totten,1987,1987,,BUF,NFL,6-2,195,25,2,1,13,33,39.39,155,2,2,6.1,6.06,49.4,5,62,4.7,3.18,1.13,77.5,0,1,0,1,0,0,0
113,Jeff Tuel,2013,2014,,BUF,NFL,6-3,218,27.2,2,1,26,59,44.07,309,1,3,1.7,5.08,45.1,2,11,5.24,3.29,3,154.5,0,1,0,2,0,0,1
114,Ricky Turner,1988,1988,,CLT,NFL,6-0,190,25.8,4,0,3,4,75,92,0,0,0,0,116.7,2,15,23,23,12.83,23,0,0,0,1,0,0,1
115,Jeff Van Raaphorst,1987,1987,,ATL,NFL,6-1,210,27.7,2,1,18,34,52.94,174,1,2,2.9,5.88,52.8,3,19,5.12,3.06,2.3,87,0,1,0,1,0,0,0
116,Billy Volek,2001,2011,,TOT,NFL,6-2,214,27.5,39,10,337,561,60.07,3754,27,15,4.8,2.67,84.9,49,320,6.69,6.45,5.41,96.3,3,7,0,9,0,0,12
117,Anthony Wright,2000,2007,,TOT,NFL,6-1,211,27.8,31,19,332,605,54.88,3590,20,25,3.3,4.13,66.3,55,394,5.93,4.74,3.74,115.8,8,11,0,6,0,0,11
118,Jim Zorn,1983,1987,,TOT,NFL,6-2,200,25.7,46,14,186,381,48.82,2239,11,17,2.9,4.46,58.3,22,167,5.88,4.45,3.79,48.7,8,6,0,4,0,0,7
