Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
75,2004,Luke McCown,QB,8,Louisiana Tech,College Stats,6-4,208,4.71,37.5,,125,6.74,4.21,Cleveland Browns / 4th / 106th pick / 2004
76,2004,Matt Mauck,QB,1,LSU,College Stats,6-2,228,4.79,,,,,,Denver Broncos / 7th / 225th pick / 2004
77,2004,Eli Manning,QB,150,Mississippi,College Stats,6-5,221,4.9,,,,,,San Diego Chargers / 1st / 1st pick / 2004
78,2004,J.P. Losman,QB,20,Tulane,College Stats,6-2,224,4.73,33,,116,,,Buffalo Bills / 1st / 22nd pick / 2004
79,2004,Jared Lorenzen,QB,0,Kentucky,College Stats,6-3,288,5.28,,,,,,
80,2004,Craig Krenzel,QB,1,Ohio State,College Stats,6-3,228,4.84,28,,112,7.22,4.08,Chicago Bears / 5th / 148th pick / 2004
81,2004,B.J. Symons,QB,,Texas Tech,College Stats,6-0,210,4.9,,,,,,Houston Texans / 7th / 248th pick / 2004
82,2004,Casey Clausen,QB,,Tennessee,College Stats,6-3,223,4.95,,,,,,
83,2004,Jason Fife,QB,,Oregon,College Stats,6-4,226,4.83,30.5,,113,7.28,4.18,
84,2004,Robert Kent,QB,,Jackson State,,6-4,222,4.87,26.5,,110,7.69,4.22,
85,2004,Scott Rislov,QB,,San Jose State,College Stats,6-1,224,4.95,30,,119,7.44,4.34,
86,2004,Ell Roberson,QB,,Kansas State,College Stats,5-11,194,4.6,,,,,,
87,2004,Rod Rutherford,QB,,Pittsburgh,College Stats,6-2,240,4.79,30.5,,110,7.66,4.41,
88,2003,Seneca Wallace,QB,16,Iowa State,College Stats,5-11,196,4.56,38,,127,6.98,4.14,Seattle Seahawks / 4th / 110th pick / 2003
89,2003,Chris Simms,QB,8,Texas,College Stats,6-4,220,4.84,31,,103,7.38,4.21,Tampa Bay Buccaneers / 3rd / 97th pick / 2003
90,2003,Tony Romo,QB,116,Eastern Illinois,,6-2,230,5.01,30,,105,7.11,4.2,
91,2003,Dave Ragone,QB,1,Louisville,College Stats,6-4,249,4.99,30.5,,101,7.42,4.36,Houston Texans / 3rd / 88th pick / 2003
92,2003,Carson Palmer,QB,142,Southern California,College Stats,6-5,232,4.65,,,,,,Cincinnati Bengals / 1st / 1st pick / 2003
93,2003,Byron Leftwich,QB,36,Marshall,College Stats,6-5,241,4.85,,,,,,Jacksonville Jaguars / 1st / 7th pick / 2003
94,2003,Kliff Kingsbury,QB,0,Texas Tech,College Stats,6-3,213,4.77,30,,101,6.92,4.1,New England Patriots / 6th / 201st pick / 2003
95,2003,Rex Grossman,QB,25,Florida,College Stats,6-1,217,5.06,,,,,,Chicago Bears / 1st / 22nd pick / 2003
96,2003,Ken Dorsey,QB,1,Miami (FL),College Stats,6-5,208,4.7,,,,,,San Francisco 49ers / 7th / 241st pick / 2003
97,2003,Kyle Boller,QB,18,California,College Stats,6-3,234,4.61,35.5,,117,7.2,4.02,Baltimore Ravens / 1st / 19th pick / 2003
98,2003,Juston Wood,QB,,Portland State,,6-1,207,4.78,32.5,,113,7.14,4.16,
99,2003,Brian Saint Pierre,QB,,Boston College,,6-3,218,4.82,30,,106,,,
100,2003,Brad Banks,QB,,Iowa,College Stats,5-11,201,4.67,33.5,,112,,,
101,2003,Josh Blankenship,QB,,Tulsa,,6-2,211,5.16,28.5,,103,7.59,4.42,
102,2003,D. Bryant,QB,,Duke,,6-2,218,4.73,35.5,,114,7.36,4.4,
103,2003,Jason Gesser,QB,,Washington State,College Stats,6-1,205,4.87,,,,,,
104,2002,Brandon Doman,QB,,BYU,College Stats,6-2,210,4.81,32.5,,106,6.9,4.08,San Francisco 49ers / 5th / 163rd pick / 2002
105,2002,Patrick Ramsey,QB,15,Tulane,College Stats,6-2,219,5.24,33.5,,112,7.12,4.09,Washington Redskins / 1st / 32nd pick / 2002
106,2002,J.T. O'Sullivan,QB,6,California-Davis,,6-2,223,4.88,29,,107,7.46,4.28,New Orleans Saints / 6th / 186th pick / 2002
107,2002,Josh McCown,QB,45,Sam Houston State,College Stats,6-4,221,4.59,38.5,,120,6.85,3.9,Arizona Cardinals / 3rd / 81st pick / 2002
108,2002,Kurt Kittner,QB,1,Illinois,College Stats,6-2,221,4.86,27,,100,7.34,4.5,Atlanta Falcons / 5th / 158th pick / 2002
109,2002,Joey Harrington,QB,33,Oregon,College Stats,6-4,215,4.89,32,,112,7,4.21,Detroit Lions / 1st / 3rd pick / 2002
110,2002,David Garrard,QB,69,East Carolina,College Stats,6-2,235,4.82,33.5,,111,7.35,4.26,Jacksonville Jaguars / 4th / 108th pick / 2002
111,2002,Randy Fasani,QB,1,Stanford,College Stats,6-3,224,4.77,31.5,,106,6.75,3.87,Carolina Panthers / 5th / 137th pick / 2002
112,2002,Rohan Davey,QB,0,LSU,College Stats,6-2,245,4.74,,,,,,New England Patriots / 4th / 117th pick / 2002
113,2002,Ronald Curry,QB,17,North Carolina,College Stats,6-2,220,4.59,35,,115,7.06,4.11,Oakland Raiders / 7th / 235th pick / 2002
114,2002,David Carr,QB,48,Fresno State,College Stats,6-3,223,4.67,35,,108,7.05,4.28,Houston Texans / 1st / 1st pick / 2002
115,2002,Greg Zolman,QB,,Vanderbilt,College Stats,6-2,220,4.93,34,,112,7.08,4.14,
116,2002,Woody Dantzler,QB,,Clemson,,5-10,207,4.59,,,,,,
117,2002,David Neill,QB,,Nevada,College Stats,6-3,206,4.95,30,,108,7.28,4.44,
118,2001,Chris Weinke,QB,9,Florida State,College Stats,6-4,226,5.2,,,,,,Carolina Panthers / 4th / 106th pick / 2001
119,2001,Michael Vick,QB,113,Virginia Tech,College Stats,6-0,210,4.33,,,,,,Atlanta Falcons / 1st / 1st pick / 2001
120,2001,Marques Tuiasosopo,QB,1,Washington,College Stats,6-1,223,4.71,35.5,,115,7.36,4.35,Oakland Raiders / 2nd / 59th pick / 2001
121,2001,Josh Booty,QB,,LSU,College Stats,6-2,221,4.9,29.5,,105,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001
122,2001,Sage Rosenfels,QB,14,Iowa State,College Stats,6-4,228,4.74,34,,107,7.07,4.29,Washington Redskins / 4th / 109th pick / 2001
123,2001,Jesse Palmer,QB,1,Florida,College Stats,6-2,231,4.78,35.5,,112,7.13,4.29,New York Giants / 4th / 125th pick / 2001
124,2001,Josh Heupel,QB,,Oklahoma,College Stats,6-2,215,4.85,37.5,,114,7.18,4.15,Miami Dolphins / 6th / 177th pick / 2001
125,2001,Mike McMahon,QB,6,Rutgers,College Stats,6-2,207,4.57,37.5,,124,7.12,4.12,Detroit Lions / 5th / 149th pick / 2001
126,2001,Cleo Lemon,QB,6,Arkansas State,College Stats,6-2,226,4.87,35.5,,106,7.33,4.27,
127,2001,Tim Hasselbeck,QB,1,Boston College,College Stats,6-1,211,4.83,33,,113,7.27,4.4,
128,2001,Quincy Carter,QB,18,Georgia,College Stats,6-2,225,4.58,35.5,,113,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001
129,2001,Drew Brees,QB,239,Purdue,College Stats,6-0,213,4.83,32,,105,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001
130,2001,David Rivers,QB,,Western Carolina,,6-3,223,4.73,31.5,,115,7.37,4.2,
131,2001,Jonathan Beasley,QB,,Kansas State,College Stats,6-0,227,4.85,29.5,,102,7.55,4.38,
132,2001,Justin Coleman,QB,,Nebraska-Kearney,,6-4,238,5.22,29.5,,101,7.78,4.62,
133,2001,Shane Griggs,QB,,Idaho State,,6-4,199,4.83,,,,,,
134,2001,Ortege Jenkins,QB,,Arizona,College Stats,6-1,234,4.82,34.5,,108,7.32,4.4,
135,2001,Romaro Miller,QB,,Mississippi,College Stats,6-0,205,4.61,35,,110,7.4,4.51,
136,2000,Spergon Wynn,QB,2,Texas State,College Stats,6-3,229,4.91,34,,108,7.71,4.59,Cleveland Browns / 6th / 183rd pick / 2000
137,2000,Chris Redman,QB,10,Louisville,College Stats,6-3,222,5.37,26.5,,98,7.8,4.78,Baltimore Ravens / 3rd / 75th pick / 2000
138,2000,Tim Rattay,QB,13,Louisiana Tech,College Stats,6-0,215,4.91,25.5,,100,7.34,4.21,San Francisco 49ers / 7th / 212th pick / 2000
139,2000,Chad Pennington,QB,62,Marshall,College Stats,6-3,229,4.81,33.5,,111,7.12,4.16,New York Jets / 1st / 18th pick / 2000
140,2000,Tee Martin,QB,0,Tennessee,College Stats,6-2,227,4.58,34.5,,113,,,Pittsburgh Steelers / 5th / 163rd pick / 2000
141,2000,Doug Johnson,QB,8,Florida,College Stats,6-2,226,4.95,29.5,,96,,,
142,2000,Jarious Jackson,QB,0,Notre Dame,College Stats,6-0,226,4.68,,,109,,,Denver Broncos / 7th / 214th pick / 2000
143,2000,Todd Husak,QB,0,Stanford,College Stats,6-3,216,5.2,27.5,,99,7.17,4.41,Washington Redskins / 6th / 202nd pick / 2000
144,2000,Joe Hamilton,QB,0,Georgia Tech,College Stats,5-10,192,4.81,,,106,,,Tampa Bay Buccaneers / 7th / 234th pick / 2000
145,2000,Marc Bulger,QB,64,West Virginia,College Stats,6-2,208,4.97,,,100,7.46,4.34,New Orleans Saints / 6th / 168th pick / 2000
146,2000,Travis Brown,QB,1,Northern Arizona,,6-3,218,5.01,29,,101,7.54,4.87,
147,2000,Tom Brady,QB,255,Michigan,College Stats,6-4,211,5.28,24.5,,99,7.2,4.38,New England Patriots / 6th / 199th pick / 2000
148,2000,Bill Burke,QB,,Michigan State,,6-4,206,5.03,28.5,,107,7.46,4.42,
149,2000,Giovanni Carmazzi,QB,,Hofstra,,6-3,224,4.74,36.5,,119,6.94,4.23,
150,2000,Chris Chaloupka,QB,,Sam Houston State,,6-2,216,4.96,,,,,,
151,2000,Kevin Feterik,QB,,BYU,,5-11,207,4.92,31,,106,7.3,4.45,
152,2000,Tim Lester,QB,,Western Michigan,,6-0,202,5.02,27,,97,7.28,4.24,
153,2000,Leon Murray,QB,,Tennessee State,,6-2,207,4.75,,,,,,
