Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,Y/G,W,L,T,Yrs,PB,AP1,AV
439,Frank Seurer,1986,1987,3,KAN,NFL,73,195,25.7,9,2,26,55,47.27,340,0,4,36.9,6.18,37.8,0,2,0,2,0,0,1
440,Connor Shaw,2014,2014,,CLE,NFL,72,206,27.9,1,1,14,28,50,177,0,1,55.2,6.32,177,0,1,0,1,0,0,0
441,Heath Shuler,1994,1997,1,TOT,NFL,74,216,27.7,29,22,292,593,49.24,3691,15,33,54.3,6.22,127.3,8,14,0,4,0,0,6
442,Trevor Siemian,2015,2018,7,TOT,NFL,75,220,27.5,26,24,495,835,59.28,5686,30,24,79.9,6.81,218.7,13,11,0,4,0,0,13
443,Chris Simms,2004,2009,3,TOT,NFL,76,220,26.8,23,16,297,511,58.12,3117,12,18,69.1,6.1,135.5,7,9,0,5,0,0,8
444,Matt Simms,2013,2014,,NYJ,NFL,75,210,26.2,4,0,19,39,48.72,195,1,1,61.4,5,48.8,,,,2,0,0,1
445,Brian Sipe,1983,1983,13,CLE,NFL,73,195,25.7,15,14,291,496,58.67,3566,26,23,79.1,7.19,237.7,8,6,0,1,0,0,12
446,John Skelton,2010,2012,5,CRD,NFL,77,244,28.9,20,17,320,602,53.16,3707,15,25,63,6.16,185.4,8,9,0,3,0,0,4
447,Akili Smith,1999,2002,1,CIN,NFL,75,220,27.5,22,17,215,461,46.64,2212,5,13,52.8,4.8,100.5,3,14,0,4,0,0,1
448,Brad Smith,2006,2014,4,TOT,NFL,74,210,27,127,24,4,10,40,51,1,2,50.4,5.1,0.4,0,0,0,9,0,0,20
449,Geno Smith,2013,2018,2,TOT,NFL,75,221,27.6,35,31,522,902,57.87,6174,29,36,72.9,6.84,176.4,12,19,0,6,0,0,16
450,Rusty Smith,2010,2012,6,OTI,NFL,77,212,25.1,3,1,23,45,51.11,234,0,4,29.3,5.2,78,0,1,0,2,0,0,1
451,Troy Smith,2007,2010,5,TOT,NFL,72,225,30.5,20,8,121,234,51.71,1734,8,5,78.5,7.41,86.7,4,4,0,4,0,0,6
452,Loren Snyder,1987,1987,,DAL,NFL,76,207,25.2,2,0,4,9,44.44,44,0,0,59.5,4.89,22,0,0,0,1,0,0,0
453,Jim Sorgi,2004,2009,6,CLT,NFL,77,196,23.2,16,0,99,156,63.46,929,6,1,89.9,5.96,58.1,0,0,0,6,0,0,5
454,Brian St. Pierre,2004,2010,5,TOT,NFL,75,230,28.7,3,1,15,33,45.45,185,2,3,45.6,5.61,61.7,0,1,0,3,0,0,0
455,Ken Stabler*,1983,1984,2,NOR,NFL,75,215,26.9,17,14,209,381,54.86,2327,11,23,57.7,6.11,136.9,7,7,0,2,0,0,5
456,Scott Stankavage,1984,1987,,TOT,NFL,73,194,25.6,4,0,8,25,32,66,0,2,7.9,2.64,16.5,0,0,0,2,0,0,0
457,Drew Stanton,2008,2018,2,TOT,NFL,75,226,28.2,38,17,345,659,52.35,4059,20,24,66.3,6.16,106.8,11,6,0,9,0,0,10
458,Steve Stenstrom,1996,1999,4,TOT,NFL,74,206,26.4,17,10,177,314,56.37,1895,4,12,62.5,6.04,111.5,1,9,0,4,0,0,6
459,Mark Stevens,1987,1987,,SFO,NFL,73,190,25.1,2,0,2,4,50,52,1,0,135.4,13,26,0,0,0,1,0,0,1
460,Matt Stevens,1987,1987,,KAN,NFL,72,190,25.8,3,2,32,57,56.14,315,1,1,70.4,5.53,105,0,2,0,1,0,0,1
461,Clint Stoerner,2000,2001,,DAL,NFL,74,210,27,5,2,29,54,53.7,367,4,5,61.3,6.8,73.4,1,1,0,2,0,0,1
462,Cliff Stoudt,1983,1989,5,TOT,NFL,76,215,26.2,52,19,312,586,53.24,3842,21,36,60.1,6.56,73.9,9,10,0,5,0,0,14
463,Kelly Stouffer,1988,1992,,SEA,NFL,75,210,26.2,22,16,225,437,51.49,2333,7,19,54.5,5.34,106,5,11,0,4,0,0,2
464,Don Strock,1983,1988,5,TOT,NFL,77,220,26.1,79,4,127,201,63.18,1573,13,7,94.4,7.83,19.9,4,0,0,6,0,0,4
465,Rick Strom,1989,1991,,PIT,NFL,74,210,27,10,0,14,22,63.64,162,0,1,66.9,7.36,16.2,0,0,0,3,0,0,1
