Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,Y/G,W,L,T,Yrs,PB,AP1,AV
17,Randall Cunningham,1985,2001,2,TOT,NFL,76,212,25.8,161,135,2429,4289,56.63,29979,207,134,81.5,6.99,186.2,82,52,1,16,4,1,134
18,Boomer Esiason,1984,1997,2,TOT,NFL,77,224,26.6,187,173,2969,5205,57.04,37920,247,184,81.1,7.29,202.8,80,93,0,14,4,1,136
19,Rich Gannon,1987,2004,4,TOT,NFL,75,210,26.2,157,132,2533,4206,60.22,28743,180,104,84.7,6.83,183.1,76,56,0,17,4,2,120
20,Jeff Garcia,1999,2009,,TOT,NFL,73,195,25.7,125,116,2264,3676,61.59,25537,161,83,87.5,6.95,204.3,58,58,0,11,4,0,104
21,Eli Manning,2004,2018,1,NYG,NFL,77,220,26.1,216,214,4424,7396,59.82,51682,339,228,83.5,6.99,239.3,111,103,0,15,4,0,150
22,Tony Romo,2004,2016,,DAL,NFL,74,230,29.5,156,127,2829,4335,65.26,34183,248,117,97.1,7.89,219.1,78,49,0,13,4,0,116
23,Matt Ryan,2008,2018,1,ATL,NFL,76,217,26.4,159,159,3651,5636,64.78,42047,260,127,93.1,7.46,264.4,95,64,0,11,4,1,150
24,Michael Vick,2001,2015,1,TOT,NFL,72,215,29.2,143,115,1807,3217,56.17,22464,133,88,80.4,6.98,157.1,61,51,1,13,4,0,113
25,Kurt Warner*,1998,2009,,TOT,NFL,74,220,28.2,124,116,2666,4070,65.5,32344,208,128,93.7,7.95,260.8,67,49,0,12,4,2,113
26,Russell Wilson,2012,2018,3,SEA,NFL,71,215,30,96,96,1815,2834,64.04,22176,161,56,98.8,7.82,231,65,30,1,7,4,0,100
27,Mark Brunell,1994,2011,5,TOT,NFL,73,217,28.6,193,151,2761,4640,59.5,32072,184,108,84,6.91,166.2,78,73,0,17,3,0,120
28,Derek Carr,2014,2018,2,RAI,NFL,75,215,26.9,62,62,1378,2247,61.33,14690,103,44,87.5,6.54,236.9,28,34,0,5,3,0,40
29,Daunte Culpepper,1999,2009,1,TOT,NFL,76,264,32.1,105,100,2016,3199,63.02,24153,149,106,87.8,7.55,230,41,59,0,11,3,0,97
30,Andy Dalton,2011,2018,2,CIN,NFL,74,220,28.2,109,109,2217,3556,62.35,25534,167,93,88.7,7.18,234.3,63,44,2,8,3,0,83
31,Matt Hasselbeck,1999,2015,6,TOT,NFL,76,223,27.1,209,160,3222,5330,60.45,36638,212,153,82.4,6.87,175.3,85,75,0,17,3,0,111
32,Dave Krieg,1983,1998,,TOT,NFL,73,193,25.5,202,170,2992,5119,58.45,36803,252,192,81.5,7.19,182.2,96,74,0,16,3,0,133
33,Andrew Luck,2012,2018,1,CLT,NFL,76,240,29.2,70,70,1570,2651,59.22,19078,132,68,87.3,7.2,272.5,43,27,0,6,3,0,64
34,Steve McNair,1995,2007,1,TOT,NFL,74,235,30.2,161,153,2733,4544,60.15,31304,174,119,82.8,6.89,194.4,91,62,0,13,3,0,126
35,Cam Newton,2011,2018,1,CAR,NFL,77,245,29,109,108,2001,3420,58.51,25074,158,94,85.3,7.33,230,62,45,1,8,3,1,109
36,Carson Palmer,2004,2017,1,TOT,NFL,77,235,27.9,182,181,3941,6307,62.49,46247,294,187,87.9,7.33,254.1,92,88,1,14,3,0,142
37,Alex Smith,2005,2018,1,TOT,NFL,76,213,25.9,156,151,2877,4613,62.37,31888,183,96,87.4,6.91,204.4,88,62,1,13,3,0,112
38,Marc Bulger,2002,2009,6,RAM,NFL,75,215,26.9,96,95,1969,3171,62.09,22814,122,93,84.4,7.19,237.6,41,54,0,8,2,0,64
39,Chris Chandler,1988,2004,3,TOT,NFL,76,224,27.3,180,152,2328,4005,58.13,28484,170,146,79.1,7.11,158.2,67,85,0,17,2,0,102
40,Kerry Collins,1995,2011,1,TOT,NFL,77,248,29.4,198,180,3487,6261,55.69,40922,208,196,73.8,6.54,206.7,81,99,0,17,2,0,111
41,Dan Fouts*,1983,1987,3,SDG,NFL,75,204,25.5,60,57,1244,2071,60.07,15901,92,89,81,7.68,265,26,31,0,5,2,0,47
42,Trent Green,1997,2008,8,TOT,NFL,75,217,27.1,120,113,2266,3740,60.59,28475,162,114,86,7.61,237.3,56,57,0,11,2,0,111
43,Brad Johnson,1994,2008,9,TOT,NFL,77,226,26.8,177,125,2668,4326,61.67,29054,166,122,82.5,6.72,164.1,72,53,0,15,2,0,90
44,Neil Lomax,1983,1988,2,CRD,NFL,75,215,26.9,85,85,1589,2712,58.59,19829,127,74,85.6,7.31,233.3,38,45,2,6,2,0,67
45,Ken O'Brien,1984,1993,1,TOT,NFL,76,210,25.6,129,110,2110,3602,58.58,25094,128,98,80.4,6.97,194.5,50,59,1,10,2,0,86
46,Mark Rypien,1988,2001,6,TOT,NFL,76,231,28.1,104,78,1466,2613,56.1,18473,115,88,78.9,7.07,177.6,47,31,0,11,2,0,62
47,Matt Schaub,2004,2018,2,TOT,NFL,78,245,28.3,145,92,2093,3274,63.93,24867,133,90,89.1,7.6,171.5,47,45,0,14,2,0,79
48,Phil Simms,1983,1993,1,NYG,NFL,75,216,27,129,125,2077,3664,56.69,27367,160,115,81.9,7.47,212.1,81,44,0,11,2,0,100
49,Vinny Testaverde,1987,2007,1,TOT,NFL,77,235,27.9,233,214,3787,6701,56.51,46233,275,267,75,6.9,198.4,90,123,1,21,2,0,142
50,Vince Young,2006,2011,1,TOT,NFL,77,230,27.3,60,50,755,1304,57.9,8964,46,51,74.4,6.87,149.4,31,19,0,6,2,0,36
51,Derek Anderson,2006,2017,6,TOT,NFL,78,229,26.5,76,47,867,1604,54.05,10413,60,60,71.1,6.49,137,20,27,0,12,1,0,21
52,Steve Beuerlein,1988,2003,4,TOT,NFL,75,220,27.5,147,102,1894,3328,56.91,24046,147,112,80.3,7.23,163.6,47,55,0,14,1,0,85
53,Jeff Blake,1992,2005,6,TOT,NFL,73,223,29.4,119,100,1827,3241,56.37,21711,134,99,78,6.7,182.4,39,61,0,13,1,0,78
54,Steve Bono,1985,1999,6,TOT,NFL,76,215,26.2,88,42,934,1701,54.91,10439,62,42,75.3,6.14,118.6,28,14,0,14,1,0,36
55,Teddy Bridgewater,2014,2018,1,TOT,NFL,74,215,27.6,30,28,551,851,64.75,6150,28,22,86.3,7.23,205,17,11,0,4,1,0,22
56,Matt Cassel,2005,2018,7,TOT,NFL,76,225,27.4,106,81,1571,2666,58.93,17449,104,81,78.8,6.55,164.6,36,45,0,14,1,0,51
57,Kirk Cousins,2012,2018,4,TOT,NFL,75,202,25.2,62,57,1372,2096,65.46,16206,99,55,93.7,7.73,261.4,26,30,1,7,1,0,43
58,Jay Cutler,2006,2017,1,TOT,NFL,75,225,28.1,153,153,3048,4920,61.95,35133,227,160,85.3,7.14,229.6,74,79,0,12,1,0,109
59,Jake Delhomme,1999,2011,,TOT,NFL,74,215,27.6,103,96,1741,2932,59.38,20975,126,101,81.3,7.15,203.6,56,40,0,11,1,0,67
60,Trent Dilfer,1994,2007,1,TOT,NFL,76,225,27.4,130,113,1759,3172,55.45,20518,113,129,70.2,6.47,157.8,58,55,0,13,1,0,60
61,Jim Everett,1986,1997,1,TOT,NFL,77,212,25.1,158,153,2841,4923,57.71,34837,203,175,78.6,7.08,220.5,64,89,0,12,1,0,108
62,Doug Flutie,1986,2005,11,TOT,NFL,70,180,25.8,92,66,1177,2151,54.72,14715,86,68,76.3,6.84,159.9,38,28,0,12,1,0,58
63,Nick Foles,2012,2018,3,TOT,NFL,78,243,28.1,50,40,852,1420,60,9869,61,30,86.6,6.95,197.4,23,17,0,7,1,0,26
64,Gus Frerotte,1994,2008,7,TOT,NFL,75,237,29.6,147,93,1699,3106,54.7,21291,114,106,74.2,6.85,144.8,45,47,1,15,1,0,65
65,David Garrard,2002,2010,4,JAX,NFL,73,244,32.2,86,76,1406,2281,61.64,16003,89,54,85.8,7.02,186.1,39,37,0,9,1,0,69
66,Jared Goff,2016,2017,1,RAM,NFL,76,222,27,22,22,408,682,59.82,4893,33,14,89.4,7.17,222.4,11,11,0,2,1,0,13
67,Elvis Grbac,1994,2001,8,TOT,NFL,77,232,27.5,105,70,1446,2445,59.14,16774,99,81,79.6,6.86,159.8,40,30,0,8,1,0,51
68,Brian Griese,1998,2008,3,TOT,NFL,75,215,26.9,93,83,1752,2796,62.66,19440,119,99,82.7,6.95,209,45,38,0,11,1,0,61
69,Robert Griffin,2012,2018,1,TOT,NFL,74,213,27.3,42,40,766,1210,63.31,8983,42,26,88.4,7.42,213.9,15,25,0,5,1,0,36
70,Jim Harbaugh,1987,2000,1,TOT,NFL,75,215,26.9,177,140,2305,3918,58.83,26288,129,117,77.6,6.71,148.5,66,74,0,14,1,0,101
71,Bobby Hebert,1985,1996,,TOT,NFL,76,215,26.2,118,100,1839,3121,58.92,21683,135,124,78,6.95,183.8,56,44,0,11,1,0,79
72,Jeff Hostetler,1985,1997,3,TOT,NFL,75,215,26.9,152,83,1357,2338,58.04,16430,94,71,80.5,7.03,108.1,51,32,0,12,1,0,65
73,Bill Kenney,1983,1988,12,KAN,NFL,76,211,25.7,83,55,1051,1918,54.8,13560,84,62,78.3,7.07,163.4,21,34,0,6,1,0,42
74,Bernie Kosar,1985,1996,1,TOT,NFL,77,210,24.9,126,108,1994,3365,59.26,23301,124,87,81.8,6.92,184.9,53,54,1,12,1,0,80
75,Tommy Kramer,1983,1990,1,TOT,NFL,74,200,25.7,65,55,865,1589,54.44,11374,71,70,73.8,7.16,175,27,28,0,8,1,0,40
76,Don Majkowski,1987,1996,10,TOT,NFL,74,197,25.3,90,57,1056,1905,55.43,12700,66,67,72.9,6.67,141.1,26,30,1,10,1,0,43
77,Jim McMahon,1983,1996,1,TOT,NFL,73,195,25.7,111,90,1372,2363,58.06,16647,91,83,78,7.04,150,64,26,0,14,1,0,63
78,Chris Miller,1987,1999,1,TOT,NFL,74,212,27.2,98,92,1580,2892,54.63,19320,123,102,74.9,6.68,197.1,34,58,0,10,1,0,60
79,Neil O'Donnell,1991,2003,3,TOT,NFL,75,228,28.5,125,100,1865,3229,57.76,21690,120,68,81.8,6.72,173.5,55,45,0,13,1,0,72
80,Jake Plummer,1997,2006,2,TOT,NFL,74,212,27.2,143,136,2484,4350,57.1,29253,161,161,74.6,6.72,204.6,69,67,0,10,1,0,92
81,Dak Prescott,2016,2018,4,DAL,NFL,74,238,30.6,32,32,619,949,65.23,6991,45,17,95.5,7.37,218.5,22,10,0,3,1,0,30
82,Jay Schroeder,1985,1994,3,TOT,NFL,76,215,26.2,118,99,1426,2808,50.78,20063,114,108,71.7,7.14,170,61,38,0,10,1,0,73
83,Matthew Stafford,2009,2018,1,DET,NFL,75,220,27.5,125,125,3005,4850,61.96,34749,216,118,88.3,7.16,278,60,65,0,10,1,0,100
84,Kordell Stewart,1995,2005,2,TOT,NFL,73,218,28.8,125,87,1316,2358,55.81,14746,77,84,70.7,6.25,118,48,34,0,11,1,0,68
85,Tyrod Taylor,2011,2018,6,TOT,NFL,73,210,27.7,58,43,793,1271,62.39,9056,51,18,91.2,7.13,156.1,22,20,0,8,1,0,41
86,Joe Theismann,1983,1985,4,WAS,NFL,72,192,26,43,43,726,1237,58.69,8879,61,40,83.9,7.18,206.5,31,12,0,3,1,1,36
87,Tom Tupa,1988,2004,3,TOT,NFL,76,225,27.4,220,13,259,504,51.39,3430,12,25,60.5,6.81,15.6,4,9,0,16,1,1,39
88,Carson Wentz,2016,2018,1,PHI,NFL,77,237,28.1,29,29,644,1047,61.51,7078,49,21,88.8,6.76,244.1,18,11,0,3,1,0,24
89,Wade Wilson,1983,1998,8,TOT,NFL,75,210,26.2,122,69,1385,2415,57.35,17235,99,100,76,7.14,141.3,36,33,0,16,1,0,60
90,Jameis Winston,2015,2018,1,TAM,NFL,76,231,28.1,45,45,939,1544,60.82,11636,69,44,87.2,7.54,258.6,18,27,0,4,1,0,35
91,Tony Adams,1987,1987,14,MIN,NFL,72,198,26.9,3,3,49,89,55.06,607,3,5,64.2,6.82,202.3,0,3,0,1,0,0,2
92,Ken Anderson,1983,1986,3,CIN,NFL,74,212,27.2,35,24,400,627,63.8,4781,25,27,82.4,7.63,136.6,8,16,0,4,0,0,18
93,David Archer,1984,1989,,TOT,NFL,74,207,26.6,55,23,336,661,50.83,4337,18,30,61.9,6.56,78.9,9,13,1,6,0,0,14
94,Bob Avellini,1983,1984,6,CHI,NFL,74,208,26.7,6,1,30,53,56.6,288,0,3,48.3,5.43,48,0,1,0,2,0,0,1
95,Tony Banks,1996,2005,2,TOT,NFL,76,230,28,96,78,1278,2356,54.24,15315,77,73,72.4,6.5,159.5,35,43,0,9,0,0,48
96,Matt Barkley,2013,2018,4,TOT,NFL,74,234,30,11,6,159,266,59.77,1911,8,18,63.7,7.18,173.7,1,5,0,4,0,0,2
97,Dave Barr,1995,1995,4,RAM,NFL,75,210,26.2,2,0,5,9,55.56,42,0,0,67.8,4.67,21,0,0,0,1,0,0,0
98,Richard Bartel,2010,2011,,CRD,NFL,75,246,30.7,3,0,26,50,52,236,1,2,55.1,4.72,78.7,0,0,0,2,0,0,0
99,Steve Bartkowski,1983,1986,1,TOT,NFL,76,216,26.3,36,36,585,938,62.37,6717,40,19,89.7,7.16,186.6,13,23,0,4,0,0,23
100,Brett Basanez,2006,2006,,CAR,NFL,74,215,27.6,1,0,6,11,54.55,56,0,1,30.9,5.09,56,0,0,0,1,0,0,0
101,Charlie Batch,1998,2012,2,TOT,NFL,74,220,28.2,81,55,908,1604,56.61,11085,61,52,77.2,6.91,136.9,25,30,0,12,0,0,37
102,C.J. Beathard,2017,2018,3,SFO,NFL,74,215,27.6,7,5,123,224,54.91,1430,4,6,69.2,6.38,204.3,1,4,0,2,0,0,4
103,John Beck,2007,2011,2,TOT,NFL,74,215,27.6,9,7,140,239,58.58,1417,3,7,67.6,5.93,157.4,0,7,0,2,0,0,4
104,Kerwin Bell,1996,1996,7,CLT,NFL,75,207,25.9,1,0,5,5,100,75,1,0,158.3,15,75,0,0,0,1,0,0,0
105,Guy Benjamin,1983,1983,2,SFO,NFL,76,210,25.6,4,0,7,12,58.33,111,1,0,117,9.25,27.8,0,0,0,1,0,0,0
106,Ben Bennett,1987,1987,6,CIN,NFL,73,200,26.4,1,0,2,6,33.33,25,0,1,7.6,4.17,25,0,0,0,1,0,0,0
107,Brock Berlin,2007,2008,,RAM,NFL,73,215,28.4,2,1,18,31,58.06,159,0,1,58.4,5.13,79.5,0,1,0,2,0,0,0
108,Michael Bishop,2000,2000,7,NWE,NFL,74,215,27.6,8,0,3,9,33.33,80,1,1,64.4,8.89,10,0,0,0,1,0,0,0
109,Todd Blackledge,1983,1989,1,TOT,NFL,75,225,28.1,46,29,424,881,48.13,5286,29,38,60.2,6,114.9,15,14,0,7,0,0,13
110,Bob Bleier,1987,1987,,NWE,NFL,75,210,26.2,3,2,14,39,35.9,181,1,1,49.2,4.64,60.3,1,1,0,1,0,0,1
111,Matt Blundin,1993,1997,2,TOT,NFL,78,233,26.9,3,0,2,9,22.22,15,0,2,0,1.67,5,0,0,0,3,0,0,0
112,Kyle Boller,2003,2011,1,TOT,NFL,75,220,27.5,67,47,861,1519,56.68,8931,48,54,69.5,5.88,133.3,20,27,0,8,0,0,18
113,Brooks Bollinger,2004,2008,6,TOT,NFL,73,205,27,21,10,211,360,58.61,2226,9,9,74.6,6.18,106,2,8,0,5,0,0,6
114,Blake Bortles,2014,2018,1,JAX,NFL,77,236,28,62,61,1318,2229,59.13,14928,90,64,80.8,6.7,240.8,21,40,0,5,0,0,42
115,Todd Bouman,2001,2010,,TOT,NFL,74,229,29.4,44,7,147,264,55.68,1905,13,13,74.4,7.22,43.3,1,6,0,7,0,0,6
116,Trevone Boykin,2016,2016,,SEA,NFL,72,213,28.9,5,0,13,18,72.22,145,1,1,91.2,8.06,29,,,,1,0,0,0
117,Sam Bradford,2010,2018,1,TOT,NFL,76,224,27.3,80,80,1805,2887,62.52,19049,101,57,85.1,6.6,238.1,34,45,1,9,0,0,48
118,Steve Bradley,1987,1987,12,CHI,NFL,74,216,27.7,1,1,6,18,33.33,77,2,3,45.1,4.28,77,0,1,0,1,0,0,0
119,Terry Bradshaw*,1983,1983,,PIT,NFL,75,215,26.9,1,1,5,8,62.5,77,2,0,133.9,9.63,77,1,0,0,1,0,0,0
120,Tom Brandstater,2011,2011,6,RAM,NFL,77,215,25.5,1,0,0,2,0,0,0,0,39.6,0,0,,,,1,0,0,0
121,Tyler Bray,2014,2018,,TOT,NFL,78,225,26,1,0,0,1,0,0,0,0,39.6,0,0,,,,3,0,0,0
122,Adrian Breen,1987,1987,,CIN,NFL,76,183,22.3,2,1,3,8,37.5,9,1,0,85.4,1.13,4.5,0,1,0,1,0,0,0
123,Walter Briggs,1987,1987,,NYJ,NFL,73,205,27,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
124,Jacoby Brissett,2016,2018,3,TOT,NFL,76,235,28.6,19,17,310,524,59.16,3498,13,7,81.9,6.68,184.1,5,12,0,3,0,0,13
125,Bubby Brister,1986,2000,3,TOT,NFL,75,205,25.6,99,75,1207,2212,54.57,14445,81,78,72.3,6.53,145.9,37,38,0,14,0,0,44
126,Dieter Brock,1985,1985,,RAM,NFL,72,195,26.4,15,15,218,365,59.73,2658,16,13,82,7.28,177.2,11,4,0,1,0,0,9
127,Brian Brohm,2009,2010,2,BUF,NFL,75,227,28.4,3,2,27,52,51.92,252,0,5,26,4.85,84,0,2,0,2,0,0,0
128,Jeff Brohm,1996,1997,,SFO,NFL,73,205,27,8,0,37,58,63.79,353,1,1,79.2,6.09,44.1,0,0,0,2,0,0,2
129,Aaron Brooks,2000,2006,4,TOT,NFL,76,220,26.8,93,90,1673,2963,56.46,20261,123,92,78.5,6.84,217.9,38,52,0,7,0,0,72
130,Dave Brown,1992,2001,1,TOT,NFL,77,230,27.3,73,60,892,1634,54.59,10248,44,58,67.9,6.27,140.4,26,34,0,10,0,0,29
131,Levi Brown,2010,2010,7,BUF,NFL,75,229,28.6,1,0,2,3,66.67,24,0,1,51.4,8,24,0,0,0,1,0,0,0
132,Travis Brown,2000,2003,,TOT,NFL,75,215,26.9,4,0,29,52,55.77,361,1,3,59.9,6.94,90.3,0,0,0,3,0,0,1
133,Scott Brunner,1983,1985,6,TOT,NFL,77,206,24.4,32,12,220,446,49.33,2852,10,28,51.1,6.39,89.1,3,9,0,2,0,0,5
134,Mike Buck,1991,1995,6,TOT,NFL,75,227,28.4,12,1,55,92,59.78,790,5,4,87.7,8.59,65.8,0,1,0,4,0,0,2
135,Henry Burris,2002,2002,,CHI,NFL,72,195,26.4,6,1,18,51,35.29,207,3,5,28.4,4.06,34.5,0,1,0,1,0,0,1
136,Mike Busch,1987,1987,,NYG,NFL,76,214,26,2,1,17,47,36.17,278,3,2,60.4,5.91,139,0,1,0,1,0,0,1
137,Joe Callahan,2017,2018,,TOT,NFL,73,216,28.5,1,0,5,7,71.43,11,0,0,74.1,1.57,11,,,,2,0,0,0
138,Jason Campbell,2006,2014,1,TOT,NFL,77,223,26.4,90,79,1519,2518,60.33,16771,87,60,81.7,6.66,186.3,32,47,0,9,0,0,53
139,Rich Campbell,1983,1984,1,GNB,NFL,76,224,27.3,4,0,16,38,42.11,218,3,5,47.8,5.74,54.5,0,0,0,2,0,0,1
140,Scott Campbell,1984,1990,7,TOT,NFL,72,196,26.6,45,13,224,454,49.34,2983,19,25,61.6,6.57,66.3,2,11,0,6,0,0,8
141,Cody Carlson,1988,1994,3,OTI,NFL,75,202,25.2,45,19,370,659,56.15,4469,21,28,70,6.78,99.3,11,8,0,7,0,0,16
142,Jeff Carlson,1990,1992,4,TOT,NFL,75,215,26.9,7,3,49,114,42.98,636,2,9,34.1,5.58,90.9,0,3,0,3,0,0,2
143,David Carr,2002,2012,1,TOT,NFL,75,215,26.9,94,79,1353,2267,59.68,14452,65,71,74.9,6.37,153.7,23,56,0,10,0,0,48
144,Quincy Carter,2001,2004,2,TOT,NFL,74,213,27.3,38,34,542,960,56.46,6337,32,37,71.7,6.6,166.8,18,16,0,4,0,0,18
145,Stoney Case,1995,2000,3,TOT,NFL,75,204,25.5,20,6,163,318,51.26,1826,4,15,53.3,5.74,91.3,3,3,0,4,0,0,4
146,Matt Cavanaugh,1983,1991,2,TOT,NFL,74,212,27.2,60,4,99,194,51.03,1314,9,7,73.3,6.77,21.9,3,1,0,9,0,0,4
147,Mike Cherry,1997,1998,6,NYG,NFL,75,226,28.2,2,0,0,1,0,0,0,0,39.6,0,0,0,0,0,2,0,0,0
148,Jeff Christensen,1983,1987,5,TOT,NFL,75,202,25.2,4,2,24,58,41.38,297,1,3,42.1,5.12,74.3,1,1,0,2,0,0,2
149,Jimmy Clausen,2010,2015,2,TOT,NFL,75,217,27.1,22,14,255,472,54.03,2520,7,14,61.9,5.34,114.5,1,13,0,4,0,0,3
150,Kellen Clemens,2006,2017,2,TOT,NFL,74,224,28.8,64,21,350,638,54.86,4053,16,21,68.9,6.35,63.3,8,13,0,12,0,0,10
151,Reggie Collier,1986,1987,6,TOT,NFL,75,207,25.9,6,1,12,22,54.55,206,3,3,86.6,9.36,34.3,0,1,0,2,0,0,1
152,Todd Collins,1995,2010,2,TOT,NFL,76,225,27.4,50,21,391,701,55.78,4547,22,24,71.8,6.49,90.9,11,10,0,12,0,0,11
153,Cary Conklin,1992,1995,4,TOT,NFL,76,220,26.8,7,2,52,101,51.49,560,5,3,72.2,5.54,80,0,2,0,3,0,0,1
154,Connor Cook,2016,2018,4,RAI,NFL,76,217,26.4,1,0,14,21,66.67,150,1,1,83.4,7.14,150,,,,2,0,0,0
155,Tim Couch,1999,2003,1,CLE,NFL,76,220,26.8,62,59,1025,1714,59.8,11131,64,67,75.1,6.49,179.5,22,37,0,5,0,0,32
156,Scott Covington,1999,2002,7,TOT,NFL,74,217,27.9,4,1,6,10,60,30,0,0,64.6,3,7.5,1,0,0,2,0,0,0
157,Dameyune Craig,2000,2001,,CAR,NFL,73,200,26.4,6,0,4,8,50,34,0,0,61.5,4.25,5.7,0,0,0,2,0,0,0
158,Jim Crocicchia,1987,1987,,NYG,NFL,74,209,26.8,1,1,6,15,40,89,1,0,82.4,5.93,89,0,1,0,1,0,0,0
159,Brodie Croyle,2006,2010,3,KAN,NFL,74,205,26.3,18,10,181,319,56.74,1669,8,9,67.8,5.23,92.7,0,10,0,5,0,0,2
160,Chase Daniel,2010,2018,,TOT,NFL,72,225,30.5,57,2,51,78,65.38,480,1,1,81.1,6.15,8.4,1,1,0,9,0,0,2
161,B.J. Daniels,2014,2015,7,TOT,NFL,71,217,30.3,8,0,1,2,50,7,0,0,58.3,3.5,0.9,,,,2,0,0,0
162,Gary Danielson,1983,1988,,TOT,NFL,74,195,25,41,22,464,771,60.18,5675,36,26,84.4,7.36,138.4,8,13,1,5,0,0,20
163,Rohan Davey,2002,2004,4,NWE,NFL,74,245,31.5,7,0,8,19,42.11,88,0,0,56.5,4.63,12.6,0,0,0,3,0,0,0
164,Austin Davis,2012,2018,,TOT,NFL,74,221,28.4,16,10,236,378,62.43,2548,13,12,80.4,6.74,159.3,3,7,0,5,0,0,6
165,Dominique Davis,2012,2014,,TOT,NFL,75,210,26.2,2,0,5,7,71.43,34,0,0,81.8,4.86,17,0,0,,3,0,0,0
166,Steve DeBerg,1983,1998,10,TOT,NFL,75,210,26.2,144,99,2009,3492,57.53,24819,146,127,78.4,7.11,172.4,45,53,1,12,0,0,82
167,Koy Detmer,1998,2006,7,PHI,NFL,73,195,25.7,104,8,184,354,51.98,1944,10,14,61.2,5.49,18.7,3,5,0,9,0,0,4
168,Ty Detmer,1993,2003,9,TOT,NFL,72,189,25.6,54,25,546,946,57.72,6351,34,35,74.7,6.71,117.6,11,14,0,8,0,0,15
169,Lynn Dickey,1983,1985,3,GNB,NFL,75,214,26.7,43,41,698,1199,58.22,9859,72,65,82.3,8.22,229.3,20,21,0,3,0,0,31
170,Steve Dils,1983,1988,4,TOT,NFL,73,190,25.1,78,24,407,793,51.32,4789,23,30,63.9,6.04,61.4,9,15,0,6,0,0,13
171,Anthony Dilweg,1989,1990,3,GNB,NFL,75,215,26.9,10,7,102,193,52.85,1274,8,7,72.3,6.6,127.4,2,5,0,2,0,0,4
172,Dennis Dixon,2008,2014,5,TOT,NFL,75,195,24.4,4,3,35,59,59.32,402,1,2,71.4,6.81,100.5,2,1,0,5,0,0,2
173,Ken Dorsey,2004,2008,7,TOT,NFL,76,218,26.5,17,13,214,408,52.45,2082,8,18,55.2,5.1,122.5,2,11,0,5,0,0,1
174,Jim Druckenmiller,1997,1998,1,SFO,NFL,76,241,29.3,6,1,21,52,40.38,239,1,4,29.2,4.6,39.8,1,0,0,2,0,0,1
175,Joe Dufek,1983,1984,,BUF,NFL,76,215,26.2,10,5,74,150,49.33,829,4,8,52.9,5.53,82.9,1,4,0,2,0,0,-1
176,Tony Eason,1983,1990,1,TOT,NFL,76,212,25.8,90,51,911,1564,58.25,11142,61,51,79.7,7.12,123.8,28,23,0,8,0,0,39
177,Trent Edwards,2007,2012,3,TOT,NFL,76,231,28.1,38,33,563,929,60.6,6033,26,30,75.5,6.49,158.8,14,19,0,5,0,0,18
178,Mike Elkins,1989,1989,2,KAN,NFL,75,221,27.6,1,0,1,2,50,5,0,1,16.7,2.5,5,0,0,0,1,0,0,0
179,Craig Erickson,1992,1997,5,TOT,NFL,74,209,26.8,52,36,591,1092,54.12,7625,41,38,74.3,6.98,146.6,14,21,0,6,0,0,22
180,Alex Espinoza,1987,1987,,KAN,NFL,73,193,25.5,1,0,9,14,64.29,69,0,2,36.6,4.93,69,0,0,0,1,0,0,0
181,Vince Evans,1983,1995,6,TOT,NFL,74,215,27.6,53,10,316,582,54.3,4421,26,28,73.8,7.6,83.4,3,7,0,9,0,0,17
182,David Fales,2014,2018,6,TOT,NFL,74,213,27.3,3,0,31,48,64.58,287,1,1,79.1,5.98,95.7,,,,4,0,0,1
183,Randy Fasani,2002,2002,5,CAR,NFL,75,234,29.2,4,1,15,44,34.09,171,0,4,8.8,3.89,42.8,0,1,0,1,0,0,1
184,A.J. Feeley,2001,2011,5,TOT,NFL,75,225,28.1,28,18,425,762,55.77,4618,28,31,69.1,6.06,164.9,8,10,0,6,0,0,8
185,Joe Ferguson,1983,1990,5,TOT,NFL,73,195,25.7,50,35,653,1205,54.19,7213,53,61,65.8,5.99,144.3,11,24,0,7,0,0,16
186,Vince Ferragamo,1983,1986,4,TOT,NFL,75,212,26.5,32,28,475,857,55.43,5553,30,51,62.1,6.48,173.5,11,17,0,4,0,0,12
187,Jay Fiedler,1995,2005,,TOT,NFL,74,225,28.9,76,60,1008,1717,58.71,11844,69,66,77.1,6.9,155.8,37,23,0,9,0,0,42
188,Ryan Fitzpatrick,2005,2018,7,TOT,NFL,74,223,28.6,133,119,2411,4039,59.69,26991,173,136,79.9,6.68,202.9,48,70,1,14,0,0,79
189,Joe Flacco,2008,2018,1,RAV,NFL,78,245,28.3,154,154,3267,5291,61.75,35780,200,130,84.1,6.76,232.3,92,62,0,11,0,0,106
190,Tom Flick,1984,1986,4,TOT,NFL,74,190,24.4,12,3,34,74,45.95,363,2,8,30.2,4.91,30.3,1,2,0,2,0,0,1
191,Matt Flynn,2008,2014,7,TOT,NFL,74,228,29.3,53,7,219,357,61.34,2541,17,11,85.9,7.12,47.9,3,4,0,7,0,0,8
192,Glenn Foley,1994,1999,7,TOT,NFL,74,210,27,21,9,207,382,54.19,2469,12,16,67.2,6.46,117.6,2,7,0,6,0,0,8
