,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Cade McNown*\cade-mcnown-1,UCLA,Pac-10,12,189,312,60.6,3116,10.0,10.7,24,6,166.0,79,26,0.3,4
2,Ryan Leaf*\ryan-leaf-1,Washington State,Pac-10,12,227,410,55.4,3968,9.7,10.1,34,11,158.7,82,-48,-0.6,6
3,John Dutton\john-dutton-2,Nevada,Big West,11,225,367,61.3,3526,9.6,10.0,20,6,156.7,44,-4,-0.1,1
4,Donovan McNabb\donovan-mcnabb-1,Syracuse,Big East,12,145,265,54.7,2488,9.4,9.9,20,6,154.0,110,404,3.7,6
5,Mike Bobo\mike-bobo-2,Georgia,SEC,12,199,306,65.0,2751,9.0,9.1,19,8,155.8,40,-70,-1.8,1
6,Moses Moreno\moses-moreno-1,Colorado State,WAC,12,157,257,61.1,2257,8.8,8.8,20,9,153.5,56,-97,-1.7,1
7,Brock Huard\brock-huard-1,Washington,Pac-10,10,146,244,59.8,2140,8.8,8.8,23,10,156.4,31,-82,-2.6,1
8,Joe Germaine*\joe-germaine-1,Ohio State,Big Ten,13,129,210,61.4,1847,8.8,8.4,16,9,151.9,32,-132,-4.1,0
9,Mike McQueary\mike-mcqueary-1,Penn State,Big Ten,12,146,255,57.3,2211,8.7,8.4,17,9,145.0,53,-27,-0.5,1
10,Corby Jones\corby-jones-1,Missouri,Big 12,11,102,191,53.4,1658,8.7,8.5,12,6,140.8,183,887,4.8,14
11,Jason Maas*\jason-maas-1,Oregon,Pac-10,10,104,187,55.6,1631,8.7,8.7,18,8,152.1,36,68,1.9,1
12,Joe Hamilton\joe-hamilton-1,Georgia Tech,ACC,11,173,268,64.6,2314,8.6,8.4,12,7,146.6,140,478,3.4,5
13,Thad Busby\thad-busby-1,Florida State,ACC,11,235,390,60.3,3317,8.5,8.6,25,10,147.7,57,-16,-0.3,2
14,Aaron Brooks\aaron-brooks-1,Virginia,ACC,11,164,270,60.7,2282,8.5,8.8,20,7,151.0,85,255,3.0,5
15,Graham Leigh\graham-leigh-2,New Mexico,WAC,12,166,276,60.1,2318,8.4,8.8,24,8,153.6,135,528,3.9,8
16,Michael Bishop\michael-bishop-1,Kansas State,Big 12,11,80,185,43.2,1557,8.4,7.9,13,8,128.5,147,566,3.9,9
