,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Kerwin Bell\kerwin-bell-2,Florida,SEC,11,180,288,62.5,2687,9.3,9.5,21,8,159.4,54,-218,-4.0,0
2,Vinny Testaverde\vinny-testaverde-1,Miami (FL),Ind,11,216,352,61.4,3238,9.2,8.5,21,15,149.8,68,-158,-2.3,4
3,Billy Rucker\billy-rucker-1,New Mexico,WAC,11,134,268,50.0,2475,9.2,7.3,10,16,127.9,164,382,2.3,10
4,Kevin Sweeney\kevin-sweeney-1,Fresno State,PCAA,11,177,295,60.0,2604,8.8,8.7,14,7,145.1,78,40,0.5,4
5,Mike Shula\mike-shula-1,Alabama,SEC,11,138,229,60.3,2009,8.8,8.6,16,8,150.0,52,28,0.5,1
6,Jim Harbaugh*\jim-harbaugh-1,Michigan,Big Ten,12,145,227,63.9,1976,8.7,9.1,18,6,157.9,79,139,1.8,4
7,Chuck Long\chuck-long-1,Iowa,Big Ten,11,231,351,65.8,2978,8.5,8.0,26,15,153.0,40,-91,-2.3,1
8,David Norrie*\david-norrie-1,UCLA,Pac-10,12,136,214,63.6,1819,8.5,7.3,10,10,141.0,54,54,1.0,1
9,Robbie Bosco\robbie-bosco-1,Brigham Young,WAC,13,338,511,66.1,4273,8.4,7.4,30,24,146.4,67,-132,-2.0,2
10,Sammy Garza\sammy-garza-1,UTEP,WAC,11,120,200,60.0,1654,8.3,6.2,6,12,127.4,107,-48,-0.4,3
11,Lee Saltz\lee-saltz-1,Temple,Ind,11,107,229,46.7,1875,8.2,7.8,13,8,127.2,60,-1,0.0,3
12,Jim Everett\jim-everett-2,Purdue,Big Ten,11,285,450,63.3,3651,8.1,8.0,23,11,143.5,68,-62,-0.9,1
13,Todd Santos\todd-santos-1,San Diego State,WAC,12,226,357,63.3,2877,8.1,7.1,21,17,140.9,47,-111,-2.4,0
14,John Dewberry\john-dewberry-1,Georgia Tech,ACC,11,110,193,57.0,1557,8.1,7.2,10,8,133.6,106,78,0.7,1
15,Stan Gelbaugh\stan-gelbaugh-1,Maryland,ACC,11,166,311,53.4,2475,8.0,6.9,15,14,127.1,38,-90,-2.4,1
16,Jim Karsatos*\jim-karsatos-1,Ohio State,Big Ten,12,177,289,61.2,2311,8.0,8.1,19,8,144.6,65,39,0.6,2
17,Mark Rypien\mark-rypien-1,Washington State,Pac-10,11,159,273,58.2,2174,8.0,7.0,14,12,133.3,76,243,3.2,3
18,Doug Gaynor\doug-gaynor-1,Long Beach State,PCAA,12,321,451,71.2,3563,7.9,6.9,19,18,143.5,137,-96,-0.7,6
19,Kevin Murray\kevin-murray-1,Texas A&M,SWC,11,147,251,58.6,1965,7.8,7.1,13,10,133.5,44,-73,-1.7,0
20,Danny McCoin\danny-mccoin-1,Cincinnati,Ind,11,115,201,57.2,1576,7.8,7.9,12,5,137.8,46,-178,-3.9,3
21,Mike Hold\mike-hold-1,South Carolina,Ind,11,107,208,51.4,1596,7.7,6.2,7,10,117.4,165,363,2.2,5
22,Andrew Anderson\andrew-anderson-1,Southern Mississippi,Ind,11,84,174,48.3,1319,7.6,5.9,10,11,118.3,88,-2,0.0,5
23,Don Smith\don-smith-3,Mississippi State,SEC,11,143,312,45.8,2332,7.5,6.4,15,14,115.5,190,554,2.9,6
24,Bill Ransdell\bill-ransdell-2,Kentucky,SEC,9,133,231,57.6,1744,7.5,6.8,5,6,122.9,42,-24,-0.6,0
25,Erik Kramer\erik-kramer-1,North Carolina State,ACC,11,189,339,55.8,2510,7.4,6.8,16,12,126.4,90,-258,-2.9,1
26,Gregg Tipton\gregg-tipton-1,Hawaii,WAC,12,156,288,54.2,2130,7.4,6.7,12,10,123.1,92,-62,-0.7,3
27,Mike Norseth\mike-norseth-1,Kansas,Big 8,12,227,408,55.6,2995,7.3,6.9,15,11,124.0,135,219,1.6,3
28,Terry Morris\terry-morris-1,Miami (OH),MAC,11,121,202,59.9,1471,7.3,5.4,6,11,120.0,31,-120,-3.9,0
29,Larry Egger\larry-egger-1,Utah,WAC,12,237,417,56.8,2988,7.2,5.7,18,22,120.7,58,-98,-1.7,3
30,Brian McClure\brian-mcclure-1,Bowling Green State,MAC,11,226,371,60.9,2674,7.2,6.2,18,16,128.8,42,-89,-2.1,0
31,Jeff Van Raaphorst\jeff-van-raaphorst-1,Arizona State,Pac-10,11,174,310,56.1,2200,7.1,6.1,10,11,119.3,53,-169,-3.2,0
32,Shawn Halloran\shawn-halloran-1,Boston College,Ind,12,234,423,55.3,2935,6.9,5.1,12,23,112.1,65,-107,-1.6,0
33,Kelly Stouffer\kelly-stouffer-1,Colorado State,WAC,12,204,346,59.0,2387,6.9,6.3,15,11,124.9,40,-132,-3.3,0
34,Marlon Adler\marlon-adler-1,Missouri,Big 8,11,89,183,48.6,1258,6.9,4.4,7,13,104.8,80,122,1.5,1
35,Chris Miller\chris-miller-4,Oregon,Pac-10,11,182,329,55.3,2237,6.8,6.1,18,13,122.6,45,81,1.8,4
36,Gerald Landry\gerald-landry-1,Houston,SWC,11,117,241,48.5,1624,6.7,5.9,10,9,111.4,167,414,2.5,7
37,Wade Kosakowski\wade-kosakowski-1,Ball State,MAC,11,140,242,57.9,1614,6.7,5.3,8,11,115.7,57,-49,-0.9,1
38,Jack Trudeau\jack-trudeau-1,Illinois,Big Ten,11,284,446,63.7,2938,6.6,5.7,15,15,123.4,69,-24,-0.3,4
39,Steve Slayden\steve-slayden-1,Duke,ACC,10,173,294,58.8,1937,6.6,5.3,10,13,116.6,99,82,0.8,2
40,Steve Stallworth\steve-stallworth-1,UNLV,PCAA,11,158,292,54.1,1920,6.6,5.8,9,9,113.3,56,-92,-1.6,1
41,John Gromos\john-gromos-1,Vanderbilt,SEC,11,124,224,55.4,1483,6.6,5.1,6,10,110.9,26,-115,-4.4,2
42,Don King\don-king-2,SMU,SWC,11,107,209,51.2,1386,6.6,5.8,5,6,109.1,91,191,2.1,2
43,Ken Karcher\ken-karcher-1,Tulane,Ind,9,175,306,57.2,1991,6.5,5.9,9,8,116.3,39,-112,-2.9,1
44,Ken Karcher\ken-karcher-2,Tulane,Ind,9,175,306,57.2,1991,6.5,5.9,9,8,116.3,39,-112,-2.9,1
45,Steve Bradley\steve-bradley-1,Indiana,Big Ten,11,142,266,53.4,1737,6.5,4.8,11,15,110.6,79,239,3.0,4
46,Chris Conklin\chris-conklin-1,Western Michigan,MAC,11,133,244,54.5,1574,6.5,5.4,10,10,114.0,40,-26,-0.7,0
47,John Paye\john-paye-2,Stanford,Pac-10,11,271,405,66.9,2589,6.4,5.4,10,13,122.3,74,-40,-0.5,5
48,Mike Greenfield\mike-greenfield-1,Northwestern,Big Ten,11,199,335,59.4,2152,6.4,5.1,5,12,111.1,168,70,0.4,4
49,Alfred Jenkins\alfred-jenkins-1,Arizona,Pac-10,11,150,278,54.0,1767,6.4,5.2,7,10,108.5,95,130,1.4,2
50,Kevin Brown\kevin-brown-6,California,Pac-10,11,122,227,53.7,1447,6.4,4.5,6,12,105.4,66,-52,-0.8,0
51,Ron Fillmore\ron-fillmore-1,Central Michigan,MAC,8,94,185,50.8,1191,6.4,3.8,7,14,102.2,75,110,1.5,0
