,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Ryan Schneider\ryan-schneider-1,UCF,MAC,12,265,430,61.6,3770,8.8,8.5,31,16,151.6,37,-89,-2.4,2
2,Brad Banks*\brad-banks-1,Iowa,Big Ten,13,170,294,57.8,2573,8.8,9.8,26,5,157.1,81,423,5.2,5
3,Scott McBrien*\scott-mcbrien-1,Maryland,ACC,14,162,284,57.0,2497,8.8,8.3,15,10,141.3,88,284,3.2,7
4,Scott McBrien*\scott-mcbrien-2,Maryland,ACC,14,162,284,57.0,2497,8.8,8.3,15,10,141.3,88,284,3.2,7
5,Byron Leftwich*\byron-leftwich-1,Marshall,MAC,12,331,491,67.4,4268,8.7,9.0,30,10,156.5,37,-1,0.0,3
6,Ken Dorsey*\ken-dorsey-1,Miami (FL),Big East,13,222,393,56.5,3369,8.6,8.6,28,12,145.9,23,-39,-1.7,0
7,Bryan Randall*\bryan-randall-1,Virginia Tech,Big East,14,158,248,63.7,2134,8.6,7.6,12,11,143.1,171,507,3.0,3
8,Jason Gesser*\jason-gesser-1,Washington State,Pac-10,13,236,402,58.7,3408,8.5,8.4,28,13,146.4,54,-116,-2.1,0
9,Craig Krenzel*\craig-krenzel-1,Ohio State,Big Ten,14,148,249,59.4,2110,8.5,8.2,12,7,140.9,125,368,2.9,3
10,James MacPherson*\james-macpherson-1,Wake Forest,ACC,13,123,223,55.2,1837,8.2,8.1,8,4,132.6,68,177,2.6,1
11,Carson Palmer*\carson-palmer-1,USC,Pac-10,13,309,489,63.2,3942,8.1,8.5,33,10,149.1,50,-122,-2.4,4
12,Brian Jones*\brian-jones-2,Toledo,MAC,14,297,423,70.2,3446,8.1,8.3,23,9,152.3,85,414,4.9,5
13,Jason Johnson\jason-johnson-2,Arizona,Pac-10,12,239,410,58.3,3327,8.1,7.5,16,13,133.0,60,-373,-6.2,0
14,Chris Simms*\chris-simms-1,Texas,Big 12,13,235,396,59.3,3207,8.1,8.0,26,12,143.0,70,-124,-1.8,4
15,Andrew Walter*\andrew-walter-1,Arizona State,Pac-10,14,274,483,56.7,3877,8.0,7.8,28,15,137.1,56,-216,-3.9,0
16,Philip Rivers*\philip-rivers-1,North Carolina State,ACC,14,262,418,62.7,3353,8.0,7.9,20,10,141.1,57,100,1.8,10
17,Josh Haldi\josh-haldi-1,Northern Illinois,MAC,12,130,254,51.2,2027,8.0,8.1,15,6,133.0,59,-90,-1.5,0
18,Joshua Haldi\joshua-haldi-1,Northern Illinois,MAC,12,130,254,51.2,2027,8.0,8.1,15,6,133.0,59,-90,-1.5,0
19,Nick Eddy\nick-eddy-1,Houston,CUSA,11,134,265,50.6,2054,7.8,5.9,16,18,122.0,37,-39,-1.1,2
20,Josh Fields*\josh-fields-1,Oklahoma State,Big 12,13,226,408,55.4,3145,7.7,8.1,31,10,140.3,50,-72,-1.4,3
