,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,David Johnson*\david-johnson-3,Tulsa,CUSA,14,258,400,64.5,4059,10.1,10.4,46,18,178.7,92,186,2.0,3
2,Sam Bradford*\sam-bradford-1,Oklahoma,Big 12,14,328,483,67.9,4720,9.8,11.1,50,8,180.8,42,47,1.1,5
3,Zac Robinson*\zac-robinson-1,Oklahoma State,Big 12,13,204,314,65.0,3064,9.8,9.9,25,10,166.8,146,562,3.8,8
4,Tim Tebow*\tim-tebow-1,Florida,SEC,14,192,298,64.4,2746,9.2,10.6,30,4,172.4,176,673,3.8,12
5,Nate Davis*\nate-davis-1,Ball State,MAC,14,258,401,64.3,3591,9.0,9.4,26,8,157.0,66,312,4.7,5
6,Matthew Stafford*\matthew-stafford-1,Georgia,SEC,13,235,383,61.4,3459,9.0,9.2,25,10,153.5,55,40,0.7,1
7,Colt McCoy*\colt-mccoy-1,Texas,Big 12,13,332,433,76.7,3859,8.9,9.7,34,8,173.8,136,561,4.1,11
8,Mark Sanchez*\mark-sanchez-1,USC,Pac-10,13,241,366,65.8,3207,8.8,9.4,34,10,164.6,52,16,0.3,3
9,Kellen Moore*\kellen-moore-1,Boise State,WAC,13,281,405,69.4,3486,8.6,8.7,25,10,157.1,38,-30,-0.8,1
10,Mike Teel*\mike-teel-1,Rutgers,Big East,13,243,396,61.4,3418,8.6,8.4,25,13,148.1,24,-73,-3.0,2
11,Case Keenum*\case-keenum-1,Houston,CUSA,13,397,589,67.4,5020,8.5,9.2,44,11,159.9,76,221,2.9,7
12,Joe Ganz*\joe-ganz-1,Nebraska,Big 12,13,285,420,67.9,3568,8.5,8.5,25,11,153.6,92,258,2.8,5
13,Chase Clement*\chase-clement-2,Rice,CUSA,13,326,490,66.5,4119,8.4,9.6,44,7,163.9,154,693,4.5,12
14,Jevan Snead*\jevan-snead-1,Ole Miss,SEC,13,184,327,56.3,2762,8.4,8.2,26,13,145.5,57,60,1.1,3
15,Max Hall*\max-hall-1,Brigham Young,MWC,13,330,477,69.2,3957,8.3,8.4,35,14,157.2,65,115,1.8,4
16,Juice Williams\juice-williams-1,Illinois,Big Ten,12,219,381,57.5,3173,8.3,7.6,22,16,138.1,175,719,4.1,5
17,Adam Dimichele\adam-dimichele-1,Temple,MAC,9,134,231,58.0,1911,8.3,8.7,18,6,148.0,61,91,1.5,3
18,Graham Harrell*\graham-harrell-1,Texas Tech,Big 12,13,442,626,70.6,5111,8.2,9.0,45,9,160.0,41,-15,-0.4,6
19,Chase Daniel*\chase-daniel-1,Missouri,Big 12,14,385,528,72.9,4335,8.2,8.2,39,18,159.4,69,281,4.1,1
20,Daryll Clark*\daryll-clark-1,Penn State,Big Ten,13,192,321,59.8,2592,8.1,8.4,19,6,143.4,79,282,3.6,10
21,Todd Reesing*\todd-reesing-1,Kansas,Big 12,13,329,495,66.5,3888,7.9,8.0,32,13,148.5,126,224,1.8,4
22,Trevor Vittatoe\trevor-vittatoe-1,UTEP,CUSA,12,246,418,58.9,3274,7.8,8.4,33,9,146.4,45,-31,-0.7,1
23,Robert Griffin III\robert-griffin-iii-1,Baylor,Big 12,12,160,267,59.9,2091,7.8,8.4,15,3,142.0,173,843,4.9,13
24,Willie Tuitama*\willie-tuitama-1,Arizona,Pac-10,13,259,399,64.9,3088,7.7,8.0,23,8,144.9,49,-120,-2.4,2
25,Josh Freeman\josh-freeman-1,Kansas State,Big 12,12,224,382,58.6,2945,7.7,7.8,20,8,136.5,107,404,3.8,14
26,Billy Farris*\billy-farris-1,Colorado State,MWC,13,233,379,61.5,2934,7.7,7.2,19,13,136.2,46,-34,-0.7,0
27,Matt Grothe*\matt-grothe-1,South Florida,Big East,13,240,380,63.2,2911,7.7,7.0,18,14,135.8,146,591,4.0,4
28,Boo Jackson\boo-jackson-1,Ohio,MAC,12,185,306,60.5,2355,7.7,7.2,19,12,137.8,100,333,3.3,2
29,Corey Leonard\corey-leonard-1,Arkansas State,Sun Belt,12,166,306,54.2,2347,7.7,7.5,16,8,130.7,157,516,3.3,4
30,Ricky Stanzi*\ricky-stanzi-1,Iowa,Big Ten,13,150,254,59.1,1956,7.7,7.2,14,9,134.8,56,20,0.4,0
31,Michael Desormeaux\michael-desormeaux-1,Louisiana,Sun Belt,11,155,247,62.8,1876,7.6,6.6,13,11,135.0,144,1035,7.2,5
32,Brian Johnson*\brian-johnson-2,Utah,MWC,13,268,394,68.0,2972,7.5,7.9,27,9,149.4,108,128,1.2,1
33,Jerrod Johnson\jerrod-johnson-1,Texas A&M,Big 12,12,194,326,59.5,2435,7.5,7.4,21,10,137.4,94,114,1.2,3
34,Chase Holbrook\chase-holbrook-1,New Mexico State,WAC,12,309,457,67.6,3361,7.4,7.1,25,14,141.3,81,-196,-2.4,2
35,Rusty Smith\rusty-smith-1,Florida Atlantic,Sun Belt,13,234,435,53.8,3224,7.4,7.1,24,14,127.8,37,-82,-2.2,2
36,Colin Kaepernick*\colin-kaepernick-1,Nevada,WAC,13,208,383,54.3,2849,7.4,7.8,22,7,132.1,161,1130,7.0,17
37,Dan Lefevour*\dan-lefevour-1,Central Michigan,MAC,11,251,376,66.8,2784,7.4,7.8,21,6,144.2,168,592,3.5,6
38,Patrick Pinkney*\patrick-pinkney-1,East Carolina,CUSA,14,223,363,61.4,2675,7.4,7.2,13,7,131.3,90,50,0.6,1
39,Tony Pike*\tony-pike-1,Cincinnati,Big East,12,199,324,61.4,2407,7.4,7.1,19,11,136.4,56,47,0.8,1
40,Paul McCall\paul-mccall-1,Florida International,Sun Belt,12,167,317,52.7,2332,7.4,7.0,15,9,124.4,88,126,1.4,1
41,Joe Craddock\joe-craddock-1,Middle Tennessee State,Sun Belt,12,237,367,64.6,2677,7.3,7.3,15,7,135.5,83,118,1.4,0
42,Andy Dalton*\andy-dalton-1,Texas Christian,MWC,11,182,307,59.3,2242,7.3,7.3,11,5,129.2,113,432,3.8,8
43,Omar Clayton\omar-clayton-1,UNLV,MWC,9,152,258,58.9,1894,7.3,8.0,18,4,140.5,67,163,2.4,1
