,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Trent Dilfer*\trent-dilfer-1,Fresno State,WAC,12,254,396,64.1,3799,9.6,10.5,30,5,167.2,40,-113,-2.8,1
2,Dave Barr*\dave-barr-1,California,Pac-10,13,187,275,68.0,2619,9.5,9.1,21,12,164.5,75,-98,-1.3,0
3,John Walsh\john-walsh-2,Brigham Young,WAC,11,244,397,61.5,3727,9.4,9.1,28,15,156.0,83,-307,-3.7,3
4,Glenn Foley\glenn-foley-1,Boston College,Big East,11,222,363,61.2,3397,9.4,9.5,25,10,157.0,26,-44,-1.7,0
5,Marvin Graves\marvin-graves-1,Syracuse,Big East,11,171,280,61.1,2547,9.1,8.4,15,11,147.3,102,149,1.5,6
6,Mike McCoy\mike-mccoy-4,Utah,WAC,12,276,430,64.2,3860,9.0,8.9,21,10,151.1,99,109,1.1,0
7,Danny O'Neil\danny-oneil-1,Oregon,Pac-10,11,223,360,61.9,3224,9.0,8.3,22,15,149.0,97,-137,-1.4,1
8,Maurice DeShazo\maurice-deshazo-1,Virginia Tech,Big East,11,129,230,56.1,2080,9.0,9.6,22,7,157.5,83,97,1.2,3
9,Tim Gutierrez\tim-gutierrez-1,San Diego State,WAC,12,208,341,61.0,3033,8.9,9.0,24,10,153.1,36,-209,-5.8,0
10,Chris Vargas\chris-vargas-1,Nevada,Big West,11,331,490,67.6,4265,8.7,8.4,34,18,156.2,45,67,1.5,1
11,Darrell Bevell*\darrell-bevell-1,Wisconsin,Big Ten,12,187,276,67.8,2390,8.7,8.2,19,11,155.2,35,-3,-0.1,2
12,Jason Stanicek\jason-stanicek-1,North Carolina,ACC,12,139,217,64.1,1878,8.7,7.7,12,10,145.8,109,406,3.7,4
13,Jeff Brohm\jeff-brohm-1,Louisville,Ind,11,185,304,60.9,2626,8.6,8.6,20,9,149.2,78,45,0.6,3
14,Joe Youngblood\joe-youngblood-1,Central Michigan,MAC,10,167,287,58.2,2466,8.6,7.3,17,16,138.8,44,-73,-1.7,1
15,Cale Gundy\cale-gundy-1,Oklahoma,Big 8,11,144,243,59.3,2096,8.6,8.7,14,6,145.8,120,195,1.6,6
16,Joe Hughes\joe-hughes-2,Wyoming,WAC,11,208,371,56.1,3135,8.5,8.5,24,10,143.0,54,29,0.5,4
17,Robert Hall\robert-hall-2,Texas Tech,SWC,11,216,341,63.3,2894,8.5,8.8,21,7,150.8,101,145,1.4,4
18,Todd Collins*\todd-collins-1,Michigan,Big Ten,12,189,296,63.9,2509,8.5,8.6,17,7,149.3,34,-81,-2.4,0
19,Symmion Willis\symmion-willis-1,Virginia,ACC,11,165,276,59.8,2347,8.5,7.6,19,14,143.8,73,222,3.0,1
20,J.J. Joe\jj-joe-1,Baylor,SWC,11,107,197,54.3,1663,8.4,7.8,5,5,128.5,93,98,1.1,0
21,Eric Zeier\eric-zeier-1,Georgia,SEC,11,269,425,63.3,3525,8.3,8.7,24,7,148.3,59,-43,-0.7,1
22,Heath Shuler\heath-shuler-1,Tennessee,SEC,11,184,285,64.6,2354,8.3,8.8,25,8,157.3,46,73,1.6,3
23,Terry Dean\terry-dean-1,Florida,SEC,10,118,200,59.0,1651,8.3,7.7,17,10,146.4,43,24,0.6,2
24,Jake Plummer\jake-plummer-1,Arizona State,Pac-10,9,102,199,51.3,1650,8.3,7.6,9,7,128.8,43,-57,-1.3,0
25,Ryan Collins\ryan-collins-1,Miami (FL),Big East,9,112,188,59.6,1555,8.3,7.1,14,11,141.9,43,188,4.4,5
26,Stoney Case\stoney-case-1,New Mexico,WAC,11,177,304,58.2,2490,8.2,8.1,17,8,140.2,126,329,2.6,14
27,Danny Wuerffel\danny-wuerffel-1,Florida,SEC,11,159,273,58.2,2230,8.2,8.1,22,10,146.1,40,-89,-2.2,1
28,Rob Johnson*\rob-johnson-1,USC,Pac-10,13,308,449,68.6,3630,8.1,8.8,29,6,155.1,81,-205,-2.5,1
29,Scott Milanovich\scott-milanovich-1,Maryland,ACC,11,279,431,64.7,3499,8.1,7.4,26,18,144.5,91,-62,-0.7,3
30,Steve Stenstrom\steve-stenstrom-1,Stanford,Pac-10,11,300,455,65.9,3627,8.0,7.8,27,14,146.3,57,-229,-4.0,0
31,Charlie Ward\charlie-ward-1,Florida State,ACC,11,264,380,69.5,3032,8.0,8.9,27,4,157.8,65,339,5.2,4
