,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
32,Kordell Stewart\kordell-stewart-1,Colorado,Big 8,11,157,294,53.4,2299,7.8,7.5,11,7,126.7,102,524,5.1,6
33,Terry Harvey\terry-harvey-1,North Carolina State,ACC,11,131,235,55.7,1837,7.8,7.5,14,8,134.3,46,-13,-0.3,0
34,Bobby Hoying*\bobby-hoying-1,Ohio State,Big Ten,12,109,202,54.0,1570,7.8,6.8,8,8,124.4,35,-120,-3.4,0
35,Chad May\chad-may-2,Kansas State,Big 8,11,185,351,52.7,2682,7.6,7.3,16,10,126.2,73,-190,-2.6,7
36,Mike Neu\mike-neu-1,Ball State,MAC,11,186,283,65.7,2148,7.6,7.5,17,8,143.7,42,-39,-0.9,0
37,Stan White\stan-white-2,Auburn,SEC,11,164,271,60.5,2057,7.6,7.2,13,8,134.2,79,33,0.4,4
38,Scott Eckers\scott-eckers-1,Minnesota,Big Ten,11,119,206,57.8,1564,7.6,5.9,14,14,130.4,25,-28,-1.1,1
39,Gus Frerotte\gus-frerotte-1,Tulsa,Ind,11,214,383,55.9,2871,7.5,6.8,21,15,129.1,73,10,0.1,1
40,Bert Emanuel\bert-emanuel-1,Rice,SWC,11,118,204,57.8,1521,7.5,7.8,12,4,136.0,144,476,3.3,4
41,Jeff Garcia\jeff-garcia-1,San Jose State,Big West,11,196,356,55.1,2608,7.3,6.5,21,16,127.1,119,359,3.0,3
42,Cody Ledbetter\cody-ledbetter-1,New Mexico State,Big West,11,158,300,52.7,2177,7.3,6.2,13,13,119.3,89,70,0.8,5
43,Donnie Davis\donnie-davis-1,Georgia Tech,ACC,11,137,237,57.8,1739,7.3,6.1,12,12,126.0,72,328,4.6,3
44,Lawrence Adams\lawrence-adams-1,Ole Miss,SEC,11,110,195,56.4,1415,7.3,5.8,13,12,127.1,108,165,1.5,2
45,Michael Armour\michael-armour-1,Eastern Michigan,MAC,10,93,165,56.4,1208,7.3,6.4,6,6,122.6,94,151,1.6,0
46,Jake Delhomme\jake-delhomme-1,Louisiana,Big West,11,145,259,56.0,1842,7.1,6.1,14,12,124.3,58,-81,-1.4,1
47,Corey Pullig\corey-pullig-1,Texas A&M,SWC,11,144,243,59.3,1732,7.1,6.7,17,10,134.0,33,-27,-0.8,0
48,Shea Morenz\shea-morenz-1,Texas,SWC,11,183,335,54.6,2341,7.0,5.3,13,18,115.4,56,24,0.4,1
49,Paul Burmeister*\paul-burmeister-1,Iowa,Big Ten,12,184,309,59.5,2152,7.0,5.9,10,12,121.0,81,-257,-3.2,3
50,Wayne Cook*\wayne-cook-2,UCLA,Pac-10,12,165,297,55.6,2067,7.0,7.6,18,4,131.3,67,-29,-0.4,1
51,Jay McDonagh\jay-mcdonagh-1,Western Michigan,MAC,11,174,283,61.5,1974,7.0,7.5,16,4,135.9,106,325,3.1,2
52,John Paci*\john-paci-1,Indiana,Big Ten,11,133,258,51.6,1796,7.0,6.4,8,7,114.8,97,174,1.8,3
53,Ryan Henry\ryan-henry-2,Bowling Green State,MAC,11,160,325,49.2,2243,6.9,6.5,14,9,115.9,54,-42,-0.8,3
54,Steve Matthews\steve-matthews-1,Memphis,Ind,9,166,273,60.8,1896,6.9,5.8,13,13,125.3,38,-176,-4.6,1
55,Steve Matthews\steve-matthews-2,Memphis,Ind,9,166,273,60.8,1896,6.9,5.8,13,13,125.3,38,-176,-4.6,1
56,Jim Kemp\jim-kemp-1,Wake Forest,ACC,9,126,217,58.1,1488,6.9,4.7,6,13,112.8,53,76,1.4,2
57,Jim Miller*\jim-miller-7,Michigan State,Big Ten,12,215,336,64.0,2269,6.8,5.8,9,11,123.0,41,-160,-3.9,0
58,Dan White\dan-white-2,Arizona,Pac-10,10,103,207,49.8,1410,6.8,6.4,11,7,117.7,32,-83,-2.6,1
59,Anthony Calvillo\anthony-calvillo-1,Utah State,Big West,11,247,469,52.7,3148,6.7,6.6,19,10,118.2,89,112,1.3,4
60,Jason W. Davis\jason-w-davis-1,UNLV,Big West,11,179,373,48.0,2490,6.7,4.5,17,26,105.2,15,16,1.1,2
61,Ramon Flanigan\ramon-flanigan-1,SMU,SWC,11,111,199,55.8,1334,6.7,5.7,8,8,117.3,114,462,4.1,3
62,Frank Costa\frank-costa-1,Miami (FL),Big East,9,107,199,53.8,1324,6.7,6.0,5,5,112.9,23,-78,-3.4,0
63,Jim Kubiak\jim-kubiak-1,Navy,Ind,11,248,401,61.8,2628,6.6,5.2,11,17,117.5,49,-132,-2.7,1
64,Spence Fischer\spence-fischer-1,Duke,ACC,11,213,388,54.9,2563,6.6,5.6,12,14,113.4,48,17,0.4,0
65,Todd Jordan\todd-jordan-1,Mississippi State,SEC,11,131,294,44.6,1935,6.6,6.0,11,9,106.1,42,-13,-0.3,1
66,Steve Taneyhill\steve-taneyhill-1,South Carolina,SEC,11,149,291,51.2,1930,6.6,4.9,6,14,104.1,42,-196,-4.7,1
67,Len Williams\len-williams-1,Northwestern,Big Ten,10,182,316,57.6,2047,6.5,5.3,11,13,115.3,124,76,0.6,3
68,Jeff Handy\jeff-handy-1,Missouri,Big 8,10,174,291,59.8,1901,6.5,5.4,11,12,118.9,34,-131,-3.9,0
69,Damon Huard\damon-huard-1,Washington,Pac-10,10,116,197,58.9,1282,6.5,5.1,9,10,118.5,50,48,1.0,1
70,Kerry Collins\kerry-collins-1,Penn State,Big Ten,11,127,250,50.8,1605,6.4,5.5,13,11,113.1,26,8,0.3,0
71,John Ryan\john-ryan-4,Pitt,Big East,11,115,203,56.7,1284,6.3,5.1,6,8,111.7,47,-201,-4.3,0
72,Anthoney Hill\anthoney-hill-1,Colorado State,WAC,10,121,263,46.0,1636,6.2,5.8,10,7,105.5,100,433,4.3,3
73,Barry Lunney Jr.\barry-lunney-jr-1,Arkansas,SEC,11,104,202,51.5,1241,6.1,5.2,6,7,106.0,74,140,1.9,2
74,Max Knake\max-knake-1,Texas Christian,SWC,11,207,357,58.0,2130,6.0,4.9,12,14,111.4,42,6,0.1,1
75,Johnny Johnson\johnny-johnson-3,Illinois,Big Ten,10,135,287,47.0,1688,5.9,5.1,11,10,102.1,69,159,2.3,0
76,Tim Schade\tim-schade-2,Minnesota,Big Ten,11,135,286,47.2,1648,5.8,4.3,8,13,95.7,26,13,0.5,1
77,Johnny Covington\johnny-covington-1,Arkansas State,Big West,11,94,184,51.1,1069,5.8,4.9,3,5,99.8,58,-5,-0.1,0
78,Craig Whelihan\craig-whelihan-1,Pacific,Big West,9,132,248,53.2,1395,5.6,5.4,9,5,108.4,51,-62,-1.2,2
79,Vince Harp\vince-harp-1,Cincinnati,Ind,11,139,292,47.6,1575,5.4,4.9,9,7,98.3,61,47,0.8,2
80,Ray Lucas\ray-lucas-1,Rutgers,Big East,11,109,188,58.0,1011,5.4,4.7,7,6,109.1,67,220,3.3,5
81,Jamie Howard\jamie-howard-1,LSU,SEC,10,106,248,42.7,1319,5.3,3.7,7,12,87.1,45,0,0.0,0
82,Craig Randall\craig-randall-1,Tulane,Ind,12,151,305,49.5,1565,5.1,3.6,8,14,92.1,82,-70,-0.9,1
83,Chuck Clements\chuck-clements-1,Houston,SWC,9,124,239,51.9,1216,5.1,3.5,4,10,91.8,14,-36,-2.6,0
84,Danny Smith\danny-smith-4,Miami (OH),MAC,11,92,195,47.2,982,5.0,3.3,6,10,89.4,20,-26,-1.3,0
85,Kevin Bentley\kevin-bentley-2,Southern Mississippi,Ind,11,77,192,40.1,911,4.7,2.3,6,13,76.7,47,-61,-1.3,0
