,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Ty Detmer\ty-detmer-1,Brigham Young,WAC,12,249,403,61.8,4031,10.0,10.4,35,12,168.5,75,-30,-0.4,4
2,Rick Mirer\rick-mirer-1,Notre Dame,Ind,12,132,234,56.4,2117,9.0,8.7,18,10,149.2,75,306,4.1,9
3,J.J. Joe\jj-joe-1,Baylor,SWC,11,109,206,52.9,1853,9.0,7.9,7,8,131.9,116,147,1.3,6
4,Shane Matthews\shane-matthews-1,Florida,SEC,11,218,361,60.4,3130,8.7,8.0,28,18,148.8,50,10,0.2,1
5,Marvin Graves\marvin-graves-1,Syracuse,Big East,11,131,221,59.3,1912,8.7,7.3,10,11,136.9,99,-148,-1.5,1
6,Keithen McCant\keithen-mccant-1,Nebraska,Big 8,11,97,168,57.7,1454,8.7,8.1,13,8,146.5,117,654,5.6,7
7,Tony Sacca\tony-sacca-1,Penn State,Ind,12,169,292,57.9,2488,8.5,9.2,21,5,149.8,84,-61,-0.7,4
8,Matt Blundin\matt-blundin-1,Virginia,ACC,9,135,224,60.3,1902,8.5,10.2,19,0,159.6,30,10,0.3,1
9,Matt Veatch\matt-veatch-1,San Jose State,Big West,9,110,206,53.4,1752,8.5,7.6,9,8,131.5,18,10,0.6,0
10,Troy Kopp\troy-kopp-1,Pacific,Big West,12,275,449,61.2,3767,8.4,8.4,37,16,151.8,47,-81,-1.7,1
11,Jeff Blake\jeff-blake-2,East Carolina,Ind,11,203,368,55.2,3073,8.4,8.9,28,8,146.1,77,109,1.4,3
12,Gino Torretta\gino-torretta-1,Miami (FL),Big East,11,205,371,55.3,3095,8.3,8.5,20,8,138.8,49,60,1.2,2
13,David Lowery\david-lowery-1,San Diego State,WAC,12,176,311,56.6,2575,8.3,7.8,19,12,138.6,59,15,0.3,3
14,Elvis Grbac*\elvis-grbac-1,Michigan,Big Ten,12,165,254,65.0,2085,8.2,9.1,25,6,161.7,23,-103,-4.5,0
15,Casey Weldon\casey-weldon-1,Florida State,Ind,12,189,313,60.4,2527,8.1,8.3,22,8,146.3,38,-30,-0.8,0
16,Kevin Verdugo\kevin-verdugo-2,Colorado State,WAC,11,159,265,60.0,2138,8.1,7.5,17,11,140.6,64,-148,-2.3,2
17,Steve Stenstrom*\steve-stenstrom-1,Stanford,Pac-10,10,135,229,59.0,1853,8.1,7.8,15,8,141.6,31,-123,-4.0,0
18,Robert Hall\robert-hall-2,Texas Tech,SWC,11,111,220,50.5,1788,8.1,8.0,10,5,129.2,91,278,3.1,6
19,Mike Pawlawski\mike-pawlawski-1,California,Pac-10,11,191,316,60.4,2517,8.0,7.4,21,13,141.1,37,-66,-1.8,1
20,Matt Rodgers*\matt-rodgers-2,Iowa,Big Ten,10,185,283,65.4,2275,8.0,7.3,14,11,141.4,68,140,2.1,4
21,Billy Joe Hobert\billy-joe-hobert-1,Washington,Pac-10,11,173,285,60.7,2271,8.0,7.9,22,10,146.1,33,56,1.7,5
22,Tom Corontzos\tom-corontzos-1,Wyoming,WAC,11,203,363,55.9,2868,7.9,8.0,19,8,135.2,86,-139,-1.6,3
23,T.J. Rubley\tj-rubley-1,Tulsa,Ind,11,148,260,56.9,2054,7.9,7.7,18,9,139.2,55,-56,-1.0,0
24,Tommy Maddox*\tommy-maddox-1,UCLA,Pac-10,12,209,343,60.9,2681,7.8,6.7,16,16,132.7,77,-29,-0.4,2
25,Frank Dolce\frank-dolce-1,Utah,WAC,11,177,314,56.4,2444,7.8,7.4,16,10,132.2,77,13,0.2,4
26,Drew Bledsoe\drew-bledsoe-1,Washington State,Pac-10,11,199,358,55.6,2741,7.7,6.7,17,15,127.2,104,-94,-0.9,2
27,Trent Green*\trent-green-1,Indiana,Big Ten,12,200,339,59.0,2627,7.7,6.6,12,14,127.5,115,202,1.8,13
28,Len Williams\len-williams-1,Northwestern,Big Ten,11,131,212,61.8,1630,7.7,7.4,10,6,136.3,155,207,1.3,4
29,Andy Kelly\andy-kelly-1,Tennessee,SEC,11,228,361,63.2,2759,7.6,6.6,15,15,132.8,57,60,1.1,3
30,Paul Watson\paul-watson-1,Kansas State,Big 8,11,172,304,56.6,2312,7.6,6.8,10,10,124.7,110,42,0.4,5
31,Glenn Foley\glenn-foley-1,Boston College,Big East,11,153,298,51.3,2222,7.5,6.3,21,17,125.8,54,-104,-1.9,0
32,Bobby Fuller\bobby-fuller-1,South Carolina,Ind,11,202,340,59.4,2524,7.4,7.2,15,8,131.6,49,-161,-3.3,0
33,David Chisum\david-chisum-1,New Mexico State,Big West,10,112,205,54.6,1524,7.4,6.7,8,7,123.1,59,-24,-0.4,1
34,Jeff Sweitzer\jeff-sweitzer-1,Akron,Ind,11,101,220,45.9,1599,7.3,5.1,10,15,108.3,106,420,4.0,3
35,Jason Verduzco\jason-verduzco-1,Illinois,Big Ten,12,252,420,60.0,3014,7.2,6.4,15,14,125.4,53,-31,-0.6,0
36,Mike Perez\mike-perez-3,UTEP,WAC,12,131,265,49.4,1913,7.2,6.8,10,7,117.2,86,14,0.2,2
37,Darian Hagan\darian-hagan-2,Colorado,Big 8,11,88,170,51.8,1228,7.2,7.0,12,6,128.7,133,386,2.9,3
38,Ron Lopez\ron-lopez-1,Utah State,Big West,11,153,314,48.7,2221,7.1,6.0,17,15,116.5,41,-236,-5.8,2
39,Will Furrer\will-furrer-1,Virginia Tech,Big East,9,148,257,57.6,1820,7.1,5.4,15,16,123.9,23,29,1.3,0
40,DeChane Cameron*\dechane-cameron-1,Clemson,ACC,12,126,226,55.8,1601,7.1,5.9,5,8,115.5,127,458,3.6,5
41,Lance Harp\lance-harp-1,Cincinnati,Ind,11,107,204,52.5,1443,7.1,5.6,7,10,113.4,51,26,0.5,3
42,Cale Gundy\cale-gundy-1,Oklahoma,Big 8,11,91,172,52.9,1228,7.1,6.2,8,7,120.1,65,-21,-0.3,3
43,Alex Van Pelt\alex-van-pelt-1,Pitt,Big East,11,227,398,57.0,2796,7.0,6.2,15,14,121.4,26,-19,-0.7,1
44,Tom Dubs\tom-dubs-1,Ohio,MAC,11,144,264,54.5,1855,7.0,5.8,6,10,113.5,71,-164,-2.3,0
45,Eric Zeier\eric-zeier-1,Georgia,SEC,11,159,286,55.6,1984,6.9,6.8,7,4,119.1,41,-199,-4.9,2
46,Russ Shows\russ-shows-1,Ole Miss,SEC,9,99,198,50.0,1369,6.9,5.3,4,9,105.7,59,41,0.7,0
47,David Klingler\david-klingler-1,Houston,SWC,10,278,497,55.9,3388,6.8,6.4,29,17,125.6,92,-162,-1.8,1
48,Erik White\erik-white-1,Bowling Green State,MAC,11,185,323,57.3,2204,6.8,6.5,17,10,125.8,57,83,1.5,1
49,Chad Loup\chad-loup-1,LSU,SEC,9,102,174,58.6,1181,6.8,5.8,9,8,123.5,39,59,1.5,0
