,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
68,Lance Harp\lance-harp-1,Cincinnati,Ind,11,151,292,51.7,1785,6.1,4.1,7,16,100.0,55,33,0.6,0
69,Kevin Meger\kevin-meger-1,Toledo,MAC,10,139,285,48.8,1727,6.1,5.5,6,6,102.4,82,171,2.1,2
70,George Malauulu\george-malauulu-1,Arizona,Pac-10,11,97,198,49.0,1210,6.1,5.1,6,7,103.3,93,96,1.0,6
71,Darrell Bevell\darrell-bevell-1,Wisconsin,Big Ten,11,125,245,51.0,1479,6.0,5.4,8,7,106.8,44,-27,-0.6,0
72,Steve Prince\steve-prince-1,Duke,ACC,11,90,183,49.2,1090,6.0,4.5,7,9,102.0,26,-17,-0.7,1
73,Stan White\stan-white-2,Auburn,SEC,11,157,305,51.5,1790,5.9,3.8,5,16,95.7,76,-17,-0.2,3
74,Gus Frerotte\gus-frerotte-1,Tulsa,Ind,11,116,249,46.6,1467,5.9,4.4,6,11,95.2,63,76,1.2,2
75,Mike Neu\mike-neu-1,Ball State,MAC,11,162,282,57.4,1628,5.8,4.2,10,14,107.7,53,-148,-2.8,1
76,Marquel Fleetwood\marquel-fleetwood-1,Minnesota,Big Ten,11,192,385,49.9,2168,5.6,3.9,7,18,93.8,116,319,2.8,5
77,Aaron Ferguson\aaron-ferguson-1,Louisiana Tech,Ind,10,99,184,53.8,1025,5.6,4.0,1,7,94.8,26,-40,-1.5,0
78,Tommy Waters\tommy-waters-1,Southern Mississippi,Ind,11,110,212,51.9,1159,5.5,4.5,6,7,100.5,42,-66,-1.6,0
79,Kevin Shuman\kevin-shuman-1,Kent State,MAC,11,124,281,44.1,1518,5.4,4.2,5,10,88.3,112,47,0.4,1
80,Barry Lunney Jr.\barry-lunney-jr-1,Arkansas,SEC,10,91,189,48.1,1015,5.4,4.6,4,5,95.0,40,-140,-3.5,0
81,Leon Clay\leon-clay-1,Texas Christian,SWC,11,143,287,49.8,1526,5.3,4.0,8,12,95.3,60,-74,-1.2,1
82,Neil Dougherty\neil-dougherty-1,Miami (OH),MAC,11,148,291,50.9,1486,5.1,4.1,6,9,94.4,76,-1,0.0,4
