,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Marvin Graves\marvin-graves-1,Syracuse,Big East,11,146,242,60.3,2296,9.5,8.4,14,12,149.2,118,133,1.1,5
2,J.J. Joe\jj-joe-1,Baylor,SWC,11,88,189,46.6,1765,9.3,7.7,14,13,135.7,135,378,2.8,5
3,Ryan Hancock\ryan-hancock-1,Brigham Young,WAC,9,165,288,57.3,2635,9.1,8.3,17,13,144.6,33,-49,-1.5,0
4,Eric Zeier\eric-zeier-1,Georgia,SEC,11,151,258,58.5,2248,8.7,7.6,12,12,137.8,37,-131,-3.5,0
5,Bert Emanuel\bert-emanuel-1,Rice,SWC,11,94,180,52.2,1558,8.7,8.4,11,6,138.4,163,680,4.2,7
6,Glenn Foley\glenn-foley-1,Boston College,Big East,11,146,265,55.1,2231,8.4,7.5,15,12,135.4,35,-106,-3.0,0
7,Kordell Stewart\kordell-stewart-1,Colorado,Big 8,9,151,252,59.9,2109,8.4,7.7,12,9,138.8,60,-18,-0.3,1
8,Cale Gundy\cale-gundy-1,Oklahoma,Big 8,11,131,227,57.7,1914,8.4,6.3,9,15,128.4,47,-26,-0.6,2
9,Trent Dilfer*\trent-dilfer-1,Fresno State,WAC,13,188,360,52.2,3000,8.3,7.8,21,14,133.7,80,90,1.1,2
10,Elvis Grbac*\elvis-grbac-1,Michigan,Big Ten,12,129,199,64.8,1640,8.2,7.2,17,12,150.2,15,-50,-3.3,1
11,Charles Puleri\charles-puleri-1,New Mexico State,Big West,11,189,349,54.2,2788,8.0,7.0,16,15,127.8,63,-157,-2.5,3
12,Rick Mirer\rick-mirer-1,Notre Dame,Ind,11,120,234,51.3,1876,8.0,8.1,15,6,134.7,68,158,2.3,2
13,Joe Youngblood\joe-youngblood-1,Central Michigan,MAC,11,161,278,57.9,2209,7.9,7.1,18,13,136.7,51,-61,-1.2,0
14,Alex Van Pelt\alex-van-pelt-1,Pitt,Big East,12,245,407,60.2,3163,7.8,6.9,20,17,133.3,27,0,0.0,0
15,Terry Jordan\terry-jordan-1,North Carolina State,ACC,12,164,256,64.1,1963,7.7,7.0,9,8,133.8,68,-36,-0.5,1
16,Jimmy Klingler\jimmy-klingler-1,Houston,SWC,11,303,504,60.1,3818,7.6,7.2,32,18,137.6,40,-50,-1.3,0
17,Gino Torretta\gino-torretta-1,Miami (FL),Big East,11,228,402,56.7,3060,7.6,7.8,19,7,132.8,34,-24,-0.7,0
18,Heath Shuler\heath-shuler-1,Tennessee,SEC,11,130,224,58.0,1712,7.6,7.7,10,4,133.4,105,286,2.7,11
19,Grady Benton\grady-benton-1,Arizona State,Pac-10,11,149,225,66.2,1707,7.6,6.5,8,9,133.7,78,-10,-0.1,1
20,Spence Fischer\spence-fischer-1,Duke,ACC,9,113,197,57.4,1505,7.6,6.2,8,10,124.8,69,-58,-0.8,1
21,Drew Bledsoe*\drew-bledsoe-1,Washington State,Pac-10,12,241,432,55.8,3246,7.5,6.9,20,15,127.2,9,-12,-1.3,4
22,Jeff Handy\jeff-handy-1,Missouri,Big 8,10,196,329,59.6,2463,7.5,7.2,13,8,130.6,23,-72,-3.1,1
23,Robert Hall\robert-hall-2,Texas Tech,SWC,11,111,219,50.7,1645,7.5,7.4,10,5,124.3,81,107,1.3,3
24,Frank Dolce\frank-dolce-1,Utah,WAC,9,188,322,58.4,2369,7.4,6.8,14,10,128.3,60,5,0.1,8
25,Stoney Case\stoney-case-1,New Mexico,WAC,11,164,308,53.2,2289,7.4,6.7,18,13,126.5,114,270,2.4,4
26,Rob Johnson*\rob-johnson-1,USC,Pac-10,12,163,285,57.2,2118,7.4,6.1,12,14,123.7,94,-114,-1.2,2
27,Len Williams\len-williams-1,Northwestern,Big Ten,11,181,286,63.3,2110,7.4,6.7,11,9,131.7,148,119,0.8,3
28,Bobby Goodman\bobby-goodman-1,Virginia,ACC,11,130,232,56.0,1707,7.4,6.8,21,12,137.4,88,127,1.4,3
29,Chip Hilleary\chip-hilleary-1,Kansas,Big 8,11,106,215,49.3,1583,7.4,6.2,12,11,119.3,93,537,5.8,6
30,Joe Hughes\joe-hughes-2,Wyoming,WAC,12,216,373,57.9,2706,7.3,6.1,14,16,122.7,118,137,1.2,7
31,Charlie Ward\charlie-ward-1,Florida State,ACC,11,204,365,55.9,2647,7.3,6.4,22,17,127.4,100,504,5.0,6
32,Steve Matthews\steve-matthews-1,Memphis,Ind,11,175,286,61.2,2084,7.3,6.7,18,12,134.8,34,-213,-6.3,0
33,Steve Matthews\steve-matthews-2,Memphis,Ind,11,175,286,61.2,2084,7.3,6.7,18,12,134.8,34,-213,-6.3,0
34,Keith West\keith-west-1,Wake Forest,ACC,11,159,281,56.6,2039,7.3,6.8,12,8,125.9,48,-96,-2.0,1
35,Jim Miller\jim-miller-7,Michigan State,Big Ten,9,122,191,63.9,1400,7.3,5.9,2,7,121.6,33,-62,-1.9,0
36,David Lowery\david-lowery-1,San Diego State,WAC,11,191,366,52.2,2632,7.2,7.0,21,11,125.5,47,-71,-1.5,0
37,Steve Stenstrom\steve-stenstrom-1,Stanford,Pac-10,12,197,335,58.8,2399,7.2,6.8,14,9,127.4,81,-258,-3.2,0
38,Peter Gardere\peter-gardere-1,Texas,SWC,11,181,329,55.0,2364,7.2,6.4,16,13,123.5,101,88,0.9,4
39,Kirk Herbstreit*\kirk-herbstreit-1,Ohio State,Big Ten,12,155,264,58.7,1904,7.2,6.5,4,6,119.7,75,-29,-0.4,0
40,Anthoney Hill\anthoney-hill-1,Colorado State,WAC,11,112,231,48.5,1669,7.2,5.6,10,13,112.2,107,344,3.2,4
41,Pookie Jones\pookie-jones-1,Kentucky,SEC,11,97,203,47.8,1434,7.1,5.8,5,8,107.4,140,295,2.1,3
42,John Kaleo\john-kaleo-1,Maryland,ACC,11,286,482,59.3,3392,7.0,5.7,17,22,121.0,106,80,0.8,5
43,Bryan Fortay\bryan-fortay-1,Rutgers,Big East,10,115,230,50.0,1608,7.0,5.3,16,16,117.8,51,159,3.1,3
44,Maurice DeShazo\maurice-deshazo-1,Virginia Tech,Big East,11,101,215,47.0,1504,7.0,5.8,12,11,113.9,100,206,2.1,2
45,Shane Matthews\shane-matthews-1,Florida,SEC,12,275,463,59.4,3205,6.9,6.4,23,16,127.0,73,-29,-0.4,2
46,Tony Calvillo\tony-calvillo-1,Utah State,Big West,11,201,360,55.8,2494,6.9,6.7,16,9,123.7,65,84,1.3,4
47,Erik White\erik-white-1,Bowling Green State,MAC,11,195,344,56.7,2380,6.9,5.7,17,17,121.2,67,87,1.3,2
48,Marcel Weems\marcel-weems-1,Akron,MAC,11,101,201,50.2,1383,6.9,5.1,5,10,106.3,181,754,4.2,7
49,Mark Brunell\mark-brunell-1,Washington,Pac-10,11,109,189,57.7,1301,6.9,6.5,5,4,120.0,68,197,2.9,8
50,Fred Gatlin\fred-gatlin-1,Nevada,Big West,9,97,179,54.2,1234,6.9,5.2,10,11,118.2,42,5,0.1,1
51,Dave Barr\dave-barr-1,California,Pac-10,11,199,344,57.8,2343,6.8,6.0,19,15,124.6,50,-157,-3.1,1
52,Danny O'Neil*\danny-oneil-1,Oregon,Pac-10,12,176,316,55.7,2152,6.8,6.1,11,10,118.1,90,-124,-1.4,2
53,Jeff Brohm\jeff-brohm-1,Louisville,Ind,11,155,297,52.2,2008,6.8,5.5,9,12,110.9,99,-41,-0.4,2
54,Gary Porter\gary-porter-1,Oklahoma State,Big 8,10,96,188,51.1,1280,6.8,4.2,7,14,105.6,52,-159,-3.1,0
55,John Ma'ae\john-maae-1,UNLV,Big West,11,75,176,42.6,1179,6.7,5.7,9,8,106.7,67,174,2.6,1
56,Dan Freiburger\dan-freiburger-1,SMU,SWC,11,229,390,58.7,2580,6.6,6.0,15,12,120.8,80,-341,-4.3,1
57,Shawn Jones\shawn-jones-2,Georgia Tech,ACC,11,190,362,52.5,2397,6.6,6.6,15,7,117.9,75,-113,-1.5,3
58,Chris Vargas\chris-vargas-1,Nevada,Big West,9,171,316,54.1,2094,6.6,5.2,13,16,113.2,21,-9,-0.4,0
59,Jay Barker\jay-barker-1,Alabama,SEC,12,132,243,54.3,1614,6.6,5.6,7,9,112.2,64,-94,-1.5,0
60,Shawn Gray\shawn-gray-1,UTEP,WAC,11,100,197,50.8,1297,6.6,5.0,2,8,101.3,117,402,3.4,4
61,Tom Sears\tom-sears-1,Arkansas State,Ind,10,95,176,54.0,1159,6.6,4.4,3,10,103.6,56,100,1.8,0
62,Brad Tayles\brad-tayles-1,Western Michigan,MAC,11,183,376,48.7,2462,6.5,5.5,11,14,105.9,68,-12,-0.2,4
63,Jeff Garcia\jeff-garcia-1,San Jose State,Big West,11,209,371,56.3,2418,6.5,6.0,15,11,118.5,94,223,2.4,7
64,Trent Green\trent-green-1,Indiana,Big Ten,10,154,278,55.4,1780,6.4,5.3,7,10,110.3,101,27,0.3,1
65,Jason Verduzco\jason-verduzco-1,Illinois,Big Ten,11,184,282,65.2,1779,6.3,5.7,10,8,124.3,82,-44,-0.5,5
66,Russ Shows\russ-shows-1,Ole Miss,SEC,11,118,224,52.7,1400,6.3,5.2,9,9,110.4,71,31,0.4,5
67,Michael Anderson\michael-anderson-1,East Carolina,Ind,10,222,398,55.8,2486,6.2,4.8,22,23,114.9,43,-79,-1.8,0
