,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Danny Wuerffel\danny-wuerffel-1,Florida,SEC,11,210,325,64.6,3266,10.0,10.8,35,10,178.4,46,-141,-3.1,2
2,Bobby Hoying*\bobby-hoying-1,Ohio State,Big Ten,13,211,341,61.9,3269,9.6,9.7,29,12,163.4,59,21,0.4,2
3,Donovan McNabb\donovan-mcnabb-1,Syracuse,Big East,11,128,207,61.8,1991,9.6,9.9,16,6,162.3,123,261,2.1,2
4,Steve Sarkisian\steve-sarkisian-1,Brigham Young,WAC,11,250,385,64.9,3437,8.9,8.3,20,14,149.8,82,-167,-2.0,2
5,Matt Sherman\matt-sherman-1,Iowa,Big Ten,11,159,271,58.7,2411,8.9,7.6,14,14,140.1,50,-145,-2.9,1
6,Mike Maxwell\mike-maxwell-1,Nevada,Big West,9,277,409,67.7,3611,8.8,8.6,33,17,160.2,34,12,0.4,1
7,Josh Wallwork\josh-wallwork-1,Wyoming,WAC,10,163,271,60.1,2363,8.7,8.1,21,13,149.4,49,181,3.7,4
8,Donald Sellers\donald-sellers-1,New Mexico,WAC,10,121,195,62.1,1693,8.7,9.1,11,3,150.5,134,494,3.7,8
9,Matt Miller\matt-miller-5,Kansas State,Big 8,11,154,240,64.2,2059,8.6,8.4,22,11,157.3,129,309,2.4,8
10,Billy Blanton\billy-blanton-1,San Diego State,WAC,12,243,389,62.5,3300,8.5,8.0,23,14,146.0,69,24,0.3,0
11,Ron Powlus\ron-powlus-1,Notre Dame,Ind,10,124,217,57.1,1853,8.5,8.2,12,7,140.7,58,-34,-0.6,1
12,Damon Huard\damon-huard-1,Washington,Pac-10,11,184,287,64.1,2415,8.4,8.2,11,6,143.3,61,55,0.9,2
13,Raymond Philyaw\raymond-philyaw-1,Louisiana-Monroe,Ind,10,167,320,52.2,2627,8.2,8.6,22,7,139.5,49,-43,-0.9,0
14,Moses Moreno\moses-moreno-1,Colorado State,WAC,10,99,175,56.6,1439,8.2,7.9,11,6,139.5,35,-139,-4.0,1
15,Tony Banks*\tony-banks-1,Michigan State,Big Ten,9,156,258,60.5,2089,8.1,6.2,9,15,128.4,52,-84,-1.6,1
16,Chad Johnston\chad-johnston-1,West Virginia,Big East,11,127,248,51.2,2019,8.1,6.8,13,13,126.4,62,-90,-1.5,0
17,Ryan Clement\ryan-clement-1,Miami (FL),Big East,10,119,201,59.2,1638,8.1,6.6,7,10,129.2,36,-76,-2.1,1
18,Steve Taneyhill\steve-taneyhill-1,South Carolina,SEC,11,261,389,67.1,3094,8.0,8.4,29,9,153.9,66,-38,-0.6,0
19,Mike Fouts\mike-fouts-2,Utah,WAC,12,179,323,55.4,2581,8.0,7.4,18,12,133.5,40,-137,-3.4,1
20,John Hessler\john-hessler-1,Colorado,Big 8,11,154,266,57.9,2136,8.0,8.0,20,9,143.4,47,110,2.3,4
21,Jake Delhomme\jake-delhomme-1,Louisiana,Big West,11,190,351,54.1,2761,7.9,7.7,20,10,133.3,51,8,0.2,1
22,Peyton Manning\peyton-manning-1,Tennessee,SEC,11,244,380,64.2,2954,7.8,8.5,22,4,146.5,41,6,0.1,5
23,Patrick Nix\patrick-nix-1,Auburn,SEC,11,201,331,60.7,2574,7.8,7.5,15,9,135.6,48,64,1.3,3
24,Cody Ledbetter\cody-ledbetter-1,New Mexico State,Big West,11,259,453,57.2,3501,7.7,7.1,30,20,135.1,90,223,2.5,2
25,Cory Sauter\cory-sauter-1,Minnesota,Big Ten,11,204,338,60.4,2600,7.7,7.0,18,13,134.9,54,-108,-2.0,2
26,Mark Butterfield\mark-butterfield-1,Stanford,Pac-10,11,194,333,58.3,2533,7.6,7.5,19,9,135.6,63,48,0.8,1
27,Mike Groh\mike-groh-1,Virginia,ACC,12,182,330,55.2,2510,7.6,7.2,15,10,128.0,58,-18,-0.3,4
28,James Brown\james-brown-3,Texas,SWC,11,163,322,50.6,2447,7.6,7.1,19,12,126.5,66,136,2.1,1
29,Darrell Bevell\darrell-bevell-1,Wisconsin,Big Ten,11,195,300,65.0,2273,7.6,6.9,15,11,137.8,28,-111,-4.0,1
30,Nealon Greene*\nealon-greene-1,Clemson,ACC,12,116,202,57.4,1537,7.6,6.8,10,8,129.8,102,359,3.5,2
31,Charlie Batch\charlie-batch-1,Eastern Michigan,MAC,11,244,421,58.0,3177,7.5,6.7,21,17,129.7,61,52,0.9,3
32,Barry Lunney Jr.\barry-lunney-jr-1,Arkansas,SEC,12,180,292,61.6,2181,7.5,6.8,12,10,131.1,112,65,0.6,3
33,Terry Harvey\terry-harvey-1,North Carolina State,ACC,10,155,279,55.6,2099,7.5,6.9,16,11,129.8,52,-8,-0.2,3
34,Brad Otton*\brad-otton-1,USC,Pac-10,12,159,256,62.1,1923,7.5,7.9,14,4,140.1,22,-17,-0.8,1
35,Danny Kanell\danny-kanell-1,Florida State,ACC,11,257,402,63.9,2957,7.4,7.5,32,13,145.5,19,-41,-2.2,0
36,Pat Barnes\pat-barnes-1,California,Pac-10,11,197,362,54.4,2685,7.4,7.0,17,11,126.1,56,-160,-2.9,1
37,Jake Plummer\jake-plummer-1,Arizona State,Pac-10,11,173,301,57.5,2222,7.4,7.2,17,9,132.1,86,-27,-0.3,1
38,Richie Donati\richie-donati-1,Fresno State,WAC,11,141,254,55.5,1890,7.4,6.4,12,11,124.9,22,-16,-0.7,0
39,Mike Thomas\mike-thomas-6,North Carolina,ACC,11,185,332,55.7,2436,7.3,5.4,10,19,115.9,61,53,0.9,1
40,Derrick Taite\derrick-taite-1,Mississippi State,SEC,11,165,309,53.4,2241,7.3,6.7,16,11,124.3,61,16,0.3,0
41,Carl Dean\carl-dean-1,San Jose State,Big West,11,182,302,60.3,2214,7.3,6.8,14,10,130.5,63,-56,-0.9,3
42,Rick Trefzger\rick-trefzger-1,Purdue,Big Ten,11,123,208,59.1,1521,7.3,6.2,6,8,122.4,40,-32,-0.8,1
43,Patrick Mullins\patrick-mullins-1,Utah State,Big West,11,209,383,54.6,2774,7.2,6.0,12,16,117.4,38,-96,-2.5,3
44,Jim Druckenmiller\jim-druckenmiller-1,Virginia Tech,Big East,11,151,294,51.4,2103,7.2,6.4,14,11,119.7,61,57,0.9,0
45,Jason Martin\jason-martin-4,Louisiana Tech,Big West,11,206,370,55.7,2606,7.0,6.9,24,12,129.8,36,2,0.1,1
46,Eric Vibberts\eric-vibberts-1,Cincinnati,Ind,11,136,264,51.5,1851,7.0,4.5,10,19,108.5,28,-113,-4.0,0
47,Steve Schnur*\steve-schnur-1,Northwestern,Big Ten,12,141,257,54.9,1792,7.0,6.6,9,6,120.3,49,26,0.5,3
48,Jeff Watson\jeff-watson-1,Baylor,SWC,11,113,214,52.8,1508,7.0,6.3,5,6,114.1,45,3,0.1,1
49,Corey Pullig\corey-pullig-1,Texas A&M,SWC,11,165,307,53.7,2105,6.9,6.4,14,9,120.5,37,50,1.4,1
50,Mark Williams\mark-williams-7,Kansas,Big 8,11,174,282,61.7,1957,6.9,6.3,14,10,129.3,82,239,2.9,2
51,Ryan Huzjak\ryan-huzjak-1,Toledo,MAC,11,156,273,57.1,1880,6.9,7.2,15,5,129.5,117,367,3.1,7
52,Cade McNown*\cade-mcnown-1,UCLA,Pac-10,12,122,245,49.8,1698,6.9,6.0,7,8,110.9,71,311,4.4,5
53,Eric Moore\eric-moore-3,Oklahoma,Big 8,11,90,200,45.0,1375,6.9,5.6,7,9,105.3,91,231,2.5,1
54,Josh Gulley\josh-gulley-1,North Texas,Ind,10,88,166,53.0,1150,6.9,5.4,5,8,111.5,45,-54,-1.2,1
55,Henry Burris\henry-burris-1,Temple,Big East,11,139,300,46.3,2004,6.7,4.9,11,17,103.2,66,40,0.6,4
