,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Tim Tebow*\tim-tebow-1,Florida,SEC,13,234,350,66.9,3286,9.4,10.4,32,6,172.5,210,895,4.3,23
2,Paul Smith*\paul-smith-2,Tulsa,CUSA,14,327,544,60.1,5065,9.3,9.5,47,19,159.8,105,119,1.1,13
3,Sam Bradford*\sam-bradford-1,Oklahoma,Big 12,14,237,341,69.5,3121,9.2,10.2,36,8,176.5,31,7,0.2,0
4,Mike Teel*\mike-teel-1,Rutgers,Big East,13,203,349,58.2,3147,9.0,8.5,20,13,145.4,10,-49,-4.9,0
5,Colin Kaepernick*\colin-kaepernick-1,Nevada,WAC,11,133,247,53.8,2175,8.8,9.8,19,3,150.8,105,593,5.6,6
6,Colt Brennan*\colt-brennan-1,Hawaii,WAC,12,359,510,70.4,4343,8.5,8.5,38,17,159.8,82,27,0.3,8
7,Brian Brohm\brian-brohm-1,Louisville,Big East,12,308,473,65.1,4024,8.5,8.6,30,12,152.4,57,-46,-0.8,3
8,Zac Robinson*\zac-robinson-1,Oklahoma State,Big 12,13,201,333,60.4,2824,8.5,8.6,23,9,149.0,140,847,6.1,9
9,Caleb Hanie\caleb-hanie-1,Colorado State,MWC,12,188,293,64.2,2455,8.4,7.3,18,15,144.6,92,6,0.1,2
10,Dennis Dixon*\dennis-dixon-1,Oregon,Pac-10,10,172,254,67.7,2136,8.4,9.3,20,4,161.2,105,583,5.6,9
11,Case Keenum\case-keenum-1,Houston,CUSA,13,187,273,68.5,2259,8.3,7.7,14,10,147.6,103,412,4.0,9
12,Ben Mauk*\ben-mauk-1,Cincinnati,Big East,12,235,386,60.9,3121,8.1,8.6,31,9,150.6,100,377,3.8,3
13,Ben Mauk*\ben-mauk-2,Cincinnati,Big East,12,235,386,60.9,3121,8.1,8.6,31,9,150.6,99,377,3.8,3
14,Chris Turner*\chris-turner-1,Maryland,ACC,11,153,241,63.5,1958,8.1,7.4,7,7,135.5,44,-26,-0.6,0
15,Graham Harrell*\graham-harrell-1,Texas Tech,Big 12,13,512,713,71.8,5705,8.0,8.5,48,14,157.3,38,-91,-2.4,4
16,Rudy Carpenter*\rudy-carpenter-1,Arizona State,Pac-10,13,246,398,61.8,3202,8.0,8.2,25,10,145.1,93,-205,-2.2,0
17,Todd Boeckman*\todd-boeckman-1,Ohio State,Big Ten,13,191,299,63.9,2379,8.0,7.5,25,14,148.9,56,63,1.1,0
18,Pat White*\pat-white-1,West Virginia,Big East,13,144,216,66.7,1724,8.0,8.4,14,4,151.4,197,1335,6.8,14
19,Taylor Tharp*\taylor-tharp-1,Boise State,WAC,13,289,423,68.3,3340,7.9,8.1,30,11,152.9,62,68,1.1,1
20,Bernard Morris\bernard-morris-1,Marshall,CUSA,12,253,398,63.6,3149,7.9,7.6,17,10,139.1,130,488,3.8,4
21,Tom Brandstater*\tom-brandstater-1,Fresno State,WAC,13,211,337,62.6,2654,7.9,8.1,15,5,140.5,48,118,2.5,3
22,Max Hall*\max-hall-1,Brigham Young,MWC,13,298,496,60.1,3848,7.8,7.7,26,12,137.7,52,14,0.3,1
23,Todd Reesing*\todd-reesing-1,Kansas,Big 12,13,276,446,61.9,3486,7.8,8.6,33,7,148.8,92,197,2.1,3
24,Colt McCoy*\colt-mccoy-1,Texas,Big 12,13,276,424,65.1,3303,7.8,6.9,22,18,139.2,114,492,4.3,4
25,Tyler Donovan*\tyler-donovan-1,Wisconsin,Big Ten,13,193,333,58.0,2607,7.8,7.4,17,11,134.0,112,277,2.5,5
26,Rusty Smith\rusty-smith-1,Florida Atlantic,Sun Belt,13,281,479,58.7,3688,7.7,8.2,32,9,141.6,39,-116,-3.0,2
27,Nate Davis*\nate-davis-1,Ball State,MAC,13,270,478,56.5,3667,7.7,8.4,30,6,139.1,78,235,3.0,5
28,Chase Daniel*\chase-daniel-1,Missouri,Big 12,14,384,563,68.2,4306,7.6,7.9,33,11,147.9,109,253,2.3,4
29,Alex Brink\alex-brink-1,Washington State,Pac-10,12,305,503,60.6,3818,7.6,7.3,26,15,135.5,63,34,0.5,0
30,Trevor Vittatoe\trevor-vittatoe-1,UTEP,CUSA,12,224,407,55.0,3101,7.6,8.1,25,7,135.9,42,-132,-3.1,0
31,Adam Tafralis\adam-tafralis-1,San Jose State,WAC,12,251,400,62.8,3022,7.6,7.2,18,11,135.6,76,181,2.4,2
32,Sean Glennon*\sean-glennon-1,Virginia Tech,ACC,13,143,235,60.9,1796,7.6,7.7,12,5,137.6,66,-43,-0.7,1
33,Brad Bower\brad-bower-1,Ohio,MAC,11,127,232,54.7,1766,7.6,6.6,11,10,125.7,67,-7,-0.1,1
34,Brad Bower\brad-bower-2,Ohio,MAC,11,127,232,54.7,1766,7.6,6.6,11,10,125.7,67,-7,-0.1,1
35,Martin Hankins*\martin-hankins-1,Memphis,CUSA,11,261,428,61.0,3220,7.5,7.4,25,12,137.8,35,-1,0.0,0
36,Sam Keller\sam-keller-1,Nebraska,Big 12,9,205,325,63.1,2422,7.5,6.9,14,10,133.7,25,-78,-3.1,0
37,Andrew Robinson\andrew-robinson-2,Syracuse,Big East,11,154,292,52.7,2192,7.5,7.3,13,7,125.7,95,-39,-0.4,0
38,Shaun Carney*\shaun-carney-1,Air Force,MWC,13,125,201,62.2,1491,7.4,7.2,9,5,134.3,135,637,4.7,6
39,T.J. Yates\tj-yates-1,North Carolina,ACC,12,218,365,59.7,2655,7.3,5.8,14,18,123.6,73,-123,-1.7,2
40,Matthew Stafford*\matthew-stafford-1,Georgia,SEC,13,194,348,55.7,2523,7.3,7.0,19,10,128.9,39,-18,-0.5,2
41,Kyle Israel*\kyle-israel-1,UCF,CUSA,14,174,298,58.4,2173,7.3,6.6,15,11,128.9,90,178,2.0,5
42,Andre Woodson*\andre-woodson-1,Kentucky,SEC,13,327,518,63.1,3709,7.2,7.7,40,11,144.5,69,-193,-2.8,3
43,Tim Hiller\tim-hiller-1,Western Michigan,MAC,12,267,421,63.4,3021,7.2,6.5,20,15,132.2,50,-69,-1.4,2
44,Donovan Porterie*\donovan-porterie-1,New Mexico,MWC,13,244,418,58.4,3006,7.2,6.9,15,9,126.3,58,-34,-0.6,0
45,Brian Hoyer*\brian-hoyer-1,Michigan State,Big Ten,13,223,376,59.3,2725,7.2,7.0,20,11,131.9,47,-105,-2.2,1
46,Kyle Wright\kyle-wright-1,Miami (FL),ACC,10,141,241,58.5,1747,7.2,5.6,12,14,124.2,87,66,0.8,3
47,Chase Holbrook\chase-holbrook-1,New Mexico State,WAC,12,381,543,70.2,3866,7.1,6.6,26,18,139.1,55,5,0.1,2
48,Justin Willis\justin-willis-1,SMU,CUSA,12,242,414,58.5,2944,7.1,6.4,25,18,129.4,180,699,3.9,3
49,Aaron Opelt\aaron-opelt-1,Toledo,MAC,9,144,249,57.8,1756,7.1,6.8,12,7,127.4,46,156,3.4,4
50,Willie Tuitama\willie-tuitama-1,Arizona,Pac-10,12,327,524,62.4,3683,7.0,7.1,28,12,134.5,54,-163,-3.0,3
51,C.J. Bacher\cj-bacher-1,Northwestern,Big Ten,12,318,521,61.0,3656,7.0,6.1,19,19,124.7,86,31,0.4,4
52,Kevin O'Connell\kevin-oconnell-2,San Diego State,MWC,12,257,439,58.5,3063,7.0,6.8,15,8,124.8,135,408,3.0,11
53,Chad Henne*\chad-henne-1,Michigan,Big Ten,10,162,278,58.3,1938,7.0,6.7,17,9,130.5,24,-120,-5.0,0
54,Matt Ryan*\matt-ryan-1,Boston College,ACC,14,388,654,59.3,4507,6.9,6.5,31,19,127.0,68,2,0.0,2
55,Tyler Sheehan*\tyler-sheehan-1,Bowling Green State,MAC,13,303,476,63.7,3264,6.9,6.8,23,11,132.6,93,148,1.6,3
56,Kellen Lewis*\kellen-lewis-1,Indiana,Big Ten,13,265,442,60.0,3043,6.9,7.1,28,10,134.2,147,736,5.0,9
57,Cullen Harper*\cullen-harper-1,Clemson,ACC,13,282,433,65.1,2991,6.9,7.5,27,6,141.0,71,-89,-1.3,3
58,John David Booty*\john-david-booty-1,USC,Pac-10,10,215,340,63.2,2361,6.9,7.0,23,10,138.0,23,-106,-4.6,1
59,Curtis Painter*\curtis-painter-1,Purdue,Big Ten,13,356,569,62.6,3846,6.8,6.9,29,11,132.3,53,-20,-0.4,3
60,Erik Ainge*\erik-ainge-1,Tennessee,SEC,14,325,519,62.6,3522,6.8,7.1,31,10,135.5,16,-32,-2.0,0
61,Matt Grothe*\matt-grothe-1,South Florida,Big East,13,232,392,59.2,2670,6.8,5.9,14,14,121.0,198,872,4.4,10
62,Drew Willy\drew-willy-1,Buffalo,MAC,12,258,377,68.4,2572,6.8,6.9,15,6,135.7,60,-44,-0.7,2
63,Thaddeus Lewis\thaddeus-lewis-2,Duke,ACC,12,199,360,55.3,2430,6.8,6.7,21,10,125.7,96,-148,-1.5,2
64,Tyler Lorenzen*\tyler-lorenzen-1,Connecticut,Big East,13,197,347,56.8,2367,6.8,6.8,13,6,123.0,133,328,2.5,1
65,Riley Skinner*\riley-skinner-1,Wake Forest,ACC,11,236,326,72.4,2204,6.8,5.7,12,13,133.4,61,32,0.5,1
66,Brian Johnson*\brian-johnson-2,Utah,MWC,11,181,272,66.5,1847,6.8,5.9,11,10,129.6,85,150,1.8,2
67,Leon Jackson III\leon-jackson-iii-1,Utah State,WAC,12,151,231,65.4,1576,6.8,6.8,9,4,132.1,142,338,2.4,6
68,Anthony Scelfo\anthony-scelfo-1,Tulane,CUSA,12,111,205,54.1,1396,6.8,5.9,6,7,114.2,57,171,3.0,1
