,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Don McPherson\don-mcpherson-1,Syracuse,Ind,11,129,229,56.3,2341,10.2,10.0,22,11,164.3,110,230,2.1,5
2,Chuck Hartlieb\chuck-hartlieb-1,Iowa,Big Ten,12,196,299,65.6,2855,9.5,9.6,19,8,161.4,41,-138,-3.4,1
3,Troy Aikman*\troy-aikman-1,UCLA,Pac-10,12,178,273,65.2,2527,9.3,9.2,17,8,157.6,79,-87,-1.1,2
4,Mike Power\mike-power-1,Boston College,Ind,11,133,233,57.1,2071,8.9,8.0,10,9,138.2,102,-179,-1.8,5
5,Eric Jones\eric-jones-1,Vanderbilt,SEC,11,139,229,60.7,1954,8.5,7.8,16,11,145.8,179,665,3.7,6
6,Rodney Peete*\rodney-peete-1,USC,Pac-10,12,197,332,59.3,2709,8.2,7.8,21,12,141.5,70,145,2.1,3
7,Dave Schnell*\dave-schnell-1,Indiana,Big Ten,12,121,207,58.5,1707,8.2,7.5,13,9,139.8,59,55,0.9,4
8,Todd Santos\todd-santos-1,San Diego State,WAC,12,306,492,62.2,3932,8.0,7.7,26,15,140.7,70,-244,-3.5,0
9,Terrence Jones\terrence-jones-1,Tulane,Ind,11,192,319,60.2,2551,8.0,7.4,20,13,139.9,138,383,2.8,8
10,Tommy Hodson\tommy-hodson-1,LSU,SEC,11,162,265,61.1,2125,8.0,7.6,15,9,140.4,22,-22,-1.0,0
11,Mike Perez*\mike-perez-2,San Jose State,PCAA,12,269,447,60.2,3550,7.9,7.7,23,13,138.1,43,-51,-1.2,1
12,Scooter Molander\scooter-molander-1,Colorado State,WAC,12,237,407,58.2,3168,7.8,6.6,16,18,127.7,72,-414,-5.8,0
13,Scott Secules\scott-secules-1,Virginia,ACC,11,174,296,58.8,2311,7.8,7.4,12,8,132.3,57,45,0.8,6
14,Bill Musgrave\bill-musgrave-1,Oregon,Pac-10,10,139,234,59.4,1836,7.8,7.4,13,8,136.8,61,-18,-0.3,0
15,Sean Covey\sean-covey-1,Brigham Young,WAC,12,132,217,60.8,1688,7.8,6.6,8,9,130.0,36,-64,-1.8,2
16,Jeff Burger\jeff-burger-1,Auburn,SEC,11,178,267,66.7,2066,7.7,7.2,13,9,141.0,38,-180,-4.7,0
17,Scott Mitchell\scott-mitchell-2,Utah,WAC,12,109,188,58.0,1448,7.7,7.7,9,4,134.2,21,-44,-2.1,1
18,Pat Hegarty\pat-hegarty-1,UTEP,WAC,10,153,273,56.0,2064,7.6,5.9,13,16,123.5,78,-109,-1.4,3
19,Ron Adams*\ron-adams-1,Eastern Michigan,MAC,12,107,202,53.0,1527,7.6,6.1,6,9,117.4,100,425,4.3,6
20,Steve Walsh\steve-walsh-1,Miami (FL),Ind,11,176,298,59.1,2249,7.5,7.8,19,7,138.8,33,-8,-0.2,1
21,Troy Taylor\troy-taylor-1,California,Pac-10,11,169,278,60.8,2081,7.5,6.8,18,12,136.4,60,-17,-0.3,1
22,Danny McCoin\danny-mccoin-1,Cincinnati,Ind,11,158,268,59.0,2013,7.5,7.1,13,8,132.1,60,-63,-1.1,4
23,Jeff Francis\jeff-francis-1,Tennessee,SEC,12,121,201,60.2,1512,7.5,6.5,8,8,128.6,43,70,1.6,1
24,Todd Ellis*\todd-ellis-1,South Carolina,Ind,12,241,432,55.8,3206,7.4,5.4,10,24,114.7,95,-190,-2.0,0
25,Steve Slayden\steve-slayden-1,Duke,ACC,11,230,395,58.2,2924,7.4,6.6,20,16,129.0,99,44,0.4,3
26,Dave Telford\dave-telford-1,Fresno State,PCAA,11,202,351,57.5,2589,7.4,6.8,12,10,125.1,64,-91,-1.4,0
27,Danny McManus\danny-mcmanus-1,Florida State,Ind,11,138,264,52.3,1964,7.4,7.0,14,9,125.4,12,-14,-1.2,1
28,Tom Tupa\tom-tupa-1,Ohio State,Big Ten,11,134,242,55.4,1786,7.4,6.5,12,10,125.5,72,45,0.6,4
29,Kerwin Bell\kerwin-bell-2,Florida,SEC,11,140,239,58.6,1769,7.4,6.3,9,10,124.8,42,-184,-4.4,0
30,Brian Johnson\brian-johnson-4,Stanford,Pac-10,11,112,203,55.2,1510,7.4,5.6,11,13,122.7,41,-90,-2.2,2
31,Mike Gundy\mike-gundy-1,Oklahoma State,Big 8,11,170,287,59.2,2106,7.3,6.5,13,11,128.2,57,-67,-1.2,2
32,Mark Maye\mark-maye-1,North Carolina,ACC,11,143,270,53.0,1965,7.3,5.4,9,15,114.0,58,-51,-0.9,0
33,Ronnie Barber\ronnie-barber-1,Cal State Fullerton,PCAA,12,147,265,55.5,1931,7.3,6.7,15,10,127.8,70,159,2.3,3
34,Billy Joe Tolliver\billy-joe-tolliver-1,Texas Tech,SWC,11,97,196,49.5,1422,7.3,5.0,7,13,109.0,20,-69,-3.5,0
35,Chris Mendonca\chris-mendonca-2,Utah,WAC,12,194,332,58.4,2389,7.2,5.8,15,17,123.5,68,-59,-0.9,4
36,Brad Goebel\brad-goebel-1,Baylor,SWC,11,158,305,51.8,2178,7.1,6.0,9,12,113.7,79,-175,-2.2,1
37,Bob Jensen\bob-jensen-1,Brigham Young,WAC,12,144,259,55.6,1833,7.1,5.4,10,14,117.0,110,84,0.8,4
38,Rodney Williams*\rodney-williams-2,Clemson,ACC,12,101,209,48.3,1486,7.1,5.5,6,10,108.0,75,85,1.1,1
39,Tony Kimbrough\tony-kimbrough-1,Western Michigan,MAC,11,88,185,47.6,1307,7.1,6.1,9,8,114.3,51,138,2.7,1
40,Jeff Graham\jeff-graham-1,Long Beach State,PCAA,11,191,347,55.0,2427,7.0,6.6,9,7,118.3,61,-265,-4.3,2
41,Chris Chandler\chris-chandler-1,Washington,Pac-10,11,128,249,51.4,1739,7.0,5.7,9,11,113.2,46,136,3.0,3
42,Rickey Foggie\rickey-foggie-1,Minnesota,Big Ten,11,83,175,47.4,1232,7.0,4.9,8,12,107.9,121,591,4.9,6
43,Marcelle Carruthers\marcelle-carruthers-1,Central Michigan,MAC,10,108,191,56.5,1323,6.9,5.5,4,8,113.3,95,206,2.2,2
44,Brent Snyder\brent-snyder-1,Utah State,PCAA,11,226,427,52.9,2887,6.8,6.2,20,14,118.6,78,-113,-1.4,0
45,Daniel Ford*\daniel-ford-1,Arizona State,Pac-10,12,128,257,49.8,1756,6.8,5.1,12,15,110.9,41,-107,-2.6,0
46,Scott Mohr\scott-mohr-1,Illinois,Big Ten,11,106,212,50.0,1436,6.8,5.9,7,7,111.2,30,-138,-4.6,0
47,Craig Burnett*\craig-burnett-1,Wyoming,WAC,13,258,467,55.2,3131,6.7,6.1,21,16,119.6,31,-45,-1.5,2
48,Rich Dackin\rich-dackin-1,Bowling Green State,MAC,11,189,330,57.3,2211,6.7,5.3,13,16,116.9,50,-58,-1.2,1
49,T.J. Rubley\tj-rubley-1,Tulsa,Ind,11,159,313,50.8,2058,6.6,4.9,12,17,107.8,51,-156,-3.1,1
50,Tim Phillips\tim-phillips-2,Kent State,MAC,11,141,248,56.9,1625,6.6,5.2,4,9,110.0,62,50,0.8,4
51,Matt Knizner\matt-knizner-1,Penn State,Ind,11,113,223,50.7,1478,6.6,4.8,7,12,105.9,57,-92,-1.6,0
52,Barry Garrison\barry-garrison-1,New Mexico,WAC,11,277,489,56.6,3163,6.5,4.8,17,26,111.8,60,-98,-1.6,2
53,Erik Wilhelm\erik-wilhelm-1,Oregon State,Pac-10,11,226,423,53.4,2736,6.5,5.0,17,21,111.1,41,-123,-3.0,0
54,Brett Favre\brett-favre-1,Southern Mississippi,Ind,11,79,194,40.7,1264,6.5,5.0,15,13,107.6,57,169,3.0,1
55,Dan Henning\dan-henning-2,Maryland,ACC,11,157,287,54.7,1835,6.4,5.1,9,12,110.4,53,-53,-1.0,0
56,Mike Greenfield\mike-greenfield-1,Northwestern,Big Ten,11,92,199,46.2,1265,6.4,4.5,6,11,98.5,142,425,3.0,6
57,David Rascoe\david-rascoe-1,Texas Christian,SWC,11,88,173,50.9,1110,6.4,4.1,9,13,106.9,130,373,2.9,6
58,Timm Rosenbach\timm-rosenbach-1,Washington State,Pac-10,11,222,390,56.9,2446,6.3,4.1,11,24,106.6,138,297,2.2,5
59,Brett Sadek\brett-sadek-2,Iowa State,Big 8,10,117,229,51.1,1443,6.3,5.7,7,6,108.9,84,21,0.3,2
60,Jay Gruden\jay-gruden-1,Louisville,Ind,11,209,397,52.6,2481,6.2,4.7,17,21,108.7,56,-190,-3.4,1
61,Mike Bates\mike-bates-2,Miami (OH),MAC,11,218,359,60.7,2218,6.2,3.9,7,21,107.4,41,-157,-3.8,1
62,Wade Kosakowski\wade-kosakowski-1,Ball State,MAC,11,130,237,54.9,1477,6.2,4.9,7,10,108.5,42,9,0.2,2
63,Scott Erney\scott-erney-1,Rutgers,Ind,9,122,225,54.2,1369,6.1,5.5,7,6,110.3,50,-99,-2.0,0
64,Shawn McCarthy\shawn-mccarthy-1,Purdue,Big Ten,11,98,177,55.4,1088,6.1,3.9,5,11,103.9,10,-53,-5.3,0
65,Mike Elkins\mike-elkins-1,Wake Forest,ACC,11,169,317,53.3,1915,6.0,3.8,7,19,99.4,54,-89,-1.6,2
