,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Shawn Moore\shawn-moore-1,Virginia,ACC,10,144,241,59.8,2262,9.4,9.6,21,8,160.7,94,306,3.3,8
2,Ty Detmer\ty-detmer-1,Brigham Young,WAC,12,361,562,64.2,5188,9.2,8.4,41,28,155.9,73,-166,-2.3,4
3,Rick Mirer\rick-mirer-1,Notre Dame,Ind,11,110,200,55.0,1824,9.1,8.6,8,6,138.8,98,198,2.0,6
4,Casey Weldon\casey-weldon-1,Florida State,Ind,11,112,182,61.5,1600,8.8,9.1,12,4,152.7,29,21,0.7,0
5,Craig Erickson\craig-erickson-1,Miami (FL),Ind,11,225,393,57.3,3363,8.6,8.9,22,7,144.0,46,26,0.6,3
6,Garrett Gabriel\garrett-gabriel-1,Hawaii,WAC,12,165,320,51.6,2752,8.6,7.9,25,16,139.6,92,120,1.3,3
7,Marvin Graves\marvin-graves-1,Syracuse,Ind,10,115,200,57.5,1711,8.6,7.0,9,11,133.2,115,155,1.3,5
8,Dan McGwire\dan-mcgwire-1,San Diego State,WAC,11,270,449,60.1,3833,8.5,9.0,27,7,148.6,35,-169,-4.8,1
9,Tommy Maddox\tommy-maddox-1,UCLA,Pac-10,11,182,327,55.7,2682,8.2,7.3,17,14,133.1,90,148,1.6,2
10,Browning Nagle\browning-nagle-1,Louisville,Ind,11,146,263,55.5,2150,8.2,7.5,16,11,135.9,43,-50,-1.2,1
11,Shawn Jones\shawn-jones-2,Georgia Tech,ACC,11,142,245,58.0,2008,8.2,7.1,13,12,134.5,91,277,3.0,6
12,Ralph Martini\ralph-martini-2,San Jose State,Big West,12,204,362,56.4,2928,8.1,7.7,23,13,138.1,51,-5,-0.1,2
13,Bobby Fuller\bobby-fuller-1,South Carolina,Ind,11,171,294,58.2,2372,8.1,7.6,13,9,134.4,57,-162,-2.8,0
14,David Klingler\david-klingler-1,Houston,SWC,11,374,643,58.2,5140,8.0,8.3,54,20,146.8,61,81,1.3,1
15,Quinn Grovey\quinn-grovey-1,Arkansas,SWC,11,120,235,51.1,1886,8.0,7.6,18,10,135.2,104,326,3.1,5
16,Kent Kiefer\kent-kiefer-1,Missouri,Big 8,9,165,275,60.0,2183,7.9,6.3,11,15,129.0,33,-90,-2.7,0
17,Shane Matthews\shane-matthews-1,Florida,SEC,11,229,378,60.6,2952,7.8,7.6,23,12,139.9,72,-27,-0.4,4
18,Carl Straw\carl-straw-1,Kansas State,Big 8,11,153,277,55.2,2156,7.8,6.7,7,10,121.7,72,45,0.6,6
19,Chris Pedersen\chris-pedersen-1,Iowa State,Big 8,9,114,206,55.3,1601,7.8,6.8,6,7,123.4,130,570,4.4,3
20,Troy Kopp\troy-kopp-1,Pacific,Big West,9,244,428,57.0,3311,7.7,7.7,31,14,139.4,57,-35,-0.6,1
21,Chip Hilleary\chip-hilleary-1,Kansas,Big 8,11,129,224,57.6,1730,7.7,6.1,7,11,123.0,101,342,3.4,3
22,Jason Palumbis\jason-palumbis-1,Stanford,Pac-10,11,234,341,68.6,2579,7.6,7.0,11,9,137.5,65,-136,-2.1,3
23,Peter Gardere\peter-gardere-1,Texas,SWC,11,159,282,56.4,2131,7.6,7.2,11,7,127.8,82,15,0.2,4
24,Dan Enos*\dan-enos-1,Michigan State,Big Ten,12,137,220,62.3,1677,7.6,5.7,4,11,122.3,91,133,1.5,7
25,Bill Musgrave*\bill-musgrave-1,Oregon,Pac-10,11,202,348,58.0,2611,7.5,6.9,17,12,130.3,41,-85,-2.1,3
26,Todd Marinovich*\todd-marinovich-1,USC,Pac-10,13,196,322,60.9,2423,7.5,6.7,13,12,129.9,56,-192,-3.4,3
27,Greg Frey*\greg-frey-1,Ohio State,Big Ten,12,139,276,50.4,2062,7.5,6.0,16,16,120.7,37,-97,-2.6,2
28,Jeff Bender\jeff-bender-1,Central Michigan,MAC,11,145,262,55.3,1978,7.5,7.3,15,8,131.5,69,0,0.0,3
29,Ron Lopez\ron-lopez-1,Utah State,Big West,11,138,260,53.1,1961,7.5,6.2,14,14,123.4,42,-140,-3.3,3
30,Tony Sacca\tony-sacca-1,Penn State,Ind,11,122,249,49.0,1866,7.5,6.7,10,9,118.0,51,137,2.7,1
