,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Colt Brennan*\colt-brennan-1,Hawaii,WAC,14,406,559,72.6,5549,9.9,11.0,58,12,186.0,86,366,4.3,5
2,Brian Brohm*\brian-brohm-1,Louisville,Big East,11,199,313,63.6,3049,9.7,10.0,16,5,159.1,47,45,1.0,0
3,John Beck*\john-beck-1,Brigham Young,MWC,12,289,417,69.3,3885,9.3,10.0,32,8,169.1,50,-8,-0.2,6
4,JaMarcus Russell*\jamarcus-russell-1,LSU,SEC,13,232,342,67.8,3129,9.1,9.7,28,8,167.0,52,142,2.7,1
5,Jared Zabransky*\jared-zabransky-1,Boise State,WAC,13,191,288,66.3,2587,9.0,9.3,23,8,162.6,98,197,2.0,6
6,Tyler Palko\tyler-palko-1,Pitt,Big East,12,220,322,68.3,2871,8.9,9.2,25,9,163.2,66,77,1.2,2
7,Kevin Kolb*\kevin-kolb-1,Houston,CUSA,14,292,432,67.6,3809,8.8,9.8,30,4,162.7,111,154,1.4,4
8,Erik Ainge*\erik-ainge-1,Tennessee,SEC,12,233,348,67.0,2989,8.6,8.5,19,9,151.9,26,-102,-3.9,1
9,Bobby Reid*\bobby-reid-1,Oklahoma State,Big 12,13,148,267,55.4,2266,8.5,8.4,24,11,148.1,119,500,4.2,5
10,Jordan Palmer\jordan-palmer-1,UTEP,CUSA,12,282,429,65.7,3595,8.4,8.1,26,14,149.6,47,-86,-1.8,1
11,Andre Woodson*\andre-woodson-1,Kentucky,SEC,13,264,419,63.0,3515,8.4,9.1,31,7,154.5,70,-137,-2.0,1
12,Adam Tafralis*\adam-tafralis-1,San Jose State,WAC,13,181,276,65.6,2284,8.3,8.7,21,7,155.1,90,224,2.5,2
13,Chase Holbrook\chase-holbrook-1,New Mexico State,WAC,12,396,566,70.0,4619,8.2,8.6,34,9,155.2,80,-78,-1.0,4
14,Zac Taylor*\zac-taylor-1,Nebraska,Big 12,14,233,391,59.6,3197,8.2,8.6,26,8,146.1,60,-32,-0.5,1
15,Troy Smith*\troy-smith-1,Ohio State,Big Ten,13,203,311,65.3,2542,8.2,9.2,30,6,161.9,72,204,2.8,1
16,John Stocco*\john-stocco-1,Wisconsin,Big Ten,11,158,268,59.0,2185,8.2,8.4,17,6,143.9,48,-79,-1.6,1
17,Chris Leak*\chris-leak-1,Florida,SEC,14,232,365,63.6,2942,8.1,7.7,23,13,144.9,77,30,0.4,3
18,Matt Grothe*\matt-grothe-1,South Florida,Big East,13,202,317,63.7,2576,8.1,7.1,15,14,138.8,178,622,3.5,9
19,Colt McCoy*\colt-mccoy-1,Texas,Big 12,13,217,318,68.2,2570,8.1,8.9,29,7,161.8,68,170,2.5,2
20,Brandon Cox*\brandon-cox-1,Auburn,SEC,13,163,271,60.1,2198,8.1,7.6,14,9,138.7,51,-177,-3.5,1
21,Nate Davis\nate-davis-1,Ball State,MAC,12,150,245,61.2,1975,8.1,8.1,18,8,146.7,29,-48,-1.7,0
22,Matt Moore*\matt-moore-1,Oregon State,Pac-10,14,229,378,60.6,3022,8.0,8.1,18,7,139.7,77,-11,-0.1,5
