,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Tom Ramsey*\tom-ramsey-1,UCLA,Pac-10,12,209,336,62.2,2986,8.9,8.8,21,10,151.5,134,138,1.0,7
2,John Bond\john-bond-3,Mississippi State,SEC,11,91,183,49.7,1591,8.7,6.8,7,11,123.4,144,609,4.2,4
3,Jeff Tedford*\jeff-tedford-1,Fresno State,PCAA,12,184,348,52.9,2993,8.6,7.1,24,22,135.2,67,-68,-1.0,8
4,Mike Tomczak*\mike-tomczak-1,Ohio State,Big Ten,12,96,187,51.3,1602,8.6,6.8,8,11,125.7,68,182,2.7,5
5,Steve Young\steve-young-2,Brigham Young,WAC,11,230,367,62.7,3100,8.4,7.2,18,18,140.0,114,407,3.6,10
6,Wayne Peace\wayne-peace-1,Florida,SEC,11,174,246,70.7,2053,8.3,7.2,8,10,143.4,55,-158,-2.9,1
7,Ben Bennett\ben-bennett-2,Duke,ACC,11,236,374,63.1,3033,8.1,7.7,20,12,142.5,52,-148,-2.8,0
8,Lionel Wilson\lionel-wilson-1,Houston,SWC,10,85,171,49.7,1386,8.1,5.3,5,13,112.2,172,403,2.3,3
9,John Elway\john-elway-1,Stanford,Pac-10,11,262,405,64.7,3242,8.0,7.9,24,12,145.6,59,-138,-2.3,0
10,Doug Flutie*\doug-flutie-1,Boston College,Ind,12,162,348,46.6,2749,7.9,6.1,13,20,113.7,90,270,3.0,2
11,Mark McKay\mark-mckay-1,San Diego State,WAC,12,142,250,56.8,1985,7.9,7.2,11,9,130.8,67,4,0.1,1
12,Jim Bob Taylor\jim-bob-taylor-1,Georgia Tech,Ind,11,135,232,58.2,1839,7.9,5.9,3,12,118.7,76,-8,-0.1,2
13,Brian McClure\brian-mcclure-1,Bowling Green State,MAC,11,113,176,64.2,1391,7.9,5.5,8,13,130.8,37,-63,-1.7,1
14,Ken Vierra\ken-vierra-1,Utah,WAC,9,85,166,51.2,1315,7.9,7.9,13,6,136.4,52,-24,-0.5,1
15,Alan Risher\alan-risher-1,LSU,SEC,11,149,234,63.7,1834,7.8,7.8,17,8,146.6,105,202,1.9,4
16,Tom Tunnicliffe\tom-tunnicliffe-1,Arizona,Pac-10,11,176,328,53.7,2520,7.7,6.9,18,14,127.8,47,-79,-1.7,1
17,Kelly Lowrey\kelly-lowrey-1,Florida State,Ind,11,113,217,52.1,1671,7.7,7.1,11,8,126.1,36,-1,0.0,4
18,Todd Blackledge\todd-blackledge-1,Penn State,Ind,11,161,292,55.1,2218,7.6,6.9,22,14,134.2,42,-27,-0.6,3
19,Steve Smith*\steve-smith-13,Michigan,Big Ten,12,118,227,52.0,1735,7.6,6.3,14,13,125.1,83,387,4.7,9
20,Randall Cunningham\randall-cunningham-1,UNLV,PCAA,11,200,381,52.5,2847,7.5,6.9,17,12,123.7,94,61,0.6,3
21,Tim Riordan\tim-riordan-1,Temple,Ind,11,157,247,63.6,1840,7.4,7.2,13,7,137.8,89,2,0.0,2
22,Dave Osborn\dave-osborn-1,New Mexico,WAC,11,105,216,48.6,1609,7.4,7.2,15,8,126.7,141,539,3.8,7
23,Steve Clarkson\steve-clarkson-1,San Jose State,PCAA,11,196,340,57.6,2485,7.3,7.2,20,10,132.6,81,88,1.1,6
24,Boomer Esiason\boomer-esiason-1,Maryland,ACC,11,176,314,56.1,2302,7.3,7.0,18,10,130.2,55,-71,-1.3,2
25,Mike McKay\mike-mckay-1,Tulane,Ind,10,152,260,58.5,1903,7.3,5.7,10,14,121.9,39,-135,-3.5,1
26,Robert Brewer\robert-brewer-1,Texas,SWC,11,91,193,47.2,1415,7.3,6.0,12,11,117.9,46,0,0.0,5
27,Dwight Prudhomme\dwight-prudhomme-1,Louisiana,Ind,11,94,181,51.9,1320,7.3,5.8,11,11,121.1,37,122,3.3,2
28,Tony Eason\tony-eason-1,Illinois,Big Ten,11,278,450,61.8,3248,7.2,6.5,17,15,128.2,73,10,0.1,1
