,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
29,Mike Brannan\mike-brannan-1,Baylor,SWC,11,100,204,49.0,1459,7.2,6.7,7,5,115.5,95,126,1.3,1
30,Bernard Quarles\bernard-quarles-1,Hawaii,WAC,11,103,188,54.8,1350,7.2,6.5,7,6,121.0,107,345,3.2,5
31,Wayne Schuchts\wayne-schuchts-1,Virginia,ACC,10,72,176,40.9,1243,7.1,4.4,6,13,96.7,52,-74,-1.4,3
32,Todd Dillon\todd-dillon-1,Long Beach State,PCAA,11,289,504,57.3,3517,7.0,5.9,19,21,120.1,81,70,0.9,4
33,Todd Hons*\todd-hons-1,Arizona State,Pac-10,12,185,336,55.1,2338,7.0,5.6,9,14,114.0,46,-116,-2.5,2
34,Jim Kelso\jim-kelso-1,Toledo,MAC,11,149,281,53.0,1963,7.0,5.3,8,14,111.1,61,162,2.7,3
35,Darrell Ray Dickey\darrell-ray-dickey-1,Kansas State,Big 8,11,93,174,53.4,1225,7.0,6.1,8,7,119.7,80,49,0.6,3
36,Danny Barrett\danny-barrett-1,Cincinnati,Ind,11,179,324,55.2,2222,6.9,6.2,17,12,122.8,74,-41,-0.6,1
37,Randy Wright\randy-wright-1,Wisconsin,Big Ten,11,165,306,53.9,2109,6.9,5.8,13,13,117.3,68,197,2.9,5
38,Alan Cockrell\alan-cockrell-1,Tennessee,SEC,11,174,294,59.2,2021,6.9,5.4,12,15,120.2,53,-58,-1.1,1
39,Terry Nugent\terry-nugent-1,Colorado State,WAC,11,201,382,52.6,2595,6.8,5.5,18,19,115.3,73,-221,-3.0,2
40,Babe Laufenberg\babe-laufenberg-1,Indiana,Big Ten,11,217,364,59.6,2468,6.8,5.7,11,14,118.8,31,-117,-3.8,0
41,Jeff Hostetler\jeff-hostetler-1,West Virginia,Ind,11,127,264,48.1,1798,6.8,6.7,10,5,114.0,46,55,1.2,4
42,Chuck Long\chuck-long-1,Iowa,Big Ten,11,129,201,64.2,1374,6.8,5.4,8,10,124.8,129,119,0.9,4
43,Gale Gilbert\gale-gilbert-1,California,Pac-10,11,147,270,54.4,1796,6.7,5.2,12,14,114.6,54,-292,-5.4,0
44,Doug Samuels\doug-samuels-1,Utah State,PCAA,11,135,264,51.1,1764,6.7,6.1,12,9,115.4,57,-219,-3.8,0
45,Marco Pagnanelli\marco-pagnanelli-1,Navy,Ind,11,98,169,58.0,1133,6.7,5.9,7,6,120.9,78,143,1.8,2
46,Sandy Schwab\sandy-schwab-1,Northwestern,Big Ten,11,234,416,56.3,2735,6.6,5.1,14,20,113.0,88,-180,-2.0,4
47,Scott Campbell\scott-campbell-2,Purdue,Big Ten,11,218,399,54.6,2626,6.6,5.9,14,12,115.5,70,-118,-1.7,1
48,Mike Hohensee\mike-hohensee-1,Minnesota,Big Ten,11,210,360,58.3,2380,6.6,5.0,13,19,115.2,63,38,0.6,2
49,Kent Austin\kent-austin-1,Ole Miss,SEC,11,186,307,60.6,2026,6.6,5.9,12,10,122.4,38,-67,-1.8,1
50,Donny Harrison\donny-harrison-1,Ohio,MAC,11,114,198,57.6,1308,6.6,5.5,7,8,116.7,158,341,2.2,2
51,Dean May\dean-may-1,Louisville,Ind,11,141,311,45.3,2034,6.5,5.5,17,15,108.7,63,-112,-1.8,1
52,Dan Marino*\dan-marino-1,Pitt,Ind,12,221,378,58.5,2432,6.4,4.6,17,23,115.2,44,-44,-1.0,0
53,Gary Schofield\gary-schofield-1,Wake Forest,ACC,11,212,376,56.4,2380,6.3,5.1,10,15,110.4,37,-177,-4.8,1
54,Frank Seurer\frank-seurer-1,Kansas,Big 8,11,127,259,49.0,1625,6.3,4.2,7,15,99.1,57,-82,-1.4,2
55,Rick Hansen\rick-hansen-1,San Diego State,WAC,12,108,203,53.2,1279,6.3,5.3,10,9,113.5,41,-26,-0.6,1
56,Ike Jackson\ike-jackson-1,Oklahoma State,Big 8,11,100,198,50.5,1254,6.3,3.9,7,14,101.2,41,-75,-1.8,2
57,Jacque LaPrarie\jacque-laprarie-1,Rutgers,Ind,11,100,186,53.8,1164,6.3,2.9,7,17,100.5,91,169,1.9,2
58,Paul Berner\paul-berner-1,Pacific,PCAA,11,211,418,50.5,2586,6.2,4.7,12,19,102.8,53,-155,-2.9,1
59,Tol Avery\tol-avery-1,North Carolina State,ACC,11,126,224,56.3,1396,6.2,5.1,8,9,112.4,86,-205,-2.4,2
60,Steve Pelluer\steve-pelluer-1,Washington,Pac-10,9,111,198,56.1,1229,6.2,4.9,10,10,114.8,49,40,0.8,0
61,Whit Taylor\whit-taylor-1,Vanderbilt,SEC,11,228,406,56.2,2481,6.1,5.9,22,12,119.5,153,198,1.3,2
62,Gary Kubiak\gary-kubiak-1,Texas A&M,SWC,10,181,324,55.9,1948,6.0,5.7,19,11,118.9,45,-63,-1.4,1
63,David Archer\david-archer-1,Iowa State,Big 8,11,125,244,51.2,1465,6.0,4.0,5,13,97.8,90,7,0.1,2
64,Trell Hooper\trell-hooper-1,Memphis,Ind,11,112,201,55.7,1194,5.9,4.2,5,10,103.9,106,249,2.3,5
65,Jamie McAlister\jamie-mcalister-1,New Mexico State,MVC,11,164,335,49.0,1934,5.8,4.4,16,17,103.1,73,-201,-2.8,1
66,Blair Kiel\blair-kiel-1,Notre Dame,Ind,11,118,219,53.9,1273,5.8,4.0,3,10,98.1,44,-29,-0.7,1
67,Reggie Collier\reggie-collier-1,Southern Mississippi,Ind,11,98,219,44.7,1265,5.8,4.6,3,7,91.4,150,803,5.4,12
68,Clete Casper\clete-casper-1,Washington State,Pac-10,11,91,184,49.5,1072,5.8,4.2,5,9,97.6,58,-65,-1.1,0
69,Steve Coulter\steve-coulter-1,Eastern Michigan,MAC,11,102,227,44.9,1290,5.7,4.4,1,7,88.0,35,2,0.1,1
70,Kevin Ward\kevin-ward-3,UTEP,WAC,12,94,208,45.2,1141,5.5,3.6,3,10,86.4,155,608,3.9,4
71,John Appold\john-appold-1,Miami (OH),MAC,11,104,191,54.5,1051,5.5,5.0,6,5,105.8,61,13,0.2,0
72,Doug Freed\doug-freed-1,Ball State,MAC,11,85,182,46.7,989,5.4,4.6,6,6,96.6,52,86,1.7,0
73,John Leister\john-leister-1,Michigan State,Big Ten,10,119,251,47.4,1321,5.3,3.6,4,11,88.1,49,-10,-0.2,1
74,Walter Kroan\walter-kroan-1,Kent State,MAC,9,113,259,43.6,1304,5.0,1.8,8,22,79.1,47,-198,-4.2,0
75,Randy Jenkins\randy-jenkins-1,Kentucky,SEC,11,92,187,49.2,933,5.0,0.4,2,20,73.2,47,-93,-2.0,0
76,Jim Hart\jim-hart-1,Texas Tech,SWC,11,107,227,47.1,1081,4.8,2.8,7,13,85.9,136,215,1.6,2
77,Alex Espinoza\alex-espinoza-1,Cal State Fullerton,PCAA,12,101,223,45.3,1080,4.8,2.9,3,11,80.5,48,-204,-4.3,1
