,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Ryan Dinwiddie*\ryan-dinwiddie-1,Boise State,WAC,14,276,446,61.9,4356,9.8,10.5,31,7,163.7,81,43,0.5,12
2,Bradlee Van Pelt*\bradlee-van-pelt-1,Colorado State,MWC,13,180,297,60.6,2845,9.6,8.9,19,13,153.4,170,909,5.3,10
3,Asad Abdul-Khaliq*\asad-abdul-khaliq-1,Minnesota,Big Ten,13,158,250,63.2,2401,9.6,10.1,17,5,162.3,88,370,4.2,4
4,Philip Rivers*\philip-rivers-1,North Carolina State,ACC,13,348,483,72.0,4491,9.3,10.1,34,7,170.5,78,109,1.4,3
5,Ben Roethlisberger*\ben-roethlisberger-1,Miami (OH),MAC,14,342,495,69.1,4486,9.1,9.6,37,10,165.8,67,111,1.7,3
6,Bill Whittemore*\bill-whittemore-1,Kansas,Big 12,10,159,263,60.5,2385,9.1,9.4,18,6,154.7,127,534,4.2,10
7,Jim Sorgi*\jim-sorgi-1,Wisconsin,Big Ten,12,140,248,56.5,2251,9.1,8.8,17,9,148.1,67,-10,-0.1,2
8,Rod Rutherford*\rod-rutherford-1,Pitt,Big East,13,247,413,59.8,3679,8.9,9.2,37,14,157.4,136,150,1.1,2
9,Matt Leinart*\matt-leinart-1,USC,Pac-10,13,255,402,63.4,3556,8.8,9.7,38,9,164.5,32,-62,-1.9,0
10,Stefan Lefors*\stefan-lefors-1,Louisville,CUSA,13,219,357,61.3,3145,8.8,8.5,17,10,145.5,71,405,5.7,3
11,Kelvin Kolb*\kelvin-kolb-1,Houston,CUSA,13,220,360,61.1,3131,8.7,9.3,25,6,153.8,139,346,2.5,7
12,Kevin Kolb*\kevin-kolb-1,Houston,CUSA,13,220,360,61.1,3131,8.7,9.3,25,6,153.8,139,346,2.5,7
13,Ell Roberson*\ell-roberson-1,Kansas State,Big 12,13,152,294,51.7,2545,8.7,8.5,24,12,143.2,227,975,4.3,15
14,Jason White*\jason-white-1,Oklahoma,Big 12,14,278,451,61.6,3846,8.5,9.3,40,10,158.1,42,-150,-3.6,1
15,Scott McBrien*\scott-mcbrien-1,Maryland,ACC,13,173,314,55.1,2672,8.5,8.9,19,6,142.7,82,259,3.2,6
16,Scott McBrien*\scott-mcbrien-2,Maryland,ACC,13,173,314,55.1,2672,8.5,8.9,19,6,142.7,82,259,3.2,6
17,Brandon Hassell*\brandon-hassell-1,Texas Christian,CUSA,10,136,240,56.7,2039,8.5,7.8,10,8,135.1,120,369,3.1,5
18,Charlie Frye\charlie-frye-1,Akron,MAC,12,273,421,64.8,3549,8.4,8.5,22,9,148.6,111,288,2.6,7
19,Alex Smith*\alex-smith-3,Utah,MWC,11,173,266,65.0,2247,8.4,9.1,15,3,152.3,149,452,3.0,5
20,Brian Lindgren\brian-lindgren-1,Idaho,Sun Belt,11,147,246,59.8,2077,8.4,8.2,15,8,144.3,15,-42,-2.8,0
21,Bruce Gradkowski\bruce-gradkowski-1,Toledo,MAC,12,277,389,71.2,3210,8.3,8.9,29,7,161.5,91,504,5.5,1
22,Aaron Rodgers*\aaron-rodgers-1,California,Pac-10,13,215,349,61.6,2903,8.3,8.8,19,5,146.6,86,210,2.4,5
23,Matt Jones*\matt-jones-1,Arkansas,SEC,13,132,230,57.4,1917,8.3,8.5,18,7,147.1,96,707,7.4,8
