,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Danny Wuerffel\danny-wuerffel-1,Florida,SEC,12,207,360,57.5,3625,10.1,10.6,39,13,170.6,63,-100,-1.6,2
2,Steve Sarkisian\steve-sarkisian-1,Brigham Young,WAC,14,278,404,68.8,4027,10.0,10.3,33,12,173.6,82,-44,-0.5,1
3,Billy Blanton\billy-blanton-1,San Diego State,WAC,11,227,344,66.0,3221,9.4,10.4,29,5,169.6,70,-60,-0.9,1
4,Herb Tyler\herb-tyler-1,LSU,SEC,11,109,188,58.0,1688,9.0,7.8,7,8,137.2,85,245,2.9,7
5,Josh Wallwork\josh-wallwork-1,Wyoming,WAC,12,286,458,62.4,4090,8.9,8.9,33,15,154.7,67,119,1.8,2
6,Jim Arellanes\jim-arellanes-1,Fresno State,WAC,11,173,281,61.6,2487,8.9,7.5,13,14,141.2,37,-137,-3.7,1
7,Peyton Manning\peyton-manning-1,Tennessee,SEC,11,243,380,63.9,3287,8.7,8.3,20,12,147.7,42,-131,-3.1,3
8,Koy Detmer\koy-detmer-1,Colorado,Big 12,11,208,363,57.3,3156,8.7,8.4,22,12,143.7,36,-6,-0.2,3
9,Moses Moreno\moses-moreno-1,Colorado State,WAC,12,193,335,57.6,2921,8.7,8.2,18,12,141.4,70,-18,-0.3,2
10,Matt Sauk\matt-sauk-1,Utah State,Big West,10,154,286,53.8,2489,8.7,7.1,8,14,126.4,36,79,2.2,2
11,Chad Darnell\chad-darnell-1,Central Michigan,MAC,11,189,348,54.3,2921,8.4,8.2,22,11,139.4,61,134,2.2,2
12,Mike Fouts\mike-fouts-2,Utah,WAC,11,177,302,58.6,2526,8.4,8.7,21,7,147.2,36,-79,-2.2,1
13,Ron Powlus\ron-powlus-1,Notre Dame,Ind,11,133,232,57.3,1942,8.4,8.6,12,4,141.3,53,8,0.2,0
14,Pat Barnes*\pat-barnes-1,California,Pac-10,12,250,420,59.5,3499,8.3,9.0,31,8,150.1,86,-83,-1.0,1
