,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,John Dewberry\john-dewberry-1,Georgia Tech,ACC,11,126,206,61.2,1846,9.0,7.8,11,10,144.4,98,329,3.4,3
2,Don King\don-king-2,SMU,SWC,11,93,177,52.5,1598,9.0,8.4,8,6,136.5,119,421,3.5,4
3,Chuck Long*\chuck-long-1,Iowa,Big Ten,13,216,322,67.1,2871,8.9,8.5,22,13,156.4,91,-154,-1.7,4
4,Bernie Kosar\bernie-kosar-1,Miami (FL),Ind,12,262,416,63.0,3642,8.8,8.2,25,16,148.7,52,-230,-4.4,4
5,Kerwin Bell\kerwin-bell-2,Florida,SEC,11,98,184,53.3,1614,8.8,8.8,16,7,148.0,40,-5,-0.1,2
6,Mark Stevens\mark-stevens-2,Utah,WAC,12,117,216,54.2,1889,8.7,7.9,11,9,136.1,157,452,2.9,13
7,Doug Flutie*\doug-flutie-1,Boston College,Ind,12,246,423,58.2,3634,8.6,8.6,30,13,147.6,66,379,5.7,3
8,Frank Reich\frank-reich-1,Maryland,ACC,9,108,169,63.9,1446,8.6,8.3,9,5,147.4,39,-140,-3.6,1
9,Robbie Bosco\robbie-bosco-1,Brigham Young,WAC,12,283,458,61.8,3875,8.5,8.8,33,11,151.8,85,57,0.7,2
10,Doug Gaynor\doug-gaynor-1,Long Beach State,PCAA,10,248,385,64.4,3230,8.4,7.2,16,17,139.8,93,13,0.1,4
11,Steve Beuerlein\steve-beuerlein-1,Notre Dame,Ind,10,140,232,60.3,1920,8.3,5.4,7,18,124.3,58,-75,-1.3,0
12,Bob DeMarco\bob-demarco-1,Central Michigan,MAC,11,98,173,56.6,1427,8.2,8.6,12,4,144.2,72,156,2.2,1
13,Randall Cunningham*\randall-cunningham-1,UNLV,PCAA,13,225,360,62.5,2898,8.1,8.2,26,10,148.4,105,29,0.3,3
14,Mike Tomczak*\mike-tomczak-1,Ohio State,Big Ten,12,145,244,59.4,1952,8.0,6.8,10,11,131.1,44,-1,0.0,1
