,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Ty Detmer\ty-detmer-1,Brigham Young,WAC,12,265,412,64.3,4560,11.1,11.0,32,15,175.6,85,-127,-1.5,6
2,Bill Scharr\bill-scharr-1,Syracuse,Ind,11,107,169,63.3,1625,9.6,8.6,9,8,152.2,67,-47,-0.7,3
3,Shawn Moore\shawn-moore-1,Virginia,ACC,11,125,221,56.6,2078,9.4,9.6,18,7,156.1,139,505,3.6,9
4,Bret Oberg\bret-oberg-1,Iowa State,Big 8,11,152,245,62.0,2242,9.2,8.2,9,9,143.7,110,273,2.5,5
5,Peter Tom Willis\peter-tom-willis-1,Florida State,Ind,11,211,346,61.0,3124,9.0,9.0,20,9,150.7,31,-120,-3.9,2
6,Greg Frey*\greg-frey-1,Ohio State,Big Ten,12,144,246,58.5,2132,8.7,8.3,13,8,142.3,51,-92,-1.8,2
7,Dan Speltz\dan-speltz-1,Cal State Fullerton,Big West,11,214,309,69.3,2671,8.6,8.3,20,11,156.1,67,-63,-0.9,2
8,Garrett Gabriel\garrett-gabriel-1,Hawaii,WAC,12,143,249,57.4,2145,8.6,8.0,17,11,143.5,103,246,2.4,5
9,Dan Enos*\dan-enos-1,Michigan State,Big Ten,12,153,240,63.8,2066,8.6,7.1,9,12,138.4,110,153,1.4,6
10,Tommy Hodson\tommy-hodson-1,LSU,SEC,11,183,317,57.7,2655,8.4,8.1,22,12,143.4,56,-51,-0.9,2
11,Major Harris*\major-harris-1,West Virginia,Ind,12,142,245,58.0,2058,8.4,7.8,17,11,142.4,155,936,6.0,6
12,Aaron Garcia\aaron-garcia-1,Washington State,Pac-10,10,115,189,60.8,1591,8.4,7.0,11,11,139.1,52,8,0.2,0
13,Dan McGwire\dan-mcgwire-1,San Diego State,WAC,12,258,440,58.6,3651,8.3,7.1,16,19,131.7,64,-228,-3.6,2
14,Paul Justin\paul-justin-1,Arizona State,Pac-10,11,183,314,58.3,2591,8.3,7.9,17,10,139.1,27,-131,-4.9,0
15,Kelly Donohoe\kelly-donohoe-1,Kansas,Big 8,11,141,256,55.1,2125,8.3,7.0,12,13,130.1,81,-2,0.0,5
16,Alex Van Pelt\alex-van-pelt-1,Pitt,Ind,11,172,307,56.0,2527,8.2,7.6,15,11,134.1,30,-91,-3.0,3
17,Andre Ware\andre-ware-1,Houston,SWC,11,365,578,63.1,4699,8.1,8.6,46,15,152.5,50,-38,-0.8,3
18,Peter Gardere\peter-gardere-1,Texas,SWC,11,107,186,57.5,1511,8.1,5.5,5,13,120.7,68,-123,-1.8,2
19,Reggie Slack\reggie-slack-1,Auburn,SEC,11,148,252,58.7,1996,7.9,7.0,11,10,131.7,55,3,0.1,2
20,Jamie Gill\jamie-gill-1,Texas Tech,SWC,11,105,186,56.5,1464,7.9,7.0,12,9,134.2,48,-194,-4.0,2
21,Bill Musgrave*\bill-musgrave-1,Oregon,Pac-10,12,231,401,57.6,3081,7.7,7.0,22,16,132.3,45,-79,-1.8,1
22,John Darnell\john-darnell-1,Ole Miss,SEC,11,167,301,55.5,2326,7.7,6.8,11,11,125.1,110,75,0.7,1
23,Mike Gundy\mike-gundy-1,Oklahoma State,Big 8,11,164,287,57.1,2203,7.7,7.2,14,9,131.4,66,-37,-0.6,3
24,Derek Stott\derek-stott-1,UNLV,Big West,11,114,222,51.4,1701,7.7,7.3,9,6,123.7,72,38,0.5,4
25,Eric Hunter\eric-hunter-3,Purdue,Big Ten,11,91,178,51.1,1368,7.7,7.2,11,7,128.2,78,5,0.1,0
26,Mark Barsotti*\mark-barsotti-1,Fresno State,Big West,12,138,262,52.7,1987,7.6,6.7,15,12,126.1,87,244,2.8,8
27,Tom Sullivan\tom-sullivan-1,Eastern Michigan,MAC,11,129,253,51.0,1927,7.6,5.6,8,15,113.5,53,-69,-1.3,1
28,Greg Talley\greg-talley-1,Georgia,SEC,11,92,174,52.9,1330,7.6,6.0,6,9,118.1,73,38,0.5,1
29,Browning Nagle\browning-nagle-1,Louisville,Ind,11,187,334,56.0,2503,7.5,7.1,16,10,128.8,52,-121,-2.3,2
30,Neil O'Donnell\neil-odonnell-1,Maryland,ACC,11,156,280,55.7,2103,7.5,7.6,10,4,127.7,77,-44,-0.6,0
31,David Riley\david-riley-1,Ball State,MAC,11,149,256,58.2,1929,7.5,7.3,13,7,132.8,61,146,2.4,3
32,Gino Torretta\gino-torretta-1,Miami (FL),Ind,11,101,177,57.1,1325,7.5,6.4,8,8,125.8,21,-15,-0.7,0
33,Kent Kiefer\kent-kiefer-1,Missouri,Big 8,11,183,314,58.3,2314,7.4,6.0,12,15,123.2,53,-238,-4.5,0
34,T.J. Rubley\tj-rubley-1,Tulsa,Ind,11,155,308,50.3,2292,7.4,8.0,22,6,132.5,45,59,1.3,0
35,Billy Ray\billy-ray-2,Duke,ACC,9,174,274,63.5,2035,7.4,6.2,15,14,133.7,59,115,1.9,1
36,Craig Erickson\craig-erickson-1,Miami (FL),Ind,11,147,273,53.8,2007,7.4,6.4,16,13,125.4,31,-80,-2.6,1
37,Matt Veatch\matt-veatch-1,San Jose State,Big West,11,123,234,52.6,1722,7.4,5.9,8,11,116.3,29,-115,-4.0,1
38,Lance Pavlas\lance-pavlas-1,Texas A&M,SWC,11,134,227,59.0,1681,7.4,5.9,10,12,125.2,64,-2,0.0,1
39,Todd Marinovich*\todd-marinovich-1,USC,Pac-10,12,219,352,62.2,2578,7.3,6.6,16,13,131.4,64,39,0.6,4
40,Scott Mitchell\scott-mitchell-2,Utah,WAC,12,237,444,53.4,3211,7.2,6.7,31,19,128.6,64,-78,-1.2,2
41,Paul Oates\paul-oates-1,Long Beach State,Big West,12,168,364,46.2,2621,7.2,6.1,19,17,114.5,52,-65,-1.3,0
42,Howard Gasser\howard-gasser-1,UTEP,WAC,12,189,359,52.6,2586,7.2,5.7,16,19,117.3,102,-73,-0.7,5
43,Tom Corontzos\tom-corontzos-1,Wyoming,WAC,11,153,280,54.6,2005,7.2,6.2,14,12,122.7,84,-95,-1.1,2
44,Scott Schaffner\scott-schaffner-1,Minnesota,Big Ten,11,101,190,53.2,1373,7.2,6.1,7,8,117.6,76,125,1.6,2
45,Brad Goebel\brad-goebel-1,Baylor,SWC,11,95,175,54.3,1255,7.2,5.1,7,11,115.2,22,-84,-3.8,0
46,Jeff George*\jeff-george-1,Illinois,Big Ten,12,242,386,62.7,2738,7.1,6.8,22,12,134.9,25,-182,-7.3,0
47,Matt Rodgers\matt-rodgers-2,Iowa,Big Ten,11,178,312,57.1,2222,7.1,6.0,12,13,121.2,79,-74,-0.9,2
