,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Chuck Long\chuck-long-1,Iowa,Big Ten,11,144,236,61.0,2434,10.3,10.0,14,8,160.4,85,-30,-0.4,5
2,Marlon Adler\marlon-adler-1,Missouri,Big 8,11,102,175,58.3,1603,9.2,7.1,11,13,141.1,125,267,2.1,12
3,Steve Young\steve-young-2,Brigham Young,WAC,11,306,429,71.3,3902,9.1,9.6,33,10,168.5,102,444,4.4,8
4,Mike Eppley\mike-eppley-1,Clemson,ACC,11,99,166,59.6,1410,8.5,7.6,13,9,146.0,47,63,1.3,4
5,Rick Neuheisel*\rick-neuheisel-1,UCLA,Pac-10,12,185,267,69.3,2245,8.4,7.7,13,10,148.5,72,-171,-2.4,0
6,Raphel Cherry\raphel-cherry-1,Hawaii,WAC,11,170,299,56.9,2478,8.3,7.2,18,15,136.3,147,256,1.7,8
7,Mike Tomczak*\mike-tomczak-1,Ohio State,Big Ten,12,131,237,55.3,1942,8.2,6.8,13,13,131.2,69,250,3.6,4
8,Brad Baumberger\brad-baumberger-1,Wyoming,WAC,12,112,189,59.3,1551,8.2,7.6,10,7,138.2,185,534,2.9,7
9,Randall Cunningham\randall-cunningham-1,UNLV,PCAA,11,189,316,59.8,2545,8.1,8.1,18,8,141.2,106,133,1.3,3
10,Frank Seurer\frank-seurer-1,Kansas,Big 8,11,187,353,53.0,2789,7.9,6.3,14,19,121.7,57,-129,-2.3,1
11,Doug Flutie\doug-flutie-1,Boston College,Ind,11,177,345,51.3,2724,7.9,6.9,17,15,125.2,68,241,3.5,0
12,Boomer Esiason\boomer-esiason-1,Maryland,ACC,10,163,294,55.4,2322,7.9,7.7,15,8,133.2,47,-32,-0.7,2
13,Jeff Hostetler\jeff-hostetler-1,West Virginia,Ind,11,163,286,57.0,2247,7.9,7.3,14,10,132.1,88,41,0.5,3
14,Troy Bodine\troy-bodine-1,Cincinnati,Ind,11,127,209,60.8,1643,7.9,7.4,13,8,139.7,43,-92,-2.1,3
15,Ricky Turner\ricky-turner-1,Washington State,Pac-10,10,100,172,58.1,1351,7.9,7.5,8,5,133.7,151,331,2.2,4
16,Walter Lewis\walter-lewis-1,Alabama,SEC,11,144,256,56.3,1991,7.8,6.2,14,15,127.9,135,338,2.5,5
17,Anthony Sciaraffa\anthony-sciaraffa-1,Texas Christian,SWC,11,95,183,51.9,1423,7.8,6.1,3,8,113.9,144,193,1.3,4
18,Terry Nugent\terry-nugent-1,Colorado State,WAC,12,275,433,63.5,3319,7.7,6.1,12,20,127.8,90,-276,-3.1,4
19,Gale Gilbert\gale-gilbert-1,California,Pac-10,11,216,365,59.2,2769,7.6,6.2,13,17,125.3,58,-332,-5.7,0
20,Sean Salisbury\sean-salisbury-1,USC,Pac-10,11,142,248,57.3,1882,7.6,6.8,10,9,127.1,45,-166,-3.7,0
21,Jeff Wickersham\jeff-wickersham-1,LSU,SEC,11,193,337,57.3,2542,7.5,5.7,7,17,117.4,58,-106,-1.8,7
22,Jack Trudeau\jack-trudeau-1,Illinois,Big Ten,11,203,324,62.7,2446,7.5,6.9,18,13,136.4,44,-93,-2.1,1
23,Doug Strang\doug-strang-1,Penn State,Ind,12,134,259,51.7,1944,7.5,7.8,19,7,133.6,60,-32,-0.5,5
24,Buddy Funck\buddy-funck-1,New Mexico,WAC,12,110,204,53.9,1521,7.5,5.3,5,12,112.9,194,633,3.3,8
25,Mark McKay\mark-mckay-1,San Diego State,WAC,12,187,337,55.5,2490,7.4,5.5,13,20,118.4,71,-185,-2.6,2
26,Todd Hons\todd-hons-1,Arizona State,Pac-10,11,199,324,61.4,2394,7.4,6.4,14,13,129.7,48,-120,-2.5,0
27,Mark Stevens\mark-stevens-2,Utah,WAC,11,149,268,55.6,1986,7.4,6.5,12,11,124.4,147,534,3.6,10
28,Kelly Lowrey\kelly-lowrey-1,Florida State,Ind,9,131,233,56.2,1720,7.4,6.1,12,12,124.9,46,-34,-0.7,8
29,Tyrone Mitchell\tyrone-mitchell-1,Wichita State,MVC,9,82,169,48.5,1255,7.4,5.2,8,12,112.3,78,183,2.3,2
30,Randy Wright\randy-wright-1,Wisconsin,Big Ten,11,173,323,53.6,2329,7.2,5.9,19,18,122.4,60,89,1.5,6
31,Wayne Schuchts\wayne-schuchts-1,Virginia,ACC,11,129,261,49.4,1881,7.2,5.6,11,14,113.1,50,-73,-1.5,2
