,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Kerry Collins\kerry-collins-1,Penn State,Big Ten,11,176,264,66.7,2679,10.1,10.5,21,7,172.9,12,-19,-1.6,0
2,Rob Johnson*\rob-johnson-1,USC,Pac-10,11,186,276,67.4,2499,9.1,9.2,15,6,157.0,67,-235,-3.5,1
3,John Gustin\john-gustin-1,Wyoming,WAC,12,181,306,59.2,2757,9.0,8.2,17,13,144.7,72,38,0.5,0
4,Billy Blanton\billy-blanton-1,San Diego State,WAC,11,112,178,62.9,1586,8.9,9.1,15,6,158.8,40,-118,-3.0,0
5,Anthoney Hill\anthoney-hill-1,Colorado State,WAC,11,154,290,53.1,2552,8.8,8.0,16,12,137.0,93,163,1.8,5
6,Jay Barker\jay-barker-1,Alabama,SEC,12,139,226,61.5,1996,8.8,9.1,14,5,151.7,87,-143,-1.6,1
7,Todd Collins*\todd-collins-1,Michigan,Big Ten,12,186,288,64.6,2518,8.7,8.1,13,10,146.0,53,-43,-0.8,0
8,Kordell Stewart\kordell-stewart-1,Colorado,Big 8,11,147,237,62.0,2071,8.7,9.0,10,3,146.8,122,639,5.2,7
9,Richie Donati\richie-donati-1,Fresno State,WAC,11,152,263,57.8,2254,8.6,7.9,11,9,136.7,33,-67,-2.0,2
10,Tony Banks\tony-banks-1,Michigan State,Big Ten,11,145,238,60.9,2040,8.6,8.4,11,6,143.1,87,60,0.7,2
11,Kevin Mason\kevin-mason-2,Syracuse,Big East,11,105,189,55.6,1627,8.6,8.0,10,7,137.9,151,380,2.5,8
12,Steve Stenstrom\steve-stenstrom-1,Stanford,Pac-10,11,217,333,65.2,2822,8.5,8.6,16,6,148.6,56,-108,-1.9,3
13,Max Knake\max-knake-1,Texas Christian,SWC,11,184,316,58.2,2624,8.3,8.8,24,7,148.6,27,-84,-3.1,1
14,Wayne Cook\wayne-cook-2,UCLA,Pac-10,11,179,302,59.3,2501,8.3,8.2,15,7,140.6,62,-145,-2.3,2
15,Danny Wuerffel\danny-wuerffel-1,Florida,SEC,12,132,212,62.3,1754,8.3,8.1,18,9,151.3,36,-45,-1.3,3
16,Terry Dean\terry-dean-1,Florida,SEC,9,109,180,60.6,1492,8.3,8.0,20,10,155.7,26,3,0.1,1
17,Derrick Taite\derrick-taite-1,Mississippi State,SEC,11,110,220,50.0,1806,8.2,7.8,14,8,132.7,66,51,0.8,1
18,Ryan Henry\ryan-henry-2,Bowling Green State,MAC,11,174,293,59.4,2368,8.1,8.1,25,11,147.9,44,-55,-1.3,1
19,John Walsh\john-walsh-2,Brigham Young,WAC,12,284,463,61.3,3712,8.0,7.9,29,14,143.3,77,-239,-3.1,0
20,Mike McCoy\mike-mccoy-4,Utah,WAC,11,247,381,64.8,3035,8.0,8.1,28,11,150.2,75,69,0.9,1
21,Jeff Watson\jeff-watson-1,Baylor,SWC,11,102,201,50.7,1615,8.0,6.8,10,10,124.7,60,113,1.9,3
22,Mike Maxwell\mike-maxwell-1,Nevada,Big West,11,271,447,60.6,3537,7.9,7.7,29,15,141.8,30,-39,-1.3,3
23,Mike Groh\mike-groh-1,Virginia,ACC,11,138,216,63.9,1711,7.9,7.7,13,7,143.8,39,14,0.4,3
24,Eric Zeier\eric-zeier-1,Georgia,SEC,11,259,433,59.8,3396,7.8,7.5,24,14,137.5,21,61,2.9,1
25,Frank Costa\frank-costa-1,Miami (FL),Big East,11,168,313,53.7,2443,7.8,6.6,15,15,125.5,43,-71,-1.7,0
26,Bobby Hoying*\bobby-hoying-1,Ohio State,Big Ten,13,170,301,56.5,2335,7.8,6.9,19,14,133.2,69,28,0.4,2
27,Raymond Philyaw\raymond-philyaw-1,Louisiana-Monroe,Ind,11,131,243,53.9,1893,7.8,7.6,13,7,131.2,64,95,1.5,2
28,Ron Powlus\ron-powlus-1,Notre Dame,Ind,11,119,222,53.6,1729,7.8,7.7,19,9,139.2,78,-48,-0.6,2
29,Aaron Gilbert\aaron-gilbert-2,Northern Illinois,Big West,11,93,185,50.3,1437,7.8,6.9,8,7,122.2,60,-23,-0.4,0
30,Chad Johnston*\chad-johnston-1,West Virginia,Big East,13,124,242,51.2,1863,7.7,7.7,16,7,131.9,76,-27,-0.4,1
31,Heath Graham\heath-graham-1,Southern Mississippi,Ind,11,121,208,58.2,1603,7.7,5.1,7,15,119.6,28,-124,-4.4,1
32,Stoney Case\stoney-case-1,New Mexico,WAC,12,233,409,57.0,3117,7.6,7.4,22,12,132.9,140,532,3.8,11
33,Chad May\chad-may-2,Kansas State,Big 8,11,200,337,59.3,2571,7.6,7.9,18,6,137.5,55,-172,-3.1,3
34,Erik Timpf\erik-timpf-1,Central Michigan,MAC,11,90,174,51.7,1315,7.6,7.0,9,6,125.4,117,463,4.0,5
35,Johnny Johnson\johnny-johnson-3,Illinois,Big Ten,12,198,333,59.5,2495,7.5,7.8,19,6,137.6,60,-2,0.0,0
36,Corey Pullig*\corey-pullig-1,Texas A&M,SWC,11,162,275,58.9,2065,7.5,7.3,13,7,132.5,40,113,2.8,0
37,Patrick Nix\patrick-nix-1,Auburn,SEC,11,169,299,56.5,2206,7.4,7.2,13,7,128.2,41,59,1.4,6
38,Dan White\dan-white-2,Arizona,Pac-10,11,169,296,57.1,2181,7.4,7.3,14,7,129.9,47,-151,-3.2,1
39,Jake Plummer\jake-plummer-1,Arizona State,Pac-10,11,159,294,54.1,2179,7.4,7.1,15,9,127.1,75,-92,-1.2,1
40,Terry Harvey\terry-harvey-1,North Carolina State,ACC,10,116,199,58.3,1466,7.4,6.1,8,9,124.4,37,-21,-0.6,2
41,Jason Stanicek\jason-stanicek-1,North Carolina,ACC,11,96,166,57.8,1222,7.4,6.3,7,7,125.1,88,281,3.2,3
42,Danny Kanell\danny-kanell-1,Florida State,ACC,11,227,380,59.7,2781,7.3,6.7,17,13,129.1,27,-127,-4.7,1
43,Jay McDonagh\jay-mcdonagh-1,Western Michigan,MAC,11,172,293,58.7,2136,7.3,6.5,16,12,129.8,88,228,2.6,2
44,Jamie Howard\jamie-howard-1,LSU,SEC,11,140,274,51.1,1997,7.3,5.4,13,17,115.6,49,-53,-1.1,1
45,Mark Hartsell\mark-hartsell-1,Boston College,Big East,10,159,257,61.9,1864,7.3,6.5,13,10,131.7,39,60,1.5,1
46,Barry Lunney Jr.\barry-lunney-jr-1,Arkansas,SEC,11,101,183,55.2,1345,7.3,7.1,11,6,130.2,91,40,0.4,2
47,Eric Vibberts\eric-vibberts-1,Cincinnati,Ind,11,114,182,62.6,1335,7.3,6.0,6,8,126.3,31,-104,-3.4,0
48,Scott Milanovich\scott-milanovich-1,Maryland,ACC,11,229,333,68.8,2394,7.2,7.2,20,9,143.6,50,-62,-1.2,0
49,Maurice DeShazo\maurice-deshazo-1,Virginia Tech,Big East,11,164,295,55.6,2110,7.2,6.1,13,13,121.4,80,10,0.1,5
50,Tim Gutierrez\tim-gutierrez-1,San Diego State,WAC,11,139,219,63.5,1575,7.2,6.3,11,9,132.2,13,-76,-5.8,0
51,Craig Whelihan\craig-whelihan-1,Pacific,Big West,9,162,326,49.7,2318,7.1,6.2,17,14,118.0,24,-12,-0.5,1
52,Michael Armour\michael-armour-1,Eastern Michigan,MAC,11,135,230,58.7,1629,7.1,5.4,10,13,121.2,57,8,0.1,2
53,Neil Dougherty\neil-dougherty-1,Miami (OH),MAC,11,120,201,59.7,1431,7.1,6.8,10,6,130.0,32,-9,-0.3,2
54,Brent Baldwin\brent-baldwin-1,Ball State,MAC,11,100,188,53.2,1342,7.1,7.2,16,7,133.8,68,44,0.6,0
55,Ray Lucas\ray-lucas-1,Rutgers,Big East,10,156,268,58.2,1869,7.0,6.5,16,10,129.0,67,157,2.3,2
56,Tim Schade\tim-schade-2,Minnesota,Big Ten,11,187,341,54.8,2338,6.9,6.4,14,10,120.1,35,18,0.5,1
57,Damon Huard\damon-huard-1,Washington,Pac-10,11,153,275,55.6,1887,6.9,5.8,13,12,120.1,65,41,0.6,3
58,Chad Davis*\chad-davis-2,Washington State,Pac-10,12,197,339,58.1,2299,6.8,6.6,10,6,121.3,105,-104,-1.0,2
59,Marcus Crandell\marcus-crandell-1,East Carolina,Ind,11,230,401,57.4,2687,6.7,6.1,21,15,123.4,71,96,1.4,1
60,Ryan Huzjak\ryan-huzjak-1,Toledo,MAC,11,170,289,58.8,1928,6.7,6.6,17,8,128.7,124,537,4.3,2
61,Garrick McGee\garrick-mcgee-1,Oklahoma,Big 8,11,149,284,52.5,1909,6.7,5.2,8,13,109.1,99,105,1.1,2
62,Darrell Bevell*\darrell-bevell-1,Wisconsin,Big Ten,11,139,231,60.2,1544,6.7,6.2,17,10,131.9,23,-68,-3.0,0
63,Henry Burris\henry-burris-1,Temple,Big East,11,215,409,52.6,2716,6.6,6.3,21,12,119.4,60,-139,-2.3,3
64,Spence Fischer\spence-fischer-1,Duke,ACC,11,204,346,59.0,2285,6.6,6.5,16,8,125.1,62,26,0.4,3
65,Marty Lowe\marty-lowe-1,Louisville,Ind,11,186,319,58.3,2091,6.6,4.7,9,17,112.0,72,-64,-0.9,2
66,Josh Nelson\josh-nelson-1,Ole Miss,SEC,11,168,308,54.5,2028,6.6,6.7,15,6,122.0,77,-249,-3.2,2
67,Jake Delhomme\jake-delhomme-1,Louisiana,Big West,11,119,259,45.9,1712,6.6,4.3,10,18,100.3,63,-186,-3.0,4
68,Danny O'Neil*\danny-oneil-1,Oregon,Pac-10,12,182,341,53.4,2212,6.5,6.6,22,9,123.9,89,-25,-0.3,0
69,Tommy Luginbill\tommy-luginbill-1,Georgia Tech,ACC,11,182,327,55.7,2128,6.5,5.6,14,13,116.5,35,-88,-2.5,0
70,Alli Abrew\alli-abrew-1,San Jose State,Big West,11,135,270,50.0,1743,6.5,5.4,10,11,108.3,77,-157,-2.0,0
71,Shawn Gray\shawn-gray-1,UTEP,WAC,11,110,260,42.3,1662,6.4,5.0,9,12,98.2,114,478,4.2,3
72,Cody Ledbetter\cody-ledbetter-1,New Mexico State,Big West,11,120,247,48.6,1578,6.4,6.2,11,6,112.1,77,97,1.3,3
73,Steve Taneyhill\steve-taneyhill-1,South Carolina,SEC,11,231,367,62.9,2259,6.2,6.2,19,8,127.4,64,-62,-1.0,0
74,Zebbie Lethridge\zebbie-lethridge-1,Texas Tech,SWC,11,132,261,50.6,1596,6.1,6.0,12,6,112.5,110,289,2.6,6
75,Jim Kubiak\jim-kubiak-1,Navy,Ind,11,211,399,52.9,2388,6.0,4.6,10,17,102.9,63,-213,-3.4,0
76,Ramon Flanigan\ramon-flanigan-1,SMU,SWC,11,168,312,53.8,1869,6.0,5.2,6,8,105.4,182,502,2.8,12
77,Jeff Handy\jeff-handy-1,Missouri,Big 8,12,200,349,57.3,2030,5.8,5.5,12,8,112.9,41,-115,-2.8,0
78,Matt Wells\matt-wells-1,Utah State,Big West,11,153,311,49.2,1812,5.8,4.9,11,11,102.7,94,55,0.6,0
79,Jason W. Davis\jason-w-davis-1,UNLV,Big West,9,130,267,48.7,1539,5.8,4.3,12,14,101.5,44,6,0.1,1
80,Tone Jones\tone-jones-1,Oklahoma State,Big 8,11,114,256,44.5,1468,5.7,3.9,8,14,92.1,92,215,2.3,2
