,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
45,Wade Kosakowski\wade-kosakowski-1,Ball State,MAC,11,137,212,64.6,1459,6.9,5.8,6,8,124.2,31,-149,-4.8,1
46,Don Majkowski\don-majkowski-1,Virginia,ACC,9,104,199,52.3,1375,6.9,4.9,7,12,109.8,66,102,1.5,1
47,Bret Stafford\bret-stafford-1,Texas,SWC,11,176,329,53.5,2233,6.8,5.5,12,15,113.4,89,239,2.7,3
48,Alex Espinoza\alex-espinoza-1,Iowa State,Big 8,11,153,299,51.2,2023,6.8,6.3,15,10,117.9,78,-4,-0.1,2
49,Alex Espinoza\alex-espinoza-2,Iowa State,Big 8,11,153,299,51.2,2023,6.8,6.3,15,10,117.9,78,-4,-0.1,2
50,Don McPherson\don-mcpherson-1,Syracuse,Ind,11,142,269,52.8,1827,6.8,6.5,12,7,119.4,191,523,2.7,6
51,Alfred Jenkins\alfred-jenkins-1,Arizona,Pac-10,11,118,232,50.9,1573,6.8,5.9,10,9,114.3,59,167,2.8,2
52,Mike Gundy\mike-gundy-1,Oklahoma State,Big 8,9,117,225,52.0,1525,6.8,6.5,8,5,116.2,57,-102,-1.8,1
53,Mike Elkins\mike-elkins-1,Wake Forest,ACC,10,205,380,53.9,2541,6.7,5.8,17,15,117.0,20,-98,-4.9,0
54,Matt Stevens*\matt-stevens-2,UCLA,Pac-10,12,150,280,53.6,1869,6.7,5.9,11,10,115.5,51,-80,-1.6,1
55,Mike Greenfield\mike-greenfield-1,Northwestern,Big Ten,11,126,250,50.4,1653,6.6,5.0,7,12,105.6,109,418,3.8,3
56,Ronnie Barber\ronnie-barber-1,Cal State Fullerton,PCAA,12,134,246,54.5,1613,6.6,5.3,14,13,117.8,89,71,0.8,3
57,Don Smith\don-smith-3,Mississippi State,SEC,11,120,244,49.2,1609,6.6,5.4,10,11,109.1,159,740,4.7,6
58,Rickey Foggie\rickey-foggie-1,Minnesota,Big Ten,11,87,191,45.5,1265,6.6,5.8,8,7,107.7,117,349,3.0,7
59,John Paye*\john-paye-2,Stanford,Pac-10,12,217,349,62.2,2261,6.5,5.9,14,11,123.5,69,-72,-1.0,2
60,Mark Comalander\mark-comalander-1,Rice,SWC,11,116,219,53.0,1430,6.5,4.2,8,15,106.2,36,-47,-1.3,2
61,Mark Young\mark-young-1,Ole Miss,SEC,11,87,178,48.9,1154,6.5,4.9,8,10,106.9,64,100,1.6,4
62,Chris Conklin\chris-conklin-1,Western Michigan,MAC,11,127,261,48.7,1668,6.4,4.6,11,15,104.8,35,-128,-3.7,1
63,Bill Byrne\bill-byrne-1,Navy,Ind,11,121,229,52.8,1463,6.4,4.9,10,12,110.4,19,-86,-4.5,1
64,Bill Ransdell\bill-ransdell-2,Kentucky,SEC,11,151,256,59.0,1610,6.3,4.9,3,9,108.6,91,30,0.3,1
65,Kerwin Bell\kerwin-bell-2,Florida,SEC,9,131,242,54.1,1515,6.3,5.2,10,10,112.1,37,-148,-4.0,2
66,Mike Shula\mike-shula-1,Alabama,SEC,12,127,235,54.0,1486,6.3,4.6,13,15,112.6,47,16,0.3,1
67,Mike Timko\mike-timko-1,West Virginia,Ind,10,90,189,47.6,1191,6.3,5.0,8,9,105.0,48,-58,-1.2,0
68,Shane Lamb\shane-lamb-1,Illinois,Big Ten,11,115,227,50.7,1414,6.2,4.3,7,13,101.7,41,32,0.8,1
69,Ed Rubbert\ed-rubbert-1,Louisville,Ind,11,103,210,49.0,1304,6.2,5.5,4,5,102.7,33,-199,-6.0,0
70,Rodney Williams*\rodney-williams-2,Clemson,ACC,12,98,200,49.0,1245,6.2,4.8,4,8,99.9,97,352,3.6,5
71,Craig Burnett\craig-burnett-1,Wyoming,WAC,12,120,200,60.0,1242,6.2,6.2,13,6,127.6,12,-46,-3.8,0
72,Rich Dackin\rich-dackin-1,Bowling Green State,MAC,11,114,194,58.8,1197,6.2,4.8,5,8,110.8,33,-198,-6.0,0
73,Erik Wilhelm\erik-wilhelm-1,Oregon State,Pac-10,11,283,470,60.2,2871,6.1,4.8,8,17,109.9,75,-206,-2.7,1
74,Steve Slayden\steve-slayden-1,Duke,ACC,11,183,313,58.5,1914,6.1,4.9,14,15,115.0,83,77,0.9,2
75,Scott Runyan\scott-runyan-1,Wyoming,WAC,12,138,271,50.9,1651,6.1,5.0,12,12,107.9,39,44,1.1,0
76,Scott Erney\scott-erney-1,Rutgers,Ind,11,96,190,50.5,1160,6.1,4.1,6,11,100.7,21,11,0.5,1
77,Rick Strom\rick-strom-1,Georgia Tech,ACC,10,87,167,52.1,1011,6.1,5.0,5,6,105.6,73,133,1.8,2
78,Bruce Porter\bruce-porter-1,Ohio,MAC,10,216,383,56.4,2281,6.0,5.0,13,14,110.3,45,-188,-4.2,0
79,A.J. Sager\aj-sager-1,Toledo,MAC,11,96,189,50.8,1107,5.9,4.0,3,9,95.7,35,-17,-0.5,3
80,Brian Menkhausen\brian-menkhausen-1,Illinois,Big Ten,11,96,168,57.1,991,5.9,5.3,4,4,109.8,46,51,1.1,3
81,Richard Pannell\richard-pannell-1,Louisiana,Ind,9,81,167,48.5,989,5.9,4.1,3,8,94.6,91,226,2.5,2
82,Brian McDonald\brian-mcdonald-2,Wichita State,Ind,11,111,242,45.9,1398,5.8,4.2,4,10,91.6,50,-114,-2.3,1
83,David Rascoe\david-rascoe-1,Texas Christian,SWC,11,89,180,49.4,985,5.5,3.4,6,11,94.2,125,339,2.7,4
84,Jeff George\jeff-george-1,Purdue,Big Ten,11,122,227,53.7,1217,5.4,2.7,4,15,91.4,30,-210,-7.0,0
85,Randy Williams\randy-williams-3,Kansas State,Big 8,10,88,197,44.7,1069,5.4,2.9,4,13,83.8,64,-28,-0.4,1
86,Mike Orth\mike-orth-1,Kansas,Big 8,10,144,290,49.7,1548,5.3,4.0,7,12,94.2,54,-57,-1.1,0
87,Jim Miller\jim-miller-6,New Mexico State,PCAA,9,114,241,47.3,1200,5.0,3.0,10,15,90.4,147,278,1.9,3
88,Billy Joe Tolliver\billy-joe-tolliver-1,Texas Tech,SWC,12,145,333,43.5,1602,4.8,3.3,4,13,80.1,33,-33,-1.0,3
89,Tom Ponich\tom-ponich-1,Utah State,PCAA,11,107,259,41.3,1230,4.7,2.3,7,17,77.0,97,-107,-1.1,0
