,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Major Harris*\major-harris-1,West Virginia,Ind,12,105,186,56.5,1915,10.3,9.9,14,8,159.2,134,610,4.6,6
2,Timm Rosenbach*\timm-rosenbach-1,Washington State,Pac-10,12,218,338,64.5,3097,9.2,9.1,24,11,158.4,129,336,2.6,10
3,Mike Gundy\mike-gundy-1,Oklahoma State,Big 8,11,153,236,64.8,2163,9.2,8.5,19,12,158.2,58,-42,-0.7,3
4,Todd Philcox\todd-philcox-1,Syracuse,Ind,11,141,234,60.3,2076,8.9,8.1,16,11,147.9,73,1,0.0,0
5,Warren Jones\warren-jones-1,Hawaii,WAC,12,138,259,53.3,2268,8.8,8.3,19,11,142.6,201,669,3.3,8
6,Chip Ferguson\chip-ferguson-1,Florida State,Ind,11,122,194,62.9,1714,8.8,7.9,16,11,153.0,18,-8,-0.4,0
7,Dave Schnell*\dave-schnell-1,Indiana,Big Ten,12,119,225,52.9,1877,8.3,6.5,9,13,124.6,83,307,3.7,5
8,Sean Covey\sean-covey-1,Brigham Young,WAC,12,174,319,54.5,2607,8.2,7.6,13,10,130.4,68,-82,-1.2,4
9,Scott Mitchell\scott-mitchell-2,Utah,WAC,11,323,533,60.6,4322,8.1,7.9,29,15,141.0,56,-23,-0.4,0
10,Chuck Hartlieb\chuck-hartlieb-1,Iowa,Big Ten,12,258,409,63.1,3310,8.1,7.8,14,9,138.0,54,-240,-4.4,1
11,Billy Joe Tolliver\billy-joe-tolliver-1,Texas Tech,SWC,11,190,354,53.7,2869,8.1,7.8,20,11,134.2,55,-182,-3.3,1
12,Tom Sullivan\tom-sullivan-1,Eastern Michigan,MAC,10,114,205,55.6,1664,8.1,5.8,5,13,119.2,61,-130,-2.1,2
13,Steve Walsh\steve-walsh-1,Miami (FL),Ind,11,233,390,59.7,3115,8.0,8.1,29,12,145.2,15,-33,-2.2,0
14,Reggie Slack\reggie-slack-1,Auburn,SEC,11,168,279,60.2,2230,8.0,6.9,9,11,130.1,39,-17,-0.4,2
15,Matt Baker\matt-baker-2,Temple,Ind,11,101,193,52.3,1539,8.0,7.0,15,11,133.6,98,76,0.8,0
16,Anthony Dilweg\anthony-dilweg-1,Duke,ACC,11,287,484,59.3,3824,7.9,7.2,24,18,134.6,55,-111,-2.0,2
17,Randy Welniak*\randy-welniak-1,Wyoming,WAC,13,199,354,56.2,2791,7.9,7.7,21,11,135.8,151,415,2.7,16
18,Ken Lutz\ken-lutz-1,San Jose State,Big West,12,199,321,62.0,2547,7.9,6.3,16,19,133.3,93,-47,-0.5,2
19,Mike Elkins\mike-elkins-1,Wake Forest,ACC,11,165,280,58.9,2205,7.9,7.3,14,10,134.4,47,69,1.5,1
20,Rodney Peete*\rodney-peete-1,USC,Pac-10,12,223,359,62.1,2812,7.8,7.3,18,12,137.8,68,68,1.0,5
21,Troy Aikman*\troy-aikman-1,UCLA,Pac-10,12,228,354,64.4,2771,7.8,8.0,24,9,147.4,78,83,1.1,1
22,Pat Hegarty*\pat-hegarty-1,UTEP,WAC,13,195,357,54.6,2732,7.7,7.5,18,9,130.5,65,66,1.0,1
23,Shawn Moore\shawn-moore-1,Virginia,ACC,11,141,282,50.0,2158,7.7,6.5,15,14,121.9,159,368,2.3,10
24,Mark Barsotti*\mark-barsotti-1,Fresno State,Big West,12,116,232,50.0,1795,7.7,6.4,9,11,118.3,62,51,0.8,1
25,Shane Montgomery\shane-montgomery-1,North Carolina State,ACC,11,123,198,62.1,1522,7.7,6.7,8,8,131.9,16,-26,-1.6,0
26,Jeff Bender\jeff-bender-1,Central Michigan,MAC,11,93,169,55.0,1309,7.7,6.2,7,9,123.1,67,-58,-0.9,1
27,Bret Oberg\bret-oberg-1,Iowa State,Big 8,11,99,179,55.3,1360,7.6,4.5,6,15,113.4,102,52,0.5,0
28,Darnell Dickerson\darnell-dickerson-1,Pitt,Ind,11,104,213,48.8,1599,7.5,6.5,7,8,115.2,126,555,4.4,5
29,David Dacus\david-dacus-1,Houston,SWC,10,123,212,58.0,1597,7.5,7.3,13,7,134.9,39,-95,-2.4,0
30,Tony Kimbrough\tony-kimbrough-1,Western Michigan,MAC,12,210,381,55.1,2831,7.4,6.9,21,14,128.4,108,210,1.9,6
31,Neil O'Donnell\neil-odonnell-1,Maryland,ACC,11,160,267,59.9,1973,7.4,6.4,12,11,128.6,94,166,1.8,3
32,Troy Taylor\troy-taylor-1,California,Pac-10,11,202,330,61.2,2416,7.3,6.4,16,14,130.2,125,136,1.1,0
33,Mike Johnson\mike-johnson-6,Akron,Ind,11,142,299,47.5,2170,7.3,5.7,11,15,110.6,103,262,2.5,5
34,Kyle Morris\kyle-morris-1,Florida,SEC,10,84,167,50.3,1217,7.3,4.1,3,13,101.9,35,-11,-0.3,0
35,Brent Snyder\brent-snyder-1,Utah State,Big West,11,246,447,55.0,3218,7.2,5.9,19,21,120.1,88,-64,-0.7,4
36,David Riley\david-riley-1,Ball State,MAC,11,168,263,63.9,1886,7.2,6.3,9,9,128.6,76,108,1.4,2
37,Eric Jones\eric-jones-1,Vanderbilt,SEC,11,196,360,54.4,2548,7.1,5.9,11,14,116.2,144,305,2.1,5
38,Brett Favre\brett-favre-1,Southern Mississippi,Ind,11,178,319,55.8,2271,7.1,7.4,16,5,129.0,51,-15,-0.3,0
39,Jeff Francis\jeff-francis-1,Tennessee,SEC,11,191,314,60.8,2237,7.1,6.4,13,11,127.3,97,52,0.5,2
